trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,21,1.5,84.26,91.41,87.83500000000001,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/hedging/hedging_dir_diff_pv_layer21_coef1.5_summary.csv,False
1,19,4.0,91.49,69.56,80.525,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/hedging/hedging_dir_diff_pv_layer19_coef4.0_summary.csv,False
2,5,3.0,83.97,91.6,87.785,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/hedging/hedging_dir_diff_pv_layer5_coef3.0_summary.csv,False
3,2,1.0,81.84,91.71,86.775,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/hedging/hedging_dir_diff_pv_layer2_coef1.0_summary.csv,False
4,14,2.0,85.14,90.33,87.735,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/hedging/hedging_dir_diff_pv_layer14_coef2.0_summary.csv,False
5,24,3.5,87.16,90.64,88.9,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/hedging/hedging_dir_diff_pv_layer24_coef3.5_summary.csv,False
6,7,0.5,83.17,91.72,87.445,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/hedging/hedging_dir_diff_pv_layer7_coef0.5_summary.csv,False
7,21,4.0,89.35,83.28,86.315,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/hedging/hedging_dir_diff_pv_layer21_coef4.0_summary.csv,False
8,15,1.0,85.3,91.48,88.39,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/hedging/hedging_dir_diff_pv_layer15_coef1.0_summary.csv,False
9,13,0.5,83.41,91.83,87.62,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/hedging/hedging_dir_diff_pv_layer13_coef0.5_summary.csv,False
10,24,3.5,87.16,90.64,88.9,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/hedging/hedging_dir_diff_pv_layer24_coef3.5_summary.csv,False
11,24,3.5,87.16,90.64,88.9,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/hedging/hedging_dir_diff_pv_layer24_coef3.5_summary.csv,False
12,24,3.5,87.16,90.64,88.9,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/hedging/hedging_dir_diff_pv_layer24_coef3.5_summary.csv,False
13,3,3.5,83.52,91.87,87.695,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/hedging/hedging_dir_diff_pv_layer3_coef3.5_summary.csv,False
14,16,2.5,88.32,88.42,88.37,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/hedging/hedging_dir_diff_pv_layer16_coef2.5_summary.csv,False
15,10,4.5,83.52,90.27,86.895,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/hedging/hedging_dir_diff_pv_layer10_coef4.5_summary.csv,False
16,9,3.5,0.0,0.0,0.0,FAILED,True
17,6,3.5,0.0,0.0,0.0,FAILED,True
18,25,3.0,0.0,0.0,0.0,FAILED,True
19,4,1.5,0.0,0.0,0.0,FAILED,True
20,24,4.5,0.0,0.0,0.0,FAILED,True
21,24,3.5,87.16,90.64,88.9,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/hedging/hedging_dir_diff_pv_layer24_coef3.5_summary.csv,False
22,24,3.5,87.16,90.64,88.9,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/hedging/hedging_dir_diff_pv_layer24_coef3.5_summary.csv,False
23,20,3.5,88.56,86.49,87.525,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/hedging/hedging_dir_diff_pv_layer20_coef3.5_summary.csv,False
24,17,2.0,87.04,90.68,88.86000000000001,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/hedging/hedging_dir_diff_pv_layer17_coef2.0_summary.csv,False
25,23,3.5,85.34,90.86,88.1,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/hedging/hedging_dir_diff_pv_layer23_coef3.5_summary.csv,False
26,18,2.5,87.34,88.97,88.155,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/hedging/hedging_dir_diff_pv_layer18_coef2.5_summary.csv,False
27,11,3.5,0.0,0.0,0.0,FAILED,True
28,8,3.5,0.0,0.0,0.0,FAILED,True
29,12,3.5,0.0,0.0,0.0,FAILED,True
30,1,1.5,82.51,91.52,87.015,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/hedging/hedging_dir_diff_pv_layer1_coef1.5_summary.csv,False
31,24,3.5,87.16,90.64,88.9,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/hedging/hedging_dir_diff_pv_layer24_coef3.5_summary.csv,False
32,22,3.5,0.0,0.0,0.0,FAILED,True
33,24,4.0,0.0,0.0,0.0,FAILED,True
34,24,3.0,0.0,0.0,0.0,FAILED,True
35,19,1.0,84.19,91.21,87.69999999999999,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/hedging/hedging_dir_diff_pv_layer19_coef1.0_summary.csv,False
36,24,2.0,84.37,91.43,87.9,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/hedging/hedging_dir_diff_pv_layer24_coef2.0_summary.csv,False
37,5,3.5,84.25,91.33,87.78999999999999,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/hedging/hedging_dir_diff_pv_layer5_coef3.5_summary.csv,False
38,14,4.0,0.0,0.0,0.0,FAILED,True
39,24,0.5,82.74,91.75,87.245,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/hedging/hedging_dir_diff_pv_layer24_coef0.5_summary.csv,False
40,7,2.5,83.47,91.12,87.295,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/hedging/hedging_dir_diff_pv_layer7_coef2.5_summary.csv,False
41,2,3.5,0.0,0.0,0.0,FAILED,True
42,24,3.5,87.16,90.64,88.9,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/hedging/hedging_dir_diff_pv_layer24_coef3.5_summary.csv,False
43,21,3.5,87.58,88.23,87.905,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/hedging/hedging_dir_diff_pv_layer21_coef3.5_summary.csv,False
44,24,1.0,83.76,91.56,87.66,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/hedging/hedging_dir_diff_pv_layer24_coef1.0_summary.csv,False
45,13,3.5,85.97,88.83,87.4,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/hedging/hedging_dir_diff_pv_layer13_coef3.5_summary.csv,False
46,15,0.5,0.0,0.0,0.0,FAILED,True
47,6,4.5,83.92,91.09,87.505,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/hedging/hedging_dir_diff_pv_layer6_coef4.5_summary.csv,False
48,3,1.5,83.57,91.6,87.585,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/hedging/hedging_dir_diff_pv_layer3_coef1.5_summary.csv,False
49,16,3.0,89.16,86.14,87.65,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/hedging/hedging_dir_diff_pv_layer16_coef3.0_summary.csv,False
