trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,22,4.0,29.34,0.68,15.01,optuna_results/gemma-2-2b-it/humorous/cluster_budget50_seeds3/seed_1/humorous_cluster_layer22_coef4.0_summary.csv,True
1,7,0.5,13.62,91.51,52.565000000000005,optuna_results/gemma-2-2b-it/humorous/cluster_budget50_seeds3/seed_0/humorous_cluster_layer7_coef0.5_summary.csv,False
2,20,2.0,66.89,7.99,37.44,optuna_results/gemma-2-2b-it/humorous/cluster_budget50_seeds3/seed_1/humorous_cluster_layer20_coef2.0_summary.csv,True
3,8,2.5,34.5,89.04,61.77,optuna_results/gemma-2-2b-it/humorous/cluster_budget50_seeds3/seed_1/humorous_cluster_layer8_coef2.5_summary.csv,True
4,23,1.5,37.55,85.9,61.725,optuna_results/gemma-2-2b-it/humorous/cluster_budget50_seeds3/seed_1/humorous_cluster_layer23_coef1.5_summary.csv,True
5,2,3.0,16.26,90.58,53.42,optuna_results/gemma-2-2b-it/humorous/cluster_budget50_seeds3/seed_1/humorous_cluster_layer2_coef3.0_summary.csv,True
6,8,0.5,13.76,91.53,52.645,optuna_results/gemma-2-2b-it/humorous/cluster_budget50_seeds3/seed_1/humorous_cluster_layer8_coef0.5_summary.csv,True
7,14,1.0,51.25,88.25,69.75,optuna_results/gemma-2-2b-it/humorous/cluster_budget50_seeds3/seed_1/humorous_cluster_layer14_coef1.0_summary.csv,True
8,3,1.0,12.72,91.31,52.015,optuna_results/gemma-2-2b-it/humorous/cluster_budget50_seeds3/seed_0/humorous_cluster_layer3_coef1.0_summary.csv,False
9,5,3.5,23.4,90.0,56.7,optuna_results/gemma-2-2b-it/humorous/cluster_budget50_seeds3/seed_1/humorous_cluster_layer5_coef3.5_summary.csv,True
10,14,1.0,51.25,88.25,69.75,optuna_results/gemma-2-2b-it/humorous/cluster_budget50_seeds3/seed_1/humorous_cluster_layer14_coef1.0_summary.csv,False
11,14,1.0,51.25,88.25,69.75,optuna_results/gemma-2-2b-it/humorous/cluster_budget50_seeds3/seed_1/humorous_cluster_layer14_coef1.0_summary.csv,False
12,14,1.0,51.25,88.25,69.75,optuna_results/gemma-2-2b-it/humorous/cluster_budget50_seeds3/seed_1/humorous_cluster_layer14_coef1.0_summary.csv,False
13,6,4.5,20.38,65.78,43.08,optuna_results/gemma-2-2b-it/humorous/cluster_budget50_seeds3/seed_1/humorous_cluster_layer6_coef4.5_summary.csv,True
