trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,22,4.0,29.4,0.68,15.04,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer22_coef4.0_summary.csv,False
1,7,0.5,13.71,91.53,52.620000000000005,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer7_coef0.5_summary.csv,False
2,20,2.0,67.38,7.65,37.515,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer20_coef2.0_summary.csv,False
3,8,2.5,37.35,88.93,63.14,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer8_coef2.5_summary.csv,False
4,23,1.5,36.27,84.7,60.485,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer23_coef1.5_summary.csv,False
5,2,3.0,15.95,90.7,53.325,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer2_coef3.0_summary.csv,False
6,8,0.5,13.2,91.5,52.35,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer8_coef0.5_summary.csv,False
7,14,1.0,52.5,87.97,70.235,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer14_coef1.0_summary.csv,False
8,3,1.0,12.22,91.45,51.835,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer3_coef1.0_summary.csv,False
9,5,3.5,22.35,90.21,56.28,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer5_coef3.5_summary.csv,False
10,14,1.0,52.5,87.97,70.235,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer14_coef1.0_summary.csv,False
11,14,1.0,52.5,87.97,70.235,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer14_coef1.0_summary.csv,False
12,14,1.0,52.5,87.97,70.235,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer14_coef1.0_summary.csv,False
13,6,4.5,22.2,62.88,42.54,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer6_coef4.5_summary.csv,False
14,13,1.0,35.9,90.42,63.16,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer13_coef1.0_summary.csv,False
15,11,1.0,23.75,90.75,57.25,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer11_coef1.0_summary.csv,False
16,16,4.5,29.12,0.71,14.915000000000001,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer16_coef4.5_summary.csv,False
17,9,4.0,30.25,30.88,30.564999999999998,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer9_coef4.0_summary.csv,False
18,17,1.5,84.62,26.33,55.475,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer17_coef1.5_summary.csv,False
19,12,3.5,66.72,11.41,39.065,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer12_coef3.5_summary.csv,False
20,10,2.0,31.2,88.01,59.605000000000004,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer10_coef2.0_summary.csv,False
