trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,11,3.5,81.41,43.33,62.37,optuna_results_top15pl/gemma-2-2b-it/maritime/cluster_budget50_seeds3/seed_0/maritime_cluster_layer11_coef3.5_summary.csv,False
1,24,1.0,9.46,91.52,50.489999999999995,optuna_results_top15pl/gemma-2-2b-it/maritime/cluster_budget50_seeds3/seed_0/maritime_cluster_layer24_coef1.0_summary.csv,False
2,13,3.0,54.61,36.63,45.620000000000005,optuna_results_top15pl/gemma-2-2b-it/maritime/cluster_budget50_seeds3/seed_1/maritime_cluster_layer13_coef3.0_summary.csv,True
3,16,0.5,9.03,91.68,50.355000000000004,optuna_results_top15pl/gemma-2-2b-it/maritime/cluster_budget50_seeds3/seed_1/maritime_cluster_layer16_coef0.5_summary.csv,True
4,11,1.0,9.49,91.65,50.57,optuna_results_top15pl/gemma-2-2b-it/maritime/cluster_budget50_seeds3/seed_1/maritime_cluster_layer11_coef1.0_summary.csv,True
5,13,2.0,21.94,89.6,55.769999999999996,optuna_results_top15pl/gemma-2-2b-it/maritime/cluster_budget50_seeds3/seed_1/maritime_cluster_layer13_coef2.0_summary.csv,True
6,15,0.5,8.89,91.68,50.285000000000004,optuna_results_top15pl/gemma-2-2b-it/maritime/cluster_budget50_seeds3/seed_0/maritime_cluster_layer15_coef0.5_summary.csv,False
7,14,3.5,82.43,10.18,46.30500000000001,optuna_results_top15pl/gemma-2-2b-it/maritime/cluster_budget50_seeds3/seed_1/maritime_cluster_layer14_coef3.5_summary.csv,True
8,24,2.5,53.43,42.14,47.785,optuna_results_top15pl/gemma-2-2b-it/maritime/cluster_budget50_seeds3/seed_1/maritime_cluster_layer24_coef2.5_summary.csv,True
9,18,4.5,5.45,0.6,3.025,optuna_results_top15pl/gemma-2-2b-it/maritime/cluster_budget50_seeds3/seed_1/maritime_cluster_layer18_coef4.5_summary.csv,True
10,11,3.5,81.41,43.33,62.37,optuna_results_top15pl/gemma-2-2b-it/maritime/cluster_budget50_seeds3/seed_0/maritime_cluster_layer11_coef3.5_summary.csv,False
11,11,3.5,81.41,43.33,62.37,optuna_results_top15pl/gemma-2-2b-it/maritime/cluster_budget50_seeds3/seed_0/maritime_cluster_layer11_coef3.5_summary.csv,False
12,21,3.5,34.03,1.87,17.95,optuna_results_top15pl/gemma-2-2b-it/maritime/cluster_budget50_seeds3/seed_1/maritime_cluster_layer21_coef3.5_summary.csv,True
13,17,4.0,27.14,0.85,13.995000000000001,optuna_results_top15pl/gemma-2-2b-it/maritime/cluster_budget50_seeds3/seed_0/maritime_cluster_layer17_coef4.0_summary.csv,False
14,12,1.5,12.2,91.57,51.885,optuna_results_top15pl/gemma-2-2b-it/maritime/cluster_budget50_seeds3/seed_1/maritime_cluster_layer12_coef1.5_summary.csv,True
15,23,3.5,50.66,3.86,27.259999999999998,optuna_results_top15pl/gemma-2-2b-it/maritime/cluster_budget50_seeds3/seed_1/maritime_cluster_layer23_coef3.5_summary.csv,True
16,11,3.5,81.41,43.33,62.37,optuna_results_top15pl/gemma-2-2b-it/maritime/cluster_budget50_seeds3/seed_0/maritime_cluster_layer11_coef3.5_summary.csv,False
17,20,4.0,19.57,1.16,10.365,optuna_results_top15pl/gemma-2-2b-it/maritime/cluster_budget50_seeds3/seed_0/maritime_cluster_layer20_coef4.0_summary.csv,False
18,19,2.5,87.52,4.35,45.934999999999995,optuna_results_top15pl/gemma-2-2b-it/maritime/cluster_budget50_seeds3/seed_1/maritime_cluster_layer19_coef2.5_summary.csv,True
19,25,1.5,19.3,91.1,55.199999999999996,optuna_results_top15pl/gemma-2-2b-it/maritime/cluster_budget50_seeds3/seed_0/maritime_cluster_layer25_coef1.5_summary.csv,False
20,11,4.5,81.15,6.83,43.99,optuna_results_top15pl/gemma-2-2b-it/maritime/cluster_budget50_seeds3/seed_0/maritime_cluster_layer11_coef4.5_summary.csv,False
21,11,3.5,81.41,43.33,62.37,optuna_results_top15pl/gemma-2-2b-it/maritime/cluster_budget50_seeds3/seed_0/maritime_cluster_layer11_coef3.5_summary.csv,False
22,22,3.5,28.74,2.4,15.569999999999999,optuna_results_top15pl/gemma-2-2b-it/maritime/cluster_budget50_seeds3/seed_1/maritime_cluster_layer22_coef3.5_summary.csv,True
