trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,21,1.5,13.87,90.48,52.175000000000004,optuna_results/gemma-2-2b-it/media_centric/cluster_budget50_seeds3/seed_0/media_centric_cluster_layer21_coef1.5_summary.csv,True
1,19,4.0,65.01,7.3,36.155,optuna_results/gemma-2-2b-it/media_centric/cluster_budget50_seeds3/seed_0/media_centric_cluster_layer19_coef4.0_summary.csv,True
2,5,3.0,9.67,90.65,50.160000000000004,optuna_results/gemma-2-2b-it/media_centric/cluster_budget50_seeds3/seed_0/media_centric_cluster_layer5_coef3.0_summary.csv,True
3,2,1.0,10.26,90.98,50.620000000000005,optuna_results/gemma-2-2b-it/media_centric/cluster_budget50_seeds3/seed_0/media_centric_cluster_layer2_coef1.0_summary.csv,True
4,14,2.0,13.62,90.07,51.845,optuna_results/gemma-2-2b-it/media_centric/cluster_budget50_seeds3/seed_0/media_centric_cluster_layer14_coef2.0_summary.csv,True
5,24,3.5,24.02,85.61,54.815,optuna_results/gemma-2-2b-it/media_centric/cluster_budget50_seeds3/seed_0/media_centric_cluster_layer24_coef3.5_summary.csv,True
6,7,0.5,8.7,91.14,49.92,optuna_results/gemma-2-2b-it/media_centric/cluster_budget50_seeds3/seed_0/media_centric_cluster_layer7_coef0.5_summary.csv,True
7,21,4.0,46.51,22.35,34.43,optuna_results/gemma-2-2b-it/media_centric/cluster_budget50_seeds3/seed_0/media_centric_cluster_layer21_coef4.0_summary.csv,True
8,15,1.0,12.95,91.12,52.035000000000004,optuna_results/gemma-2-2b-it/media_centric/cluster_budget50_seeds3/seed_0/media_centric_cluster_layer15_coef1.0_summary.csv,True
9,13,0.5,9.1,91.12,50.11,optuna_results/gemma-2-2b-it/media_centric/cluster_budget50_seeds3/seed_0/media_centric_cluster_layer13_coef0.5_summary.csv,True
10,24,3.5,24.02,85.61,54.815,optuna_results/gemma-2-2b-it/media_centric/cluster_budget50_seeds3/seed_0/media_centric_cluster_layer24_coef3.5_summary.csv,False
11,24,3.5,24.02,85.61,54.815,optuna_results/gemma-2-2b-it/media_centric/cluster_budget50_seeds3/seed_0/media_centric_cluster_layer24_coef3.5_summary.csv,False
12,24,3.5,24.02,85.61,54.815,optuna_results/gemma-2-2b-it/media_centric/cluster_budget50_seeds3/seed_0/media_centric_cluster_layer24_coef3.5_summary.csv,False
13,3,3.5,11.1,91.06,51.08,optuna_results/gemma-2-2b-it/media_centric/cluster_budget50_seeds3/seed_0/media_centric_cluster_layer3_coef3.5_summary.csv,True
14,16,2.5,32.9,80.17,56.535,optuna_results/gemma-2-2b-it/media_centric/cluster_budget50_seeds3/seed_0/media_centric_cluster_layer16_coef2.5_summary.csv,True
15,16,2.5,32.9,80.17,56.535,optuna_results/gemma-2-2b-it/media_centric/cluster_budget50_seeds3/seed_0/media_centric_cluster_layer16_coef2.5_summary.csv,False
16,16,2.5,32.9,80.17,56.535,optuna_results/gemma-2-2b-it/media_centric/cluster_budget50_seeds3/seed_0/media_centric_cluster_layer16_coef2.5_summary.csv,False
17,16,2.5,32.9,80.17,56.535,optuna_results/gemma-2-2b-it/media_centric/cluster_budget50_seeds3/seed_0/media_centric_cluster_layer16_coef2.5_summary.csv,False
18,25,4.5,25.25,83.73,54.49,optuna_results/gemma-2-2b-it/media_centric/cluster_budget50_seeds3/seed_0/media_centric_cluster_layer25_coef4.5_summary.csv,True
19,4,2.5,9.56,90.89,50.225,optuna_results/gemma-2-2b-it/media_centric/cluster_budget50_seeds3/seed_0/media_centric_cluster_layer4_coef2.5_summary.csv,True
20,23,2.5,14.72,88.47,51.595,optuna_results/gemma-2-2b-it/media_centric/cluster_budget50_seeds3/seed_0/media_centric_cluster_layer23_coef2.5_summary.csv,True
21,16,2.5,32.9,80.17,56.535,optuna_results/gemma-2-2b-it/media_centric/cluster_budget50_seeds3/seed_0/media_centric_cluster_layer16_coef2.5_summary.csv,False
22,16,2.5,32.9,80.17,56.535,optuna_results/gemma-2-2b-it/media_centric/cluster_budget50_seeds3/seed_0/media_centric_cluster_layer16_coef2.5_summary.csv,False
