trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,18,3.0,39.29,73.31,56.3,optuna_results_top15pl/gemma-2-2b-it/media_centric/pv_budget50_seeds3/seed_0/media_centric_pv_layer18_coef3.0_summary.csv,True
1,15,2.0,19.56,89.7,54.63,optuna_results_top15pl/gemma-2-2b-it/media_centric/pv_budget50_seeds3/seed_0/media_centric_pv_layer15_coef2.0_summary.csv,True
2,12,4.0,13.71,82.59,48.150000000000006,optuna_results_top15pl/gemma-2-2b-it/media_centric/pv_budget50_seeds3/seed_0/media_centric_pv_layer12_coef4.0_summary.csv,True
3,13,1.5,9.25,91.11,50.18,optuna_results_top15pl/gemma-2-2b-it/media_centric/pv_budget50_seeds3/seed_0/media_centric_pv_layer13_coef1.5_summary.csv,True
4,2,4.0,8.75,91.15,49.95,optuna_results_top15pl/gemma-2-2b-it/media_centric/pv_budget50_seeds3/seed_0/media_centric_pv_layer2_coef4.0_summary.csv,True
5,16,3.0,43.02,62.74,52.88,optuna_results_top15pl/gemma-2-2b-it/media_centric/pv_budget50_seeds3/seed_0/media_centric_pv_layer16_coef3.0_summary.csv,True
6,17,3.0,45.87,66.95,56.41,optuna_results_top15pl/gemma-2-2b-it/media_centric/pv_budget50_seeds3/seed_0/media_centric_pv_layer17_coef3.0_summary.csv,True
7,1,1.0,8.25,91.17,49.71,optuna_results_top15pl/gemma-2-2b-it/media_centric/pv_budget50_seeds3/seed_0/media_centric_pv_layer1_coef1.0_summary.csv,True
8,14,2.0,14.15,90.92,52.535000000000004,optuna_results_top15pl/gemma-2-2b-it/media_centric/pv_budget50_seeds3/seed_0/media_centric_pv_layer14_coef2.0_summary.csv,True
9,1,4.5,9.15,91.21,50.18,optuna_results_top15pl/gemma-2-2b-it/media_centric/pv_budget50_seeds3/seed_0/media_centric_pv_layer1_coef4.5_summary.csv,True
10,17,3.5,59.99,36.95,48.47,optuna_results_top15pl/gemma-2-2b-it/media_centric/pv_budget50_seeds3/seed_0/media_centric_pv_layer17_coef3.5_summary.csv,True
11,18,3.0,39.29,73.31,56.3,optuna_results_top15pl/gemma-2-2b-it/media_centric/pv_budget50_seeds3/seed_0/media_centric_pv_layer18_coef3.0_summary.csv,False
12,17,3.0,45.87,66.95,56.41,optuna_results_top15pl/gemma-2-2b-it/media_centric/pv_budget50_seeds3/seed_0/media_centric_pv_layer17_coef3.0_summary.csv,False
13,17,2.5,30.26,82.98,56.620000000000005,optuna_results_top15pl/gemma-2-2b-it/media_centric/pv_budget50_seeds3/seed_0/media_centric_pv_layer17_coef2.5_summary.csv,True
14,4,2.5,9.87,91.2,50.535000000000004,optuna_results_top15pl/gemma-2-2b-it/media_centric/pv_budget50_seeds3/seed_0/media_centric_pv_layer4_coef2.5_summary.csv,True
15,3,2.5,9.62,90.85,50.235,optuna_results_top15pl/gemma-2-2b-it/media_centric/pv_budget50_seeds3/seed_0/media_centric_pv_layer3_coef2.5_summary.csv,True
16,17,0.5,10.71,91.19,50.95,optuna_results_top15pl/gemma-2-2b-it/media_centric/pv_budget50_seeds3/seed_0/media_centric_pv_layer17_coef0.5_summary.csv,True
17,9,2.5,10.02,91.2,50.61,optuna_results_top15pl/gemma-2-2b-it/media_centric/pv_budget50_seeds3/seed_0/media_centric_pv_layer9_coef2.5_summary.csv,True
18,5,1.5,9.9,90.69,50.295,optuna_results_top15pl/gemma-2-2b-it/media_centric/pv_budget50_seeds3/seed_0/media_centric_pv_layer5_coef1.5_summary.csv,True
19,6,1.0,9.75,90.93,50.34,optuna_results_top15pl/gemma-2-2b-it/media_centric/pv_budget50_seeds3/seed_0/media_centric_pv_layer6_coef1.0_summary.csv,True
20,11,4.5,13.18,66.33,39.754999999999995,optuna_results_top15pl/gemma-2-2b-it/media_centric/pv_budget50_seeds3/seed_0/media_centric_pv_layer11_coef4.5_summary.csv,True
21,17,3.0,45.87,66.95,56.41,optuna_results_top15pl/gemma-2-2b-it/media_centric/pv_budget50_seeds3/seed_0/media_centric_pv_layer17_coef3.0_summary.csv,False
22,17,3.0,45.87,66.95,56.41,optuna_results_top15pl/gemma-2-2b-it/media_centric/pv_budget50_seeds3/seed_0/media_centric_pv_layer17_coef3.0_summary.csv,False
23,17,0.5,10.71,91.19,50.95,optuna_results_top15pl/gemma-2-2b-it/media_centric/pv_budget50_seeds3/seed_0/media_centric_pv_layer17_coef0.5_summary.csv,False
24,17,2.5,30.26,82.98,56.620000000000005,optuna_results_top15pl/gemma-2-2b-it/media_centric/pv_budget50_seeds3/seed_0/media_centric_pv_layer17_coef2.5_summary.csv,False
25,17,2.5,30.26,82.98,56.620000000000005,optuna_results_top15pl/gemma-2-2b-it/media_centric/pv_budget50_seeds3/seed_0/media_centric_pv_layer17_coef2.5_summary.csv,False
26,11,2.5,8.0,90.17,49.085,optuna_results_top15pl/gemma-2-2b-it/media_centric/pv_budget50_seeds3/seed_0/media_centric_pv_layer11_coef2.5_summary.csv,True
27,12,2.5,11.62,89.8,50.71,optuna_results_top15pl/gemma-2-2b-it/media_centric/pv_budget50_seeds3/seed_0/media_centric_pv_layer12_coef2.5_summary.csv,True
28,16,2.5,33.25,83.51,58.38,optuna_results_top15pl/gemma-2-2b-it/media_centric/pv_budget50_seeds3/seed_0/media_centric_pv_layer16_coef2.5_summary.csv,True
