trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,3,3.5,8.86,90.45,49.655,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/media_centric/media_centric_dir_diff_pv_layer3_coef3.5_summary.csv,False
1,18,1.0,14.72,91.07,52.894999999999996,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/media_centric/media_centric_dir_diff_pv_layer18_coef1.0_summary.csv,False
2,6,3.0,8.92,90.95,49.935,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/media_centric/media_centric_dir_diff_pv_layer6_coef3.0_summary.csv,False
3,12,0.5,8.65,91.11,49.88,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/media_centric/media_centric_dir_diff_pv_layer12_coef0.5_summary.csv,False
4,3,1.0,10.6,91.46,51.029999999999994,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/media_centric/media_centric_dir_diff_pv_layer3_coef1.0_summary.csv,False
5,6,2.0,10.55,91.2,50.875,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/media_centric/media_centric_dir_diff_pv_layer6_coef2.0_summary.csv,False
6,4,0.5,9.37,91.28,50.325,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/media_centric/media_centric_dir_diff_pv_layer4_coef0.5_summary.csv,False
7,15,3.5,46.51,40.5,43.504999999999995,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/media_centric/media_centric_dir_diff_pv_layer15_coef3.5_summary.csv,False
8,18,2.5,30.06,86.47,58.265,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/media_centric/media_centric_dir_diff_pv_layer18_coef2.5_summary.csv,False
9,14,4.5,45.86,18.89,32.375,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/media_centric/media_centric_dir_diff_pv_layer14_coef4.5_summary.csv,False
10,9,2.5,10.85,91.23,51.04,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/media_centric/media_centric_dir_diff_pv_layer9_coef2.5_summary.csv,False
11,18,2.5,30.06,86.47,58.265,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/media_centric/media_centric_dir_diff_pv_layer18_coef2.5_summary.csv,False
12,18,2.5,30.06,86.47,58.265,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/media_centric/media_centric_dir_diff_pv_layer18_coef2.5_summary.csv,False
13,2,2.5,8.8,90.96,49.879999999999995,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/media_centric/media_centric_dir_diff_pv_layer2_coef2.5_summary.csv,False
14,1,4.0,8.6,91.19,49.894999999999996,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/media_centric/media_centric_dir_diff_pv_layer1_coef4.0_summary.csv,False
15,5,2.5,9.46,90.9,50.18000000000001,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/media_centric/media_centric_dir_diff_pv_layer5_coef2.5_summary.csv,False
16,11,1.5,7.5,90.59,49.045,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/media_centric/media_centric_dir_diff_pv_layer11_coef1.5_summary.csv,False
17,17,2.5,30.7,85.08,57.89,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/media_centric/media_centric_dir_diff_pv_layer17_coef2.5_summary.csv,False
18,18,1.5,15.4,90.21,52.805,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/media_centric/media_centric_dir_diff_pv_layer18_coef1.5_summary.csv,False
19,13,2.0,9.81,90.23,50.02,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/media_centric/media_centric_dir_diff_pv_layer13_coef2.0_summary.csv,False
20,18,4.5,69.63,2.77,36.199999999999996,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/media_centric/media_centric_dir_diff_pv_layer18_coef4.5_summary.csv,False
21,18,2.5,30.06,86.47,58.265,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/media_centric/media_centric_dir_diff_pv_layer18_coef2.5_summary.csv,False
22,16,2.5,36.57,82.66,59.614999999999995,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/media_centric/media_centric_dir_diff_pv_layer16_coef2.5_summary.csv,False
23,16,2.5,36.57,82.66,59.614999999999995,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/media_centric/media_centric_dir_diff_pv_layer16_coef2.5_summary.csv,False
24,16,3.0,46.43,60.8,53.614999999999995,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/media_centric/media_centric_dir_diff_pv_layer16_coef3.0_summary.csv,False
25,16,4.0,72.13,9.92,41.025,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/media_centric/media_centric_dir_diff_pv_layer16_coef4.0_summary.csv,False
26,16,2.5,36.57,82.66,59.614999999999995,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/media_centric/media_centric_dir_diff_pv_layer16_coef2.5_summary.csv,False
27,16,2.5,36.57,82.66,59.614999999999995,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/media_centric/media_centric_dir_diff_pv_layer16_coef2.5_summary.csv,False
28,16,2.5,36.57,82.66,59.614999999999995,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/media_centric/media_centric_dir_diff_pv_layer16_coef2.5_summary.csv,False
29,16,2.5,36.57,82.66,59.614999999999995,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/media_centric/media_centric_dir_diff_pv_layer16_coef2.5_summary.csv,False
30,16,3.5,67.78,28.02,47.9,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/media_centric/media_centric_dir_diff_pv_layer16_coef3.5_summary.csv,False
31,16,2.5,36.57,82.66,59.614999999999995,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/media_centric/media_centric_dir_diff_pv_layer16_coef2.5_summary.csv,False
32,16,1.0,13.3,91.21,52.254999999999995,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/media_centric/media_centric_dir_diff_pv_layer16_coef1.0_summary.csv,False
33,16,2.5,36.57,82.66,59.614999999999995,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/media_centric/media_centric_dir_diff_pv_layer16_coef2.5_summary.csv,False
34,16,0.5,11.0,91.31,51.155,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/media_centric/media_centric_dir_diff_pv_layer16_coef0.5_summary.csv,False
35,12,3.0,12.65,90.32,51.485,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/media_centric/media_centric_dir_diff_pv_layer12_coef3.0_summary.csv,False
36,3,2.5,10.05,91.09,50.57,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/media_centric/media_centric_dir_diff_pv_layer3_coef2.5_summary.csv,False
37,4,2.0,10.25,90.91,50.58,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/media_centric/media_centric_dir_diff_pv_layer4_coef2.0_summary.csv,False
38,15,1.0,13.71,90.86,52.285,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/media_centric/media_centric_dir_diff_pv_layer15_coef1.0_summary.csv,False
39,9,3.5,12.32,91.07,51.69499999999999,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/media_centric/media_centric_dir_diff_pv_layer9_coef3.5_summary.csv,False
40,2,4.5,10.0,90.9,50.45,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/media_centric/media_centric_dir_diff_pv_layer2_coef4.5_summary.csv,False
41,16,2.5,36.57,82.66,59.614999999999995,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/media_centric/media_centric_dir_diff_pv_layer16_coef2.5_summary.csv,False
42,16,2.5,36.57,82.66,59.614999999999995,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/media_centric/media_centric_dir_diff_pv_layer16_coef2.5_summary.csv,False
43,11,2.5,7.7,90.68,49.190000000000005,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/media_centric/media_centric_dir_diff_pv_layer11_coef2.5_summary.csv,False
44,6,2.5,9.17,91.29,50.230000000000004,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/media_centric/media_centric_dir_diff_pv_layer6_coef2.5_summary.csv,False
45,14,2.5,16.77,89.84,53.305,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/media_centric/media_centric_dir_diff_pv_layer14_coef2.5_summary.csv,False
46,17,0.5,11.15,91.32,51.235,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/media_centric/media_centric_dir_diff_pv_layer17_coef0.5_summary.csv,False
47,1,4.0,8.6,91.19,49.894999999999996,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/media_centric/media_centric_dir_diff_pv_layer1_coef4.0_summary.csv,False
48,5,2.5,9.46,90.9,50.18000000000001,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/media_centric/media_centric_dir_diff_pv_layer5_coef2.5_summary.csv,False
49,13,1.5,8.95,90.66,49.805,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/media_centric/media_centric_dir_diff_pv_layer13_coef1.5_summary.csv,False
