trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,25,1.0,28.5,91.67,60.085,optuna_results_top15pl/gemma-2-2b-it/moralizing/cluster_budget50_seeds3/seed_2/moralizing_cluster_layer25_coef1.0_summary.csv,True
1,23,1.0,30.25,91.48,60.865,optuna_results_top15pl/gemma-2-2b-it/moralizing/cluster_budget50_seeds3/seed_2/moralizing_cluster_layer23_coef1.0_summary.csv,True
2,25,3.0,74.44,83.29,78.86500000000001,optuna_results_top15pl/gemma-2-2b-it/moralizing/cluster_budget50_seeds3/seed_1/moralizing_cluster_layer25_coef3.0_summary.csv,False
3,17,1.0,47.55,91.83,69.69,optuna_results_top15pl/gemma-2-2b-it/moralizing/cluster_budget50_seeds3/seed_1/moralizing_cluster_layer17_coef1.0_summary.csv,False
4,13,0.5,27.15,91.67,59.41,optuna_results_top15pl/gemma-2-2b-it/moralizing/cluster_budget50_seeds3/seed_2/moralizing_cluster_layer13_coef0.5_summary.csv,True
5,15,1.5,63.75,91.27,77.50999999999999,optuna_results_top15pl/gemma-2-2b-it/moralizing/cluster_budget50_seeds3/seed_1/moralizing_cluster_layer15_coef1.5_summary.csv,False
6,17,3.5,99.73,2.56,51.145,optuna_results_top15pl/gemma-2-2b-it/moralizing/cluster_budget50_seeds3/seed_2/moralizing_cluster_layer17_coef3.5_summary.csv,True
7,13,4.0,93.6,40.26,66.92999999999999,optuna_results_top15pl/gemma-2-2b-it/moralizing/cluster_budget50_seeds3/seed_1/moralizing_cluster_layer13_coef4.0_summary.csv,False
8,19,2.0,80.68,77.67,79.17500000000001,optuna_results_top15pl/gemma-2-2b-it/moralizing/cluster_budget50_seeds3/seed_0/moralizing_cluster_layer19_coef2.0_summary.csv,False
9,23,3.0,78.21,76.76,77.485,optuna_results_top15pl/gemma-2-2b-it/moralizing/cluster_budget50_seeds3/seed_2/moralizing_cluster_layer23_coef3.0_summary.csv,True
10,19,2.0,80.68,77.67,79.17500000000001,optuna_results_top15pl/gemma-2-2b-it/moralizing/cluster_budget50_seeds3/seed_0/moralizing_cluster_layer19_coef2.0_summary.csv,False
11,19,2.0,80.68,77.67,79.17500000000001,optuna_results_top15pl/gemma-2-2b-it/moralizing/cluster_budget50_seeds3/seed_0/moralizing_cluster_layer19_coef2.0_summary.csv,False
12,19,2.0,80.68,77.67,79.17500000000001,optuna_results_top15pl/gemma-2-2b-it/moralizing/cluster_budget50_seeds3/seed_0/moralizing_cluster_layer19_coef2.0_summary.csv,False
13,11,2.0,39.4,91.28,65.34,optuna_results_top15pl/gemma-2-2b-it/moralizing/cluster_budget50_seeds3/seed_0/moralizing_cluster_layer11_coef2.0_summary.csv,False
14,21,4.5,97.82,1.62,49.72,optuna_results_top15pl/gemma-2-2b-it/moralizing/cluster_budget50_seeds3/seed_1/moralizing_cluster_layer21_coef4.5_summary.csv,False
