trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,22,3.0,85.33,66.4,75.86500000000001,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer22_coef3.0_summary.csv,False
1,18,2.0,86.93,73.6,80.265,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer18_coef2.0_summary.csv,False
2,19,4.0,98.5,1.08,49.79,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer19_coef4.0_summary.csv,False
3,16,1.5,77.44,90.93,84.185,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer16_coef1.5_summary.csv,False
4,14,4.0,95.76,22.67,59.215,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer14_coef4.0_summary.csv,False
5,17,3.0,97.38,9.53,53.455,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer17_coef3.0_summary.csv,False
6,20,3.0,95.63,9.11,52.37,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer20_coef3.0_summary.csv,False
7,23,1.0,29.0,91.36,60.18,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer23_coef1.0_summary.csv,False
8,15,2.0,81.5,90.36,85.93,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer15_coef2.0_summary.csv,False
9,23,4.5,93.77,7.05,50.41,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer23_coef4.5_summary.csv,False
10,15,2.5,91.76,69.06,80.41,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer15_coef2.5_summary.csv,False
11,16,1.5,77.44,90.93,84.185,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer16_coef1.5_summary.csv,False
