trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,17,3.0,80.5,43.76,62.129999999999995,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/numerical/numerical_dir_diff_pv_layer17_coef3.0_summary.csv,False
1,15,2.0,30.27,89.63,59.949999999999996,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/numerical/numerical_dir_diff_pv_layer15_coef2.0_summary.csv,False
2,12,4.0,22.05,84.84,53.445,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/numerical/numerical_dir_diff_pv_layer12_coef4.0_summary.csv,False
3,14,1.5,17.11,91.81,54.46,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/numerical/numerical_dir_diff_pv_layer14_coef1.5_summary.csv,False
4,10,4.0,17.52,89.13,53.324999999999996,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/numerical/numerical_dir_diff_pv_layer10_coef4.0_summary.csv,False
5,13,3.0,18.16,89.69,53.925,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/numerical/numerical_dir_diff_pv_layer13_coef3.0_summary.csv,False
6,16,3.0,78.55,48.56,63.555,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/numerical/numerical_dir_diff_pv_layer16_coef3.0_summary.csv,False
7,8,1.0,9.14,91.69,50.415,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/numerical/numerical_dir_diff_pv_layer8_coef1.0_summary.csv,False
8,1,2.0,11.05,91.67,51.36,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/numerical/numerical_dir_diff_pv_layer1_coef2.0_summary.csv,False
9,8,4.5,12.84,90.65,51.745000000000005,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/numerical/numerical_dir_diff_pv_layer8_coef4.5_summary.csv,False
10,16,3.5,88.85,31.1,59.974999999999994,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/numerical/numerical_dir_diff_pv_layer16_coef3.5_summary.csv,False
11,17,3.0,80.5,43.76,62.129999999999995,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/numerical/numerical_dir_diff_pv_layer17_coef3.0_summary.csv,False
12,16,3.0,78.55,48.56,63.555,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/numerical/numerical_dir_diff_pv_layer16_coef3.0_summary.csv,False
13,16,2.5,60.12,73.47,66.795,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/numerical/numerical_dir_diff_pv_layer16_coef2.5_summary.csv,False
14,7,2.5,9.99,91.41,50.699999999999996,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/numerical/numerical_dir_diff_pv_layer7_coef2.5_summary.csv,False
15,6,2.5,9.51,91.62,50.565000000000005,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/numerical/numerical_dir_diff_pv_layer6_coef2.5_summary.csv,False
16,16,0.5,13.1,91.74,52.419999999999995,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/numerical/numerical_dir_diff_pv_layer16_coef0.5_summary.csv,False
17,2,2.5,9.28,91.63,50.455,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/numerical/numerical_dir_diff_pv_layer2_coef2.5_summary.csv,False
18,11,1.5,11.16,91.37,51.265,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/numerical/numerical_dir_diff_pv_layer11_coef1.5_summary.csv,False
19,18,1.0,14.71,91.44,53.075,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/numerical/numerical_dir_diff_pv_layer18_coef1.0_summary.csv,False
20,9,4.5,16.66,90.11,53.385,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/numerical/numerical_dir_diff_pv_layer9_coef4.5_summary.csv,False
21,16,3.0,78.55,48.56,63.555,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/numerical/numerical_dir_diff_pv_layer16_coef3.0_summary.csv,False
22,16,3.0,78.55,48.56,63.555,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/numerical/numerical_dir_diff_pv_layer16_coef3.0_summary.csv,False
23,16,0.5,13.1,91.74,52.419999999999995,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/numerical/numerical_dir_diff_pv_layer16_coef0.5_summary.csv,False
24,16,2.5,60.12,73.47,66.795,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/numerical/numerical_dir_diff_pv_layer16_coef2.5_summary.csv,False
25,16,2.5,60.12,73.47,66.795,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/numerical/numerical_dir_diff_pv_layer16_coef2.5_summary.csv,False
26,9,2.5,10.58,91.55,51.065,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/numerical/numerical_dir_diff_pv_layer9_coef2.5_summary.csv,False
27,12,2.5,15.52,91.17,53.345,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/numerical/numerical_dir_diff_pv_layer12_coef2.5_summary.csv,False
28,13,2.5,16.09,90.37,53.230000000000004,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/numerical/numerical_dir_diff_pv_layer13_coef2.5_summary.csv,False
29,10,2.5,11.73,91.52,51.625,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/numerical/numerical_dir_diff_pv_layer10_coef2.5_summary.csv,False
30,15,3.5,80.2,47.45,63.825,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/numerical/numerical_dir_diff_pv_layer15_coef3.5_summary.csv,False
31,15,3.5,80.2,47.45,63.825,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/numerical/numerical_dir_diff_pv_layer15_coef3.5_summary.csv,False
