trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,17,4.0,27.97,8.7,18.335,optuna_results/gemma-2-2b-it/professional/cluster_budget50_seeds3/seed_2/professional_cluster_layer17_coef4.0_summary.csv,True
1,25,0.5,93.91,89.12,91.515,optuna_results/gemma-2-2b-it/professional/cluster_budget50_seeds3/seed_2/professional_cluster_layer25_coef0.5_summary.csv,True
2,1,3.5,94.47,90.24,92.35499999999999,optuna_results/gemma-2-2b-it/professional/cluster_budget50_seeds3/seed_2/professional_cluster_layer1_coef3.5_summary.csv,True
3,6,0.5,93.56,90.16,91.86,optuna_results/gemma-2-2b-it/professional/cluster_budget50_seeds3/seed_2/professional_cluster_layer6_coef0.5_summary.csv,True
4,2,2.5,94.41,89.68,92.045,optuna_results/gemma-2-2b-it/professional/cluster_budget50_seeds3/seed_1/professional_cluster_layer2_coef2.5_summary.csv,False
5,10,1.0,94.4,89.35,91.875,optuna_results/gemma-2-2b-it/professional/cluster_budget50_seeds3/seed_2/professional_cluster_layer10_coef1.0_summary.csv,True
6,7,4.0,93.23,74.67,83.95,optuna_results/gemma-2-2b-it/professional/cluster_budget50_seeds3/seed_2/professional_cluster_layer7_coef4.0_summary.csv,True
7,9,2.5,94.54,88.76,91.65,optuna_results/gemma-2-2b-it/professional/cluster_budget50_seeds3/seed_1/professional_cluster_layer9_coef2.5_summary.csv,False
8,7,4.0,93.23,74.67,83.95,optuna_results/gemma-2-2b-it/professional/cluster_budget50_seeds3/seed_2/professional_cluster_layer7_coef4.0_summary.csv,False
9,7,2.5,94.58,88.62,91.6,optuna_results/gemma-2-2b-it/professional/cluster_budget50_seeds3/seed_2/professional_cluster_layer7_coef2.5_summary.csv,True
10,1,3.5,94.47,90.24,92.35499999999999,optuna_results/gemma-2-2b-it/professional/cluster_budget50_seeds3/seed_2/professional_cluster_layer1_coef3.5_summary.csv,False
11,1,3.5,94.47,90.24,92.35499999999999,optuna_results/gemma-2-2b-it/professional/cluster_budget50_seeds3/seed_2/professional_cluster_layer1_coef3.5_summary.csv,False
12,1,3.5,94.47,90.24,92.35499999999999,optuna_results/gemma-2-2b-it/professional/cluster_budget50_seeds3/seed_2/professional_cluster_layer1_coef3.5_summary.csv,False
13,16,3.5,61.12,26.83,43.974999999999994,optuna_results/gemma-2-2b-it/professional/cluster_budget50_seeds3/seed_2/professional_cluster_layer16_coef3.5_summary.csv,True
14,12,2.0,94.44,88.16,91.3,optuna_results/gemma-2-2b-it/professional/cluster_budget50_seeds3/seed_2/professional_cluster_layer12_coef2.0_summary.csv,True
15,23,4.5,4.73,1.54,3.1350000000000002,optuna_results/gemma-2-2b-it/professional/cluster_budget50_seeds3/seed_0/professional_cluster_layer23_coef4.5_summary.csv,False
16,8,1.5,94.39,89.43,91.91,optuna_results/gemma-2-2b-it/professional/cluster_budget50_seeds3/seed_2/professional_cluster_layer8_coef1.5_summary.csv,True
17,5,3.0,94.41,90.33,92.37,optuna_results/gemma-2-2b-it/professional/cluster_budget50_seeds3/seed_0/professional_cluster_layer5_coef3.0_summary.csv,False
18,13,3.0,92.46,77.15,84.805,optuna_results/gemma-2-2b-it/professional/cluster_budget50_seeds3/seed_0/professional_cluster_layer13_coef3.0_summary.csv,False
19,5,3.0,94.41,90.33,92.37,optuna_results/gemma-2-2b-it/professional/cluster_budget50_seeds3/seed_0/professional_cluster_layer5_coef3.0_summary.csv,False
20,5,3.0,94.41,90.33,92.37,optuna_results/gemma-2-2b-it/professional/cluster_budget50_seeds3/seed_0/professional_cluster_layer5_coef3.0_summary.csv,False
21,5,3.0,94.41,90.33,92.37,optuna_results/gemma-2-2b-it/professional/cluster_budget50_seeds3/seed_0/professional_cluster_layer5_coef3.0_summary.csv,False
22,5,3.0,94.41,90.33,92.37,optuna_results/gemma-2-2b-it/professional/cluster_budget50_seeds3/seed_0/professional_cluster_layer5_coef3.0_summary.csv,False
23,5,3.0,94.41,90.33,92.37,optuna_results/gemma-2-2b-it/professional/cluster_budget50_seeds3/seed_0/professional_cluster_layer5_coef3.0_summary.csv,False
24,5,3.0,94.41,90.33,92.37,optuna_results/gemma-2-2b-it/professional/cluster_budget50_seeds3/seed_0/professional_cluster_layer5_coef3.0_summary.csv,False
25,4,3.0,94.54,89.67,92.105,optuna_results/gemma-2-2b-it/professional/cluster_budget50_seeds3/seed_1/professional_cluster_layer4_coef3.0_summary.csv,False
26,14,3.0,92.8,71.73,82.265,optuna_results/gemma-2-2b-it/professional/cluster_budget50_seeds3/seed_2/professional_cluster_layer14_coef3.0_summary.csv,True
27,24,2.0,93.6,80.39,86.995,optuna_results/gemma-2-2b-it/professional/cluster_budget50_seeds3/seed_2/professional_cluster_layer24_coef2.0_summary.csv,True
28,20,1.0,94.6,89.83,92.215,optuna_results/gemma-2-2b-it/professional/cluster_budget50_seeds3/seed_2/professional_cluster_layer20_coef1.0_summary.csv,True
29,15,1.5,94.75,88.64,91.695,optuna_results/gemma-2-2b-it/professional/cluster_budget50_seeds3/seed_2/professional_cluster_layer15_coef1.5_summary.csv,True
30,22,4.5,3.16,1.9,2.5300000000000002,optuna_results/gemma-2-2b-it/professional/cluster_budget50_seeds3/seed_2/professional_cluster_layer22_coef4.5_summary.csv,True
31,5,3.0,94.41,90.33,92.37,optuna_results/gemma-2-2b-it/professional/cluster_budget50_seeds3/seed_0/professional_cluster_layer5_coef3.0_summary.csv,False
32,19,3.0,84.58,52.39,68.485,optuna_results/gemma-2-2b-it/professional/cluster_budget50_seeds3/seed_0/professional_cluster_layer19_coef3.0_summary.csv,False
33,21,3.0,85.72,48.71,67.215,optuna_results/gemma-2-2b-it/professional/cluster_budget50_seeds3/seed_0/professional_cluster_layer21_coef3.0_summary.csv,False
34,3,0.5,93.77,89.58,91.675,optuna_results/gemma-2-2b-it/professional/cluster_budget50_seeds3/seed_2/professional_cluster_layer3_coef0.5_summary.csv,True
35,5,3.0,94.41,90.33,92.37,optuna_results/gemma-2-2b-it/professional/cluster_budget50_seeds3/seed_0/professional_cluster_layer5_coef3.0_summary.csv,False
36,11,3.0,94.25,85.09,89.67,optuna_results/gemma-2-2b-it/professional/cluster_budget50_seeds3/seed_1/professional_cluster_layer11_coef3.0_summary.csv,False
37,18,3.0,69.29,31.58,50.435,optuna_results/gemma-2-2b-it/professional/cluster_budget50_seeds3/seed_0/professional_cluster_layer18_coef3.0_summary.csv,False
38,5,0.5,93.39,89.45,91.42,optuna_results/gemma-2-2b-it/professional/cluster_budget50_seeds3/seed_2/professional_cluster_layer5_coef0.5_summary.csv,True
39,17,1.0,94.66,89.27,91.965,optuna_results/gemma-2-2b-it/professional/cluster_budget50_seeds3/seed_2/professional_cluster_layer17_coef1.0_summary.csv,True
40,25,4.0,7.51,1.24,4.375,optuna_results/gemma-2-2b-it/professional/cluster_budget50_seeds3/seed_2/professional_cluster_layer25_coef4.0_summary.csv,True
41,5,3.0,94.41,90.33,92.37,optuna_results/gemma-2-2b-it/professional/cluster_budget50_seeds3/seed_0/professional_cluster_layer5_coef3.0_summary.csv,False
42,5,3.0,94.41,90.33,92.37,optuna_results/gemma-2-2b-it/professional/cluster_budget50_seeds3/seed_0/professional_cluster_layer5_coef3.0_summary.csv,False
43,2,3.0,94.65,91.24,92.945,optuna_results/gemma-2-2b-it/professional/cluster_budget50_seeds3/seed_1/professional_cluster_layer2_coef3.0_summary.csv,False
44,2,2.5,94.41,89.68,92.045,optuna_results/gemma-2-2b-it/professional/cluster_budget50_seeds3/seed_1/professional_cluster_layer2_coef2.5_summary.csv,False
45,6,3.0,94.52,90.04,92.28,optuna_results/gemma-2-2b-it/professional/cluster_budget50_seeds3/seed_0/professional_cluster_layer6_coef3.0_summary.csv,False
46,9,2.0,94.74,89.0,91.87,optuna_results/gemma-2-2b-it/professional/cluster_budget50_seeds3/seed_2/professional_cluster_layer9_coef2.0_summary.csv,True
47,2,4.0,94.57,89.32,91.945,optuna_results/gemma-2-2b-it/professional/cluster_budget50_seeds3/seed_1/professional_cluster_layer2_coef4.0_summary.csv,False
48,10,4.5,85.83,52.66,69.245,optuna_results/gemma-2-2b-it/professional/cluster_budget50_seeds3/seed_1/professional_cluster_layer10_coef4.5_summary.csv,False
49,16,1.5,94.74,87.71,91.225,optuna_results/gemma-2-2b-it/professional/cluster_budget50_seeds3/seed_2/professional_cluster_layer16_coef1.5_summary.csv,True
