trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,22,4.0,12.6,4.89,8.745,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/professional/professional_dir_diff_pv_layer22_coef4.0_summary.csv,False
1,7,0.5,93.86,90.63,92.245,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/professional/professional_dir_diff_pv_layer7_coef0.5_summary.csv,False
2,20,2.0,94.12,83.25,88.685,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/professional/professional_dir_diff_pv_layer20_coef2.0_summary.csv,False
3,8,2.5,94.55,88.72,91.63499999999999,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/professional/professional_dir_diff_pv_layer8_coef2.5_summary.csv,False
4,23,1.5,94.79,87.36,91.075,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/professional/professional_dir_diff_pv_layer23_coef1.5_summary.csv,False
5,2,3.0,94.56,90.59,92.575,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/professional/professional_dir_diff_pv_layer2_coef3.0_summary.csv,False
6,8,0.5,93.67,90.45,92.06,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/professional/professional_dir_diff_pv_layer8_coef0.5_summary.csv,False
7,14,1.0,94.77,88.9,91.83500000000001,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/professional/professional_dir_diff_pv_layer14_coef1.0_summary.csv,False
8,3,1.0,93.59,89.0,91.295,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/professional/professional_dir_diff_pv_layer3_coef1.0_summary.csv,False
9,5,3.5,94.71,89.63,92.16999999999999,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/professional/professional_dir_diff_pv_layer5_coef3.5_summary.csv,False
10,2,3.0,94.56,90.59,92.575,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/professional/professional_dir_diff_pv_layer2_coef3.0_summary.csv,False
11,2,3.0,94.56,90.59,92.575,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/professional/professional_dir_diff_pv_layer2_coef3.0_summary.csv,False
12,2,3.0,94.56,90.59,92.575,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/professional/professional_dir_diff_pv_layer2_coef3.0_summary.csv,False
13,13,3.0,92.84,78.39,85.61500000000001,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/professional/professional_dir_diff_pv_layer13_coef3.0_summary.csv,False
14,2,4.5,94.41,89.71,92.06,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/professional/professional_dir_diff_pv_layer2_coef4.5_summary.csv,False
15,11,3.0,94.55,84.47,89.50999999999999,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/professional/professional_dir_diff_pv_layer11_coef3.0_summary.csv,False
16,16,3.0,83.96,58.55,71.255,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/professional/professional_dir_diff_pv_layer16_coef3.0_summary.csv,False
17,6,4.0,94.57,88.28,91.425,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/professional/professional_dir_diff_pv_layer6_coef4.0_summary.csv,False
18,9,2.5,94.53,89.62,92.075,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/professional/professional_dir_diff_pv_layer9_coef2.5_summary.csv,False
19,17,3.5,48.63,17.6,33.115,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/professional/professional_dir_diff_pv_layer17_coef3.5_summary.csv,False
20,10,4.5,88.03,57.11,72.57,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/professional/professional_dir_diff_pv_layer10_coef4.5_summary.csv,False
21,2,3.0,94.56,90.59,92.575,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/professional/professional_dir_diff_pv_layer2_coef3.0_summary.csv,False
22,2,3.0,94.56,90.59,92.575,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/professional/professional_dir_diff_pv_layer2_coef3.0_summary.csv,False
23,4,3.0,94.35,89.95,92.15,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/professional/professional_dir_diff_pv_layer4_coef3.0_summary.csv,False
24,25,1.5,94.6,87.47,91.035,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/professional/professional_dir_diff_pv_layer25_coef1.5_summary.csv,False
25,1,2.0,93.81,90.51,92.16,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/professional/professional_dir_diff_pv_layer1_coef2.0_summary.csv,False
26,12,3.0,93.97,82.16,88.065,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/professional/professional_dir_diff_pv_layer12_coef3.0_summary.csv,False
27,15,3.0,91.88,74.18,83.03,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/professional/professional_dir_diff_pv_layer15_coef3.0_summary.csv,False
28,21,3.0,84.99,50.65,67.82,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/professional/professional_dir_diff_pv_layer21_coef3.0_summary.csv,False
29,19,4.0,51.31,18.21,34.760000000000005,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/professional/professional_dir_diff_pv_layer19_coef4.0_summary.csv,False
30,24,3.0,72.23,37.51,54.870000000000005,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/professional/professional_dir_diff_pv_layer24_coef3.0_summary.csv,False
31,2,3.0,94.56,90.59,92.575,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/professional/professional_dir_diff_pv_layer2_coef3.0_summary.csv,False
32,18,0.5,94.63,89.21,91.91999999999999,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/professional/professional_dir_diff_pv_layer18_coef0.5_summary.csv,False
33,22,3.0,74.35,39.24,56.795,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/professional/professional_dir_diff_pv_layer22_coef3.0_summary.csv,False
34,2,2.0,94.44,90.21,92.32499999999999,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/professional/professional_dir_diff_pv_layer2_coef2.0_summary.csv,False
35,2,2.5,94.39,89.62,92.005,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/professional/professional_dir_diff_pv_layer2_coef2.5_summary.csv,False
36,2,1.5,94.0,89.53,91.765,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/professional/professional_dir_diff_pv_layer2_coef1.5_summary.csv,False
37,7,3.0,94.5,85.56,90.03,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/professional/professional_dir_diff_pv_layer7_coef3.0_summary.csv,False
38,23,1.0,94.69,90.16,92.425,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/professional/professional_dir_diff_pv_layer23_coef1.0_summary.csv,False
39,2,0.5,93.69,89.62,91.655,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/professional/professional_dir_diff_pv_layer2_coef0.5_summary.csv,False
40,14,3.5,85.3,55.53,70.41499999999999,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/professional/professional_dir_diff_pv_layer14_coef3.5_summary.csv,False
41,2,3.0,94.56,90.59,92.575,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/professional/professional_dir_diff_pv_layer2_coef3.0_summary.csv,False
42,2,3.0,94.56,90.59,92.575,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/professional/professional_dir_diff_pv_layer2_coef3.0_summary.csv,False
43,3,3.0,94.44,89.83,92.13499999999999,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/professional/professional_dir_diff_pv_layer3_coef3.0_summary.csv,False
44,20,4.5,29.15,7.78,18.465,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/professional/professional_dir_diff_pv_layer20_coef4.5_summary.csv,False
45,13,3.0,92.84,78.39,85.61500000000001,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/professional/professional_dir_diff_pv_layer13_coef3.0_summary.csv,False
46,5,1.0,93.63,90.39,92.00999999999999,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/professional/professional_dir_diff_pv_layer5_coef1.0_summary.csv,False
47,2,4.0,94.63,89.7,92.16499999999999,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/professional/professional_dir_diff_pv_layer2_coef4.0_summary.csv,False
48,8,3.0,94.64,88.18,91.41,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/professional/professional_dir_diff_pv_layer8_coef3.0_summary.csv,False
49,16,2.5,93.38,75.88,84.63,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/professional/professional_dir_diff_pv_layer16_coef2.5_summary.csv,False
