trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,17,4.0,98.09,0.92,49.505,optuna_results/gemma-2-2b-it/self_deprecating/cluster_budget50_seeds3/seed_1/self_deprecating_cluster_layer17_coef4.0_summary.csv,False
1,25,0.5,4.06,91.65,47.855000000000004,optuna_results/gemma-2-2b-it/self_deprecating/cluster_budget50_seeds3/seed_2/self_deprecating_cluster_layer25_coef0.5_summary.csv,True
2,1,3.5,4.65,89.37,47.010000000000005,optuna_results/gemma-2-2b-it/self_deprecating/cluster_budget50_seeds3/seed_2/self_deprecating_cluster_layer1_coef3.5_summary.csv,True
3,6,0.5,3.86,91.72,47.79,optuna_results/gemma-2-2b-it/self_deprecating/cluster_budget50_seeds3/seed_2/self_deprecating_cluster_layer6_coef0.5_summary.csv,True
4,2,2.5,4.01,91.37,47.690000000000005,optuna_results/gemma-2-2b-it/self_deprecating/cluster_budget50_seeds3/seed_2/self_deprecating_cluster_layer2_coef2.5_summary.csv,True
5,10,1.0,4.41,91.13,47.769999999999996,optuna_results/gemma-2-2b-it/self_deprecating/cluster_budget50_seeds3/seed_2/self_deprecating_cluster_layer10_coef1.0_summary.csv,True
6,7,4.0,67.42,27.78,47.6,optuna_results/gemma-2-2b-it/self_deprecating/cluster_budget50_seeds3/seed_2/self_deprecating_cluster_layer7_coef4.0_summary.csv,True
7,9,2.5,12.01,84.64,48.325,optuna_results/gemma-2-2b-it/self_deprecating/cluster_budget50_seeds3/seed_2/self_deprecating_cluster_layer9_coef2.5_summary.csv,True
8,7,4.0,67.42,27.78,47.6,optuna_results/gemma-2-2b-it/self_deprecating/cluster_budget50_seeds3/seed_2/self_deprecating_cluster_layer7_coef4.0_summary.csv,False
9,7,2.5,7.98,87.09,47.535000000000004,optuna_results/gemma-2-2b-it/self_deprecating/cluster_budget50_seeds3/seed_2/self_deprecating_cluster_layer7_coef2.5_summary.csv,True
10,17,1.5,78.15,34.81,56.480000000000004,optuna_results/gemma-2-2b-it/self_deprecating/cluster_budget50_seeds3/seed_1/self_deprecating_cluster_layer17_coef1.5_summary.csv,False
11,17,1.5,78.15,34.81,56.480000000000004,optuna_results/gemma-2-2b-it/self_deprecating/cluster_budget50_seeds3/seed_1/self_deprecating_cluster_layer17_coef1.5_summary.csv,False
12,17,1.5,78.15,34.81,56.480000000000004,optuna_results/gemma-2-2b-it/self_deprecating/cluster_budget50_seeds3/seed_1/self_deprecating_cluster_layer17_coef1.5_summary.csv,False
13,17,1.5,78.15,34.81,56.480000000000004,optuna_results/gemma-2-2b-it/self_deprecating/cluster_budget50_seeds3/seed_1/self_deprecating_cluster_layer17_coef1.5_summary.csv,False
14,15,1.5,74.15,37.39,55.77,optuna_results/gemma-2-2b-it/self_deprecating/cluster_budget50_seeds3/seed_1/self_deprecating_cluster_layer15_coef1.5_summary.csv,False
15,23,4.5,96.47,1.0,48.735,optuna_results/gemma-2-2b-it/self_deprecating/cluster_budget50_seeds3/seed_0/self_deprecating_cluster_layer23_coef4.5_summary.csv,False
16,8,3.0,22.29,75.84,49.065,optuna_results/gemma-2-2b-it/self_deprecating/cluster_budget50_seeds3/seed_2/self_deprecating_cluster_layer8_coef3.0_summary.csv,True
17,5,2.0,4.93,90.65,47.790000000000006,optuna_results/gemma-2-2b-it/self_deprecating/cluster_budget50_seeds3/seed_2/self_deprecating_cluster_layer5_coef2.0_summary.csv,True
18,11,1.5,7.16,89.71,48.434999999999995,optuna_results/gemma-2-2b-it/self_deprecating/cluster_budget50_seeds3/seed_0/self_deprecating_cluster_layer11_coef1.5_summary.csv,False
19,16,1.5,80.46,31.15,55.80499999999999,optuna_results/gemma-2-2b-it/self_deprecating/cluster_budget50_seeds3/seed_0/self_deprecating_cluster_layer16_coef1.5_summary.csv,False
20,13,4.5,96.23,1.35,48.79,optuna_results/gemma-2-2b-it/self_deprecating/cluster_budget50_seeds3/seed_1/self_deprecating_cluster_layer13_coef4.5_summary.csv,False
21,17,1.5,78.15,34.81,56.480000000000004,optuna_results/gemma-2-2b-it/self_deprecating/cluster_budget50_seeds3/seed_1/self_deprecating_cluster_layer17_coef1.5_summary.csv,False
22,17,1.5,78.15,34.81,56.480000000000004,optuna_results/gemma-2-2b-it/self_deprecating/cluster_budget50_seeds3/seed_1/self_deprecating_cluster_layer17_coef1.5_summary.csv,False
23,19,1.5,71.95,38.59,55.27,optuna_results/gemma-2-2b-it/self_deprecating/cluster_budget50_seeds3/seed_1/self_deprecating_cluster_layer19_coef1.5_summary.csv,False
24,12,1.0,4.87,90.94,47.905,optuna_results/gemma-2-2b-it/self_deprecating/cluster_budget50_seeds3/seed_2/self_deprecating_cluster_layer12_coef1.0_summary.csv,True
25,4,2.0,4.23,91.39,47.81,optuna_results/gemma-2-2b-it/self_deprecating/cluster_budget50_seeds3/seed_2/self_deprecating_cluster_layer4_coef2.0_summary.csv,True
26,21,3.5,96.45,0.92,48.685,optuna_results/gemma-2-2b-it/self_deprecating/cluster_budget50_seeds3/seed_2/self_deprecating_cluster_layer21_coef3.5_summary.csv,True
27,14,3.0,95.84,2.26,49.050000000000004,optuna_results/gemma-2-2b-it/self_deprecating/cluster_budget50_seeds3/seed_2/self_deprecating_cluster_layer14_coef3.0_summary.csv,True
28,20,1.5,76.12,34.98,55.55,optuna_results/gemma-2-2b-it/self_deprecating/cluster_budget50_seeds3/seed_1/self_deprecating_cluster_layer20_coef1.5_summary.csv,False
29,24,1.5,11.63,88.49,50.059999999999995,optuna_results/gemma-2-2b-it/self_deprecating/cluster_budget50_seeds3/seed_2/self_deprecating_cluster_layer24_coef1.5_summary.csv,True
30,22,1.5,39.34,66.25,52.795,optuna_results/gemma-2-2b-it/self_deprecating/cluster_budget50_seeds3/seed_2/self_deprecating_cluster_layer22_coef1.5_summary.csv,True
31,17,1.5,78.15,34.81,56.480000000000004,optuna_results/gemma-2-2b-it/self_deprecating/cluster_budget50_seeds3/seed_1/self_deprecating_cluster_layer17_coef1.5_summary.csv,False
32,17,1.5,78.15,34.81,56.480000000000004,optuna_results/gemma-2-2b-it/self_deprecating/cluster_budget50_seeds3/seed_1/self_deprecating_cluster_layer17_coef1.5_summary.csv,False
33,3,0.5,3.77,91.69,47.73,optuna_results/gemma-2-2b-it/self_deprecating/cluster_budget50_seeds3/seed_2/self_deprecating_cluster_layer3_coef0.5_summary.csv,True
34,18,3.5,97.94,0.98,49.46,optuna_results/gemma-2-2b-it/self_deprecating/cluster_budget50_seeds3/seed_2/self_deprecating_cluster_layer18_coef3.5_summary.csv,True
35,17,1.5,78.15,34.81,56.480000000000004,optuna_results/gemma-2-2b-it/self_deprecating/cluster_budget50_seeds3/seed_1/self_deprecating_cluster_layer17_coef1.5_summary.csv,False
36,17,1.5,78.15,34.81,56.480000000000004,optuna_results/gemma-2-2b-it/self_deprecating/cluster_budget50_seeds3/seed_1/self_deprecating_cluster_layer17_coef1.5_summary.csv,False
37,25,0.5,4.06,91.65,47.855000000000004,optuna_results/gemma-2-2b-it/self_deprecating/cluster_budget50_seeds3/seed_2/self_deprecating_cluster_layer25_coef0.5_summary.csv,False
38,6,4.0,65.45,17.86,41.655,optuna_results/gemma-2-2b-it/self_deprecating/cluster_budget50_seeds3/seed_2/self_deprecating_cluster_layer6_coef4.0_summary.csv,True
39,1,1.0,3.86,91.44,47.65,optuna_results/gemma-2-2b-it/self_deprecating/cluster_budget50_seeds3/seed_2/self_deprecating_cluster_layer1_coef1.0_summary.csv,True
40,10,4.5,94.68,4.41,49.545,optuna_results/gemma-2-2b-it/self_deprecating/cluster_budget50_seeds3/seed_1/self_deprecating_cluster_layer10_coef4.5_summary.csv,False
41,17,1.5,78.15,34.81,56.480000000000004,optuna_results/gemma-2-2b-it/self_deprecating/cluster_budget50_seeds3/seed_1/self_deprecating_cluster_layer17_coef1.5_summary.csv,False
42,17,1.5,78.15,34.81,56.480000000000004,optuna_results/gemma-2-2b-it/self_deprecating/cluster_budget50_seeds3/seed_1/self_deprecating_cluster_layer17_coef1.5_summary.csv,False
