trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,19,3.5,96.34,1.0,48.67,optuna_results_top15pl/gemma-2-2b-it/self_deprecating/pv_budget50_seeds3/seed_1/self_deprecating_pv_layer19_coef3.5_summary.csv,True
1,18,1.0,10.19,88.74,49.464999999999996,optuna_results_top15pl/gemma-2-2b-it/self_deprecating/pv_budget50_seeds3/seed_1/self_deprecating_pv_layer18_coef1.0_summary.csv,True
2,2,3.0,5.17,90.96,48.065,optuna_results_top15pl/gemma-2-2b-it/self_deprecating/pv_budget50_seeds3/seed_1/self_deprecating_pv_layer2_coef3.0_summary.csv,True
3,17,0.5,4.84,91.26,48.050000000000004,optuna_results_top15pl/gemma-2-2b-it/self_deprecating/pv_budget50_seeds3/seed_1/self_deprecating_pv_layer17_coef0.5_summary.csv,True
4,19,1.0,8.63,89.16,48.894999999999996,optuna_results_top15pl/gemma-2-2b-it/self_deprecating/pv_budget50_seeds3/seed_1/self_deprecating_pv_layer19_coef1.0_summary.csv,True
5,2,2.0,3.58,91.47,47.525,optuna_results_top15pl/gemma-2-2b-it/self_deprecating/pv_budget50_seeds3/seed_1/self_deprecating_pv_layer2_coef2.0_summary.csv,True
6,24,0.5,4.53,91.61,48.07,optuna_results_top15pl/gemma-2-2b-it/self_deprecating/pv_budget50_seeds3/seed_0/self_deprecating_pv_layer24_coef0.5_summary.csv,False
7,15,3.5,96.29,1.28,48.785000000000004,optuna_results_top15pl/gemma-2-2b-it/self_deprecating/pv_budget50_seeds3/seed_1/self_deprecating_pv_layer15_coef3.5_summary.csv,True
8,18,2.5,96.3,1.64,48.97,optuna_results_top15pl/gemma-2-2b-it/self_deprecating/pv_budget50_seeds3/seed_1/self_deprecating_pv_layer18_coef2.5_summary.csv,True
9,13,4.5,96.5,1.25,48.875,optuna_results_top15pl/gemma-2-2b-it/self_deprecating/pv_budget50_seeds3/seed_1/self_deprecating_pv_layer13_coef4.5_summary.csv,True
10,22,1.0,6.07,90.07,48.06999999999999,optuna_results_top15pl/gemma-2-2b-it/self_deprecating/pv_budget50_seeds3/seed_1/self_deprecating_pv_layer22_coef1.0_summary.csv,True
11,18,2.5,96.3,1.64,48.97,optuna_results_top15pl/gemma-2-2b-it/self_deprecating/pv_budget50_seeds3/seed_1/self_deprecating_pv_layer18_coef2.5_summary.csv,False
12,18,2.5,96.3,1.64,48.97,optuna_results_top15pl/gemma-2-2b-it/self_deprecating/pv_budget50_seeds3/seed_1/self_deprecating_pv_layer18_coef2.5_summary.csv,False
13,11,4.0,94.0,3.36,48.68,optuna_results_top15pl/gemma-2-2b-it/self_deprecating/pv_budget50_seeds3/seed_0/self_deprecating_pv_layer11_coef4.0_summary.csv,False
14,21,1.5,64.65,47.89,56.27,optuna_results_top15pl/gemma-2-2b-it/self_deprecating/pv_budget50_seeds3/seed_1/self_deprecating_pv_layer21_coef1.5_summary.csv,True
15,21,1.5,64.65,47.89,56.27,optuna_results_top15pl/gemma-2-2b-it/self_deprecating/pv_budget50_seeds3/seed_1/self_deprecating_pv_layer21_coef1.5_summary.csv,False
16,21,1.5,64.65,47.89,56.27,optuna_results_top15pl/gemma-2-2b-it/self_deprecating/pv_budget50_seeds3/seed_1/self_deprecating_pv_layer21_coef1.5_summary.csv,False
17,21,1.5,64.65,47.89,56.27,optuna_results_top15pl/gemma-2-2b-it/self_deprecating/pv_budget50_seeds3/seed_1/self_deprecating_pv_layer21_coef1.5_summary.csv,False
