trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,22,4.0,99.93,1.02,50.475,optuna_results/gemma-2-2b-it/sycophantic/cluster_budget50_seeds3/seed_1/sycophantic_cluster_layer22_coef4.0_summary.csv,True
1,7,0.5,10.05,86.16,48.105,optuna_results/gemma-2-2b-it/sycophantic/cluster_budget50_seeds3/seed_0/sycophantic_cluster_layer7_coef0.5_summary.csv,False
2,20,2.0,96.55,7.23,51.89,optuna_results/gemma-2-2b-it/sycophantic/cluster_budget50_seeds3/seed_1/sycophantic_cluster_layer20_coef2.0_summary.csv,True
3,8,2.5,25.27,74.65,49.96,optuna_results/gemma-2-2b-it/sycophantic/cluster_budget50_seeds3/seed_1/sycophantic_cluster_layer8_coef2.5_summary.csv,True
4,23,1.5,21.67,85.98,53.825,optuna_results/gemma-2-2b-it/sycophantic/cluster_budget50_seeds3/seed_1/sycophantic_cluster_layer23_coef1.5_summary.csv,True
5,2,3.0,9.75,86.84,48.295,optuna_results/gemma-2-2b-it/sycophantic/cluster_budget50_seeds3/seed_1/sycophantic_cluster_layer2_coef3.0_summary.csv,True
6,8,0.5,10.63,87.17,48.9,optuna_results/gemma-2-2b-it/sycophantic/cluster_budget50_seeds3/seed_1/sycophantic_cluster_layer8_coef0.5_summary.csv,True
7,14,1.0,24.21,83.16,53.685,optuna_results/gemma-2-2b-it/sycophantic/cluster_budget50_seeds3/seed_1/sycophantic_cluster_layer14_coef1.0_summary.csv,True
8,3,1.0,8.64,87.07,47.855,optuna_results/gemma-2-2b-it/sycophantic/cluster_budget50_seeds3/seed_1/sycophantic_cluster_layer3_coef1.0_summary.csv,True
9,5,3.5,35.03,58.56,46.795,optuna_results/gemma-2-2b-it/sycophantic/cluster_budget50_seeds3/seed_1/sycophantic_cluster_layer5_coef3.5_summary.csv,True
10,23,1.5,21.67,85.98,53.825,optuna_results/gemma-2-2b-it/sycophantic/cluster_budget50_seeds3/seed_1/sycophantic_cluster_layer23_coef1.5_summary.csv,False
11,23,1.5,21.67,85.98,53.825,optuna_results/gemma-2-2b-it/sycophantic/cluster_budget50_seeds3/seed_1/sycophantic_cluster_layer23_coef1.5_summary.csv,False
12,23,1.5,21.67,85.98,53.825,optuna_results/gemma-2-2b-it/sycophantic/cluster_budget50_seeds3/seed_1/sycophantic_cluster_layer23_coef1.5_summary.csv,False
13,6,1.5,10.49,86.96,48.724999999999994,optuna_results/gemma-2-2b-it/sycophantic/cluster_budget50_seeds3/seed_1/sycophantic_cluster_layer6_coef1.5_summary.csv,True
14,13,4.5,99.65,1.61,50.63,optuna_results/gemma-2-2b-it/sycophantic/cluster_budget50_seeds3/seed_0/sycophantic_cluster_layer13_coef4.5_summary.csv,False
15,17,1.5,90.72,33.04,61.879999999999995,optuna_results/gemma-2-2b-it/sycophantic/cluster_budget50_seeds3/seed_1/sycophantic_cluster_layer17_coef1.5_summary.csv,True
16,19,1.5,71.15,55.9,63.525000000000006,optuna_results/gemma-2-2b-it/sycophantic/cluster_budget50_seeds3/seed_1/sycophantic_cluster_layer19_coef1.5_summary.csv,True
17,17,4.0,99.75,1.21,50.48,optuna_results/gemma-2-2b-it/sycophantic/cluster_budget50_seeds3/seed_1/sycophantic_cluster_layer17_coef4.0_summary.csv,True
18,19,3.0,99.65,1.57,50.61,optuna_results/gemma-2-2b-it/sycophantic/cluster_budget50_seeds3/seed_1/sycophantic_cluster_layer19_coef3.0_summary.csv,True
19,17,3.5,99.79,1.07,50.43,optuna_results/gemma-2-2b-it/sycophantic/cluster_budget50_seeds3/seed_1/sycophantic_cluster_layer17_coef3.5_summary.csv,True
20,10,4.5,95.55,9.02,52.285,optuna_results/gemma-2-2b-it/sycophantic/cluster_budget50_seeds3/seed_0/sycophantic_cluster_layer10_coef4.5_summary.csv,False
21,9,1.5,14.07,84.42,49.245000000000005,optuna_results/gemma-2-2b-it/sycophantic/cluster_budget50_seeds3/seed_1/sycophantic_cluster_layer9_coef1.5_summary.csv,True
22,15,1.5,82.73,44.16,63.445,optuna_results/gemma-2-2b-it/sycophantic/cluster_budget50_seeds3/seed_1/sycophantic_cluster_layer15_coef1.5_summary.csv,True
23,18,1.5,88.03,33.45,60.74,optuna_results/gemma-2-2b-it/sycophantic/cluster_budget50_seeds3/seed_1/sycophantic_cluster_layer18_coef1.5_summary.csv,True
24,15,2.0,95.48,18.72,57.1,optuna_results/gemma-2-2b-it/sycophantic/cluster_budget50_seeds3/seed_1/sycophantic_cluster_layer15_coef2.0_summary.csv,True
25,15,2.5,98.85,4.57,51.709999999999994,optuna_results/gemma-2-2b-it/sycophantic/cluster_budget50_seeds3/seed_0/sycophantic_cluster_layer15_coef2.5_summary.csv,False
26,16,1.5,91.73,29.14,60.435,optuna_results/gemma-2-2b-it/sycophantic/cluster_budget50_seeds3/seed_1/sycophantic_cluster_layer16_coef1.5_summary.csv,True
