trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,20,3.0,99.82,1.3,50.559999999999995,optuna_results_top15pl/gemma-2-2b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer20_coef3.0_summary.csv,True
1,15,2.0,95.4,19.88,57.64,optuna_results_top15pl/gemma-2-2b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer15_coef2.0_summary.csv,True
2,12,4.0,99.35,3.14,51.245,optuna_results_top15pl/gemma-2-2b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer12_coef4.0_summary.csv,True
3,14,1.5,61.9,65.7,63.8,optuna_results_top15pl/gemma-2-2b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer14_coef1.5_summary.csv,True
4,18,4.0,99.85,1.04,50.445,optuna_results_top15pl/gemma-2-2b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer18_coef4.0_summary.csv,True
5,13,3.0,95.05,21.36,58.205,optuna_results_top15pl/gemma-2-2b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer13_coef3.0_summary.csv,True
6,11,3.0,86.35,27.84,57.095,optuna_results_top15pl/gemma-2-2b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer11_coef3.0_summary.csv,True
7,19,1.0,25.99,84.02,55.004999999999995,optuna_results_top15pl/gemma-2-2b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer19_coef1.0_summary.csv,True
8,16,2.0,97.34,9.1,53.22,optuna_results_top15pl/gemma-2-2b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer16_coef2.0_summary.csv,True
9,19,4.5,99.99,1.01,50.5,optuna_results_top15pl/gemma-2-2b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer19_coef4.5_summary.csv,True
10,14,1.5,61.9,65.7,63.8,optuna_results_top15pl/gemma-2-2b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer14_coef1.5_summary.csv,False
11,14,1.5,61.9,65.7,63.8,optuna_results_top15pl/gemma-2-2b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer14_coef1.5_summary.csv,False
12,14,1.5,61.9,65.7,63.8,optuna_results_top15pl/gemma-2-2b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer14_coef1.5_summary.csv,False
13,17,1.5,91.7,32.57,62.135000000000005,optuna_results_top15pl/gemma-2-2b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer17_coef1.5_summary.csv,True
14,24,0.5,9.58,87.17,48.375,optuna_results_top15pl/gemma-2-2b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer24_coef0.5_summary.csv,True
15,23,2.5,96.02,6.98,51.5,optuna_results_top15pl/gemma-2-2b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer23_coef2.5_summary.csv,True
16,14,3.5,97.6,3.58,50.589999999999996,optuna_results_top15pl/gemma-2-2b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer14_coef3.5_summary.csv,True
17,10,1.5,13.77,84.32,49.044999999999995,optuna_results_top15pl/gemma-2-2b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer10_coef1.5_summary.csv,True
18,22,1.5,40.45,78.05,59.25,optuna_results_top15pl/gemma-2-2b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer22_coef1.5_summary.csv,True
19,14,1.0,24.98,83.12,54.050000000000004,optuna_results_top15pl/gemma-2-2b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer14_coef1.0_summary.csv,True
