trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,31,3.0,94.18,82.26,88.22,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/cluster_budget50_seeds3/seed_0/anthropomorphic_cluster_layer31_coef3.0_summary.csv,False
1,23,2.0,81.29,90.68,85.98500000000001,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/cluster_budget50_seeds3/seed_0/anthropomorphic_cluster_layer23_coef2.0_summary.csv,False
2,22,4.0,84.91,89.73,87.32,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/cluster_budget50_seeds3/seed_0/anthropomorphic_cluster_layer22_coef4.0_summary.csv,False
3,27,1.5,82.76,90.93,86.845,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/cluster_budget50_seeds3/seed_0/anthropomorphic_cluster_layer27_coef1.5_summary.csv,False
4,30,4.0,96.59,56.91,76.75,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/cluster_budget50_seeds3/seed_0/anthropomorphic_cluster_layer30_coef4.0_summary.csv,False
5,25,3.0,86.18,90.08,88.13,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/cluster_budget50_seeds3/seed_0/anthropomorphic_cluster_layer25_coef3.0_summary.csv,False
6,28,3.0,93.38,86.1,89.74,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/cluster_budget50_seeds3/seed_0/anthropomorphic_cluster_layer28_coef3.0_summary.csv,False
7,24,1.0,76.31,91.06,83.685,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/cluster_budget50_seeds3/seed_0/anthropomorphic_cluster_layer24_coef1.0_summary.csv,False
8,26,2.0,84.66,90.41,87.535,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/cluster_budget50_seeds3/seed_0/anthropomorphic_cluster_layer26_coef2.0_summary.csv,False
9,24,4.5,89.34,87.41,88.375,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/cluster_budget50_seeds3/seed_0/anthropomorphic_cluster_layer24_coef4.5_summary.csv,False
10,28,3.5,94.56,78.99,86.775,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/cluster_budget50_seeds3/seed_0/anthropomorphic_cluster_layer28_coef3.5_summary.csv,False
11,28,4.5,96.64,45.67,71.155,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/cluster_budget50_seeds3/seed_0/anthropomorphic_cluster_layer28_coef4.5_summary.csv,False
12,24,0.5,70.26,91.41,80.83500000000001,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/cluster_budget50_seeds3/seed_0/anthropomorphic_cluster_layer24_coef0.5_summary.csv,False
13,29,4.5,95.92,57.37,76.645,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/cluster_budget50_seeds3/seed_0/anthropomorphic_cluster_layer29_coef4.5_summary.csv,False
14,47,2.5,89.9,67.56,78.73,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/cluster_budget50_seeds3/seed_0/anthropomorphic_cluster_layer47_coef2.5_summary.csv,False
15,33,4.5,96.57,17.25,56.91,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/cluster_budget50_seeds3/seed_0/anthropomorphic_cluster_layer33_coef4.5_summary.csv,False
16,44,3.0,93.68,47.78,70.73,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/cluster_budget50_seeds3/seed_0/anthropomorphic_cluster_layer44_coef3.0_summary.csv,False
17,45,0.5,78.6,91.12,84.86,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/cluster_budget50_seeds3/seed_0/anthropomorphic_cluster_layer45_coef0.5_summary.csv,False
