trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,31,3.0,94.14,79.41,86.775,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer31_coef3.0_summary.csv,False
1,23,2.0,80.38,90.39,85.38499999999999,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer23_coef2.0_summary.csv,False
2,22,4.0,85.05,89.87,87.46000000000001,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer22_coef4.0_summary.csv,False
3,27,1.5,82.37,90.82,86.595,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer27_coef1.5_summary.csv,False
4,30,4.0,96.17,64.53,80.35,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer30_coef4.0_summary.csv,False
5,25,3.0,85.53,90.11,87.82,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer25_coef3.0_summary.csv,False
6,28,3.0,92.39,86.23,89.31,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer28_coef3.0_summary.csv,False
7,24,1.0,76.31,91.01,83.66,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer24_coef1.0_summary.csv,False
8,26,2.0,84.28,90.61,87.445,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer26_coef2.0_summary.csv,False
9,24,4.5,88.95,87.59,88.27000000000001,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer24_coef4.5_summary.csv,False
10,28,3.5,93.67,83.21,88.44,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer28_coef3.5_summary.csv,False
11,28,3.5,93.67,83.21,88.44,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer28_coef3.5_summary.csv,False
12,28,3.5,93.67,83.21,88.44,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer28_coef3.5_summary.csv,False
13,29,2.5,91.5,87.99,89.745,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer29_coef2.5_summary.csv,False
14,47,2.5,90.17,68.07,79.12,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer47_coef2.5_summary.csv,False
15,29,2.5,91.5,87.99,89.745,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer29_coef2.5_summary.csv,False
16,29,2.5,91.5,87.99,89.745,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer29_coef2.5_summary.csv,False
17,29,0.5,77.16,91.23,84.195,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer29_coef0.5_summary.csv,False
18,33,2.5,93.65,83.97,88.81,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer33_coef2.5_summary.csv,False
19,44,2.5,91.33,75.2,83.265,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer44_coef2.5_summary.csv,False
20,29,2.5,91.5,87.99,89.745,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer29_coef2.5_summary.csv,False
21,29,2.5,91.5,87.99,89.745,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer29_coef2.5_summary.csv,False
22,45,2.5,90.78,77.77,84.275,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer45_coef2.5_summary.csv,False
23,21,2.5,78.72,90.73,84.725,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer21_coef2.5_summary.csv,False
24,29,1.5,86.23,90.41,88.32,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer29_coef1.5_summary.csv,False
25,29,4.5,95.49,55.61,75.55,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer29_coef4.5_summary.csv,False
26,29,0.5,77.16,91.23,84.195,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer29_coef0.5_summary.csv,False
27,29,1.0,83.11,90.68,86.89500000000001,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer29_coef1.0_summary.csv,False
28,25,2.5,85.85,90.19,88.02,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer25_coef2.5_summary.csv,False
29,22,2.5,80.35,90.73,85.53999999999999,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer22_coef2.5_summary.csv,False
30,31,2.5,92.68,86.65,89.665,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer31_coef2.5_summary.csv,False
31,29,2.5,91.5,87.99,89.745,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer29_coef2.5_summary.csv,False
32,23,2.5,80.12,90.23,85.17500000000001,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer23_coef2.5_summary.csv,False
33,29,2.0,88.24,89.31,88.775,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer29_coef2.0_summary.csv,False
34,27,4.0,92.51,85.8,89.155,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer27_coef4.0_summary.csv,False
35,29,2.5,91.5,87.99,89.745,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer29_coef2.5_summary.csv,False
36,30,2.5,92.64,87.82,90.22999999999999,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer30_coef2.5_summary.csv,False
37,30,1.5,87.98,89.65,88.815,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer30_coef1.5_summary.csv,False
38,30,3.0,93.76,85.37,89.565,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer30_coef3.0_summary.csv,False
39,30,4.0,96.17,64.53,80.35,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer30_coef4.0_summary.csv,False
40,26,1.0,77.85,91.31,84.58,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer26_coef1.0_summary.csv,False
41,21,2.5,78.72,90.73,84.725,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer21_coef2.5_summary.csv,False
42,47,2.5,90.17,68.07,79.12,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer47_coef2.5_summary.csv,False
43,33,4.5,96.69,18.13,57.41,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer33_coef4.5_summary.csv,False
44,44,2.0,87.86,86.43,87.14500000000001,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer44_coef2.0_summary.csv,False
45,45,2.5,90.78,77.77,84.275,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer45_coef2.5_summary.csv,False
46,23,3.0,81.86,89.88,85.87,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer23_coef3.0_summary.csv,False
47,22,0.5,69.51,91.24,80.375,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer22_coef0.5_summary.csv,False
48,31,2.5,92.68,86.65,89.665,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer31_coef2.5_summary.csv,False
49,24,3.5,86.03,89.37,87.7,optuna_results_top15pl/gemma-3-27b-it/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer24_coef3.5_summary.csv,False
