trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,33,3.5,96.21,43.25,69.72999999999999,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer33_coef3.5_summary.csv,False
1,31,1.0,85.85,90.39,88.12,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer31_coef1.0_summary.csv,False
2,45,3.0,94.34,38.07,66.205,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer45_coef3.0_summary.csv,False
3,22,0.5,70.29,91.47,80.88,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer22_coef0.5_summary.csv,False
4,33,1.0,85.67,90.44,88.055,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer33_coef1.0_summary.csv,False
5,45,2.0,88.34,84.77,86.555,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer45_coef2.0_summary.csv,False
6,47,0.5,77.31,91.23,84.27000000000001,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer47_coef0.5_summary.csv,False
7,23,3.5,85.61,88.29,86.95,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer23_coef3.5_summary.csv,False
8,31,2.5,93.59,83.91,88.75,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer31_coef2.5_summary.csv,False
9,26,4.5,93.24,77.95,85.595,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer26_coef4.5_summary.csv,False
10,44,2.5,91.82,68.99,80.405,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer44_coef2.5_summary.csv,False
11,31,2.5,93.59,83.91,88.75,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer31_coef2.5_summary.csv,False
12,31,2.5,93.59,83.91,88.75,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer31_coef2.5_summary.csv,False
13,30,2.5,93.34,86.67,90.005,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer30_coef2.5_summary.csv,False
14,30,4.0,96.74,47.47,72.10499999999999,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer30_coef4.0_summary.csv,False
15,29,2.5,91.5,86.89,89.195,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer29_coef2.5_summary.csv,False
16,29,1.5,86.65,90.01,88.33000000000001,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer29_coef1.5_summary.csv,False
17,28,2.5,91.92,87.83,89.875,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer28_coef2.5_summary.csv,False
18,28,1.5,87.46,90.26,88.86,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer28_coef1.5_summary.csv,False
19,24,2.0,83.4,90.39,86.89500000000001,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer24_coef2.0_summary.csv,False
20,28,4.5,96.49,45.69,71.09,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer28_coef4.5_summary.csv,False
21,29,2.5,91.5,86.89,89.195,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer29_coef2.5_summary.csv,False
22,30,2.5,93.34,86.67,90.005,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer30_coef2.5_summary.csv,False
23,30,2.5,93.34,86.67,90.005,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer30_coef2.5_summary.csv,False
24,30,3.0,94.42,82.89,88.655,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer30_coef3.0_summary.csv,False
25,30,4.0,96.74,47.47,72.10499999999999,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer30_coef4.0_summary.csv,False
26,21,2.5,80.3,90.75,85.525,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer21_coef2.5_summary.csv,False
27,30,2.5,93.34,86.67,90.005,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer30_coef2.5_summary.csv,False
28,27,2.5,89.0,88.96,88.97999999999999,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer27_coef2.5_summary.csv,False
29,25,2.5,85.79,89.97,87.88,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer25_coef2.5_summary.csv,False
30,30,3.5,95.84,68.97,82.405,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer30_coef3.5_summary.csv,False
31,30,2.5,93.34,86.67,90.005,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer30_coef2.5_summary.csv,False
32,30,1.0,86.59,90.13,88.36,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer30_coef1.0_summary.csv,False
33,30,2.5,93.34,86.67,90.005,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer30_coef2.5_summary.csv,False
34,30,0.5,78.25,91.0,84.625,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer30_coef0.5_summary.csv,False
35,22,3.0,83.33,90.33,86.83,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer22_coef3.0_summary.csv,False
36,33,2.5,94.09,82.15,88.12,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer33_coef2.5_summary.csv,False
37,47,2.0,87.16,84.63,85.895,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer47_coef2.0_summary.csv,False
38,30,1.0,86.59,90.13,88.36,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer30_coef1.0_summary.csv,False
39,23,3.5,85.61,88.29,86.95,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer23_coef3.5_summary.csv,False
40,27,4.5,94.98,68.59,81.785,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer27_coef4.5_summary.csv,False
41,30,2.5,93.34,86.67,90.005,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer30_coef2.5_summary.csv,False
42,30,2.5,93.34,86.67,90.005,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer30_coef2.5_summary.csv,False
43,44,2.5,91.82,68.99,80.405,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer44_coef2.5_summary.csv,False
44,45,2.5,91.66,71.97,81.815,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer45_coef2.5_summary.csv,False
45,26,2.5,86.82,89.98,88.4,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer26_coef2.5_summary.csv,False
46,21,0.5,70.18,91.5,80.84,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer21_coef0.5_summary.csv,False
47,25,4.0,89.69,86.99,88.34,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer25_coef4.0_summary.csv,False
