trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,53,4.0,99.4,2.14,50.77,optuna_results/gemma-3-27b-it/apathetic/cluster_budget50_seeds3/seed_0/apathetic_cluster_layer53_coef4.0_summary.csv,True
1,3,3.5,27.22,91.87,59.545,optuna_results/gemma-3-27b-it/apathetic/cluster_budget50_seeds3/seed_0/apathetic_cluster_layer3_coef3.5_summary.csv,True
2,10,4.5,25.22,91.96,58.589999999999996,optuna_results/gemma-3-27b-it/apathetic/pv_budget50_seeds3/seed_0/apathetic_pv_layer10_coef4.5_summary.csv,False
3,1,1.5,28.02,91.81,59.915,optuna_results/gemma-3-27b-it/apathetic/cluster_budget50_seeds3/seed_0/apathetic_cluster_layer1_coef1.5_summary.csv,True
4,7,4.5,27.12,91.97,59.545,optuna_results/gemma-3-27b-it/apathetic/cluster_budget50_seeds3/seed_0/apathetic_cluster_layer7_coef4.5_summary.csv,True
5,28,4.5,91.25,11.27,51.26,optuna_results/gemma-3-27b-it/apathetic/pv_budget50_seeds3/seed_0/apathetic_pv_layer28_coef4.5_summary.csv,False
6,59,4.0,99.7,0.99,50.345,optuna_results/gemma-3-27b-it/apathetic/cluster_budget50_seeds3/seed_0/apathetic_cluster_layer59_coef4.0_summary.csv,True
7,55,4.5,99.14,1.16,50.15,optuna_results/gemma-3-27b-it/apathetic/cluster_budget50_seeds3/seed_0/apathetic_cluster_layer55_coef4.5_summary.csv,True
8,60,2.0,38.95,86.95,62.95,eval_results/gemma-3-27b-it/judge_gemma3_12b/apathetic/apathetic_pv_layer60_coef2.0_summary.csv,False
9,13,4.5,26.1,92.11,59.105000000000004,optuna_results/gemma-3-27b-it/apathetic/pv_budget50_seeds3/seed_0/apathetic_pv_layer13_coef4.5_summary.csv,False
10,60,2.0,38.95,86.95,62.95,eval_results/gemma-3-27b-it/judge_gemma3_12b/apathetic/apathetic_pv_layer60_coef2.0_summary.csv,False
11,47,2.0,51.55,79.12,65.33500000000001,optuna_results/gemma-3-27b-it/apathetic/cluster_budget50_seeds3/seed_0/apathetic_cluster_layer47_coef2.0_summary.csv,True
12,47,2.0,51.55,79.12,65.33500000000001,optuna_results/gemma-3-27b-it/apathetic/cluster_budget50_seeds3/seed_0/apathetic_cluster_layer47_coef2.0_summary.csv,False
13,47,2.0,51.55,79.12,65.33500000000001,optuna_results/gemma-3-27b-it/apathetic/cluster_budget50_seeds3/seed_0/apathetic_cluster_layer47_coef2.0_summary.csv,False
14,38,3.0,83.5,20.56,52.03,optuna_results/gemma-3-27b-it/apathetic/cluster_budget50_seeds3/seed_0/apathetic_cluster_layer38_coef3.0_summary.csv,True
15,22,1.0,26.3,92.01,59.155,optuna_results/gemma-3-27b-it/apathetic/cluster_budget50_seeds3/seed_0/apathetic_cluster_layer22_coef1.0_summary.csv,True
16,47,0.5,28.52,91.63,60.074999999999996,optuna_results/gemma-3-27b-it/apathetic/cluster_budget50_seeds3/seed_0/apathetic_cluster_layer47_coef0.5_summary.csv,True
17,2,2.5,27.27,91.34,59.305,optuna_results/gemma-3-27b-it/apathetic/cluster_budget50_seeds3/seed_0/apathetic_cluster_layer2_coef2.5_summary.csv,True
18,47,2.0,51.55,79.12,65.33500000000001,optuna_results/gemma-3-27b-it/apathetic/cluster_budget50_seeds3/seed_0/apathetic_cluster_layer47_coef2.0_summary.csv,False
19,29,2.0,53.2,87.66,70.43,optuna_results/gemma-3-27b-it/apathetic/pv_budget50_seeds3/seed_0/apathetic_pv_layer29_coef2.0_summary.csv,False
20,29,3.0,77.7,52.95,65.325,optuna_results/gemma-3-27b-it/apathetic/pv_budget50_seeds3/seed_0/apathetic_pv_layer29_coef3.0_summary.csv,False
21,26,2.0,31.2,91.72,61.46,optuna_results/gemma-3-27b-it/apathetic/cluster_budget50_seeds3/seed_0/apathetic_cluster_layer26_coef2.0_summary.csv,True
22,18,2.0,26.45,91.76,59.105000000000004,optuna_results/gemma-3-27b-it/apathetic/cluster_budget50_seeds3/seed_0/apathetic_cluster_layer18_coef2.0_summary.csv,True
