trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,26,1.0,26.25,91.93,59.09,optuna_results_top15pl/gemma-3-27b-it/apathetic/pv_budget50_seeds3/seed_2/apathetic_pv_layer26_coef1.0_summary.csv,False
1,35,1.0,35.05,91.66,63.355,optuna_results_top15pl/gemma-3-27b-it/apathetic/pv_budget50_seeds3/seed_2/apathetic_pv_layer35_coef1.0_summary.csv,False
2,26,3.0,53.2,80.8,67.0,optuna_results_top15pl/gemma-3-27b-it/apathetic/pv_budget50_seeds3/seed_2/apathetic_pv_layer26_coef3.0_summary.csv,False
3,23,1.0,27.62,91.87,59.745000000000005,optuna_results_top15pl/gemma-3-27b-it/apathetic/pv_budget50_seeds3/seed_2/apathetic_pv_layer23_coef1.0_summary.csv,False
4,37,0.5,30.15,91.63,60.89,optuna_results_top15pl/gemma-3-27b-it/apathetic/pv_budget50_seeds3/seed_2/apathetic_pv_layer37_coef0.5_summary.csv,False
5,29,1.5,39.9,91.31,65.605,optuna_results_top15pl/gemma-3-27b-it/apathetic/pv_budget50_seeds3/seed_2/apathetic_pv_layer29_coef1.5_summary.csv,False
6,23,3.5,32.9,91.35,62.125,optuna_results_top15pl/gemma-3-27b-it/apathetic/pv_budget50_seeds3/seed_2/apathetic_pv_layer23_coef3.5_summary.csv,False
7,37,4.0,88.25,14.48,51.365,optuna_results_top15pl/gemma-3-27b-it/apathetic/pv_budget50_seeds3/seed_1/apathetic_pv_layer37_coef4.0_summary.csv,False
8,30,2.0,59.9,85.26,72.58,optuna_results_top15pl/gemma-3-27b-it/apathetic/pv_budget50_seeds3/seed_0/apathetic_pv_layer30_coef2.0_summary.csv,False
9,35,3.0,85.2,24.22,54.71,optuna_results_top15pl/gemma-3-27b-it/apathetic/pv_budget50_seeds3/seed_1/apathetic_pv_layer35_coef3.0_summary.csv,False
10,30,2.0,59.9,85.26,72.58,optuna_results_top15pl/gemma-3-27b-it/apathetic/pv_budget50_seeds3/seed_0/apathetic_pv_layer30_coef2.0_summary.csv,False
11,30,2.0,59.9,85.26,72.58,optuna_results_top15pl/gemma-3-27b-it/apathetic/pv_budget50_seeds3/seed_0/apathetic_pv_layer30_coef2.0_summary.csv,False
