trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,59,4.0,91.63,55.56,73.595,optuna_results/gemma-3-27b-it/cryptographic/cluster_budget50_seeds3/seed_0/cryptographic_cluster_layer59_coef4.0_summary.csv,False
1,19,3.5,46.85,91.84,69.345,optuna_results/gemma-3-27b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer19_coef3.5_summary.csv,True
2,40,4.5,94.1,64.15,79.125,optuna_results/gemma-3-27b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer40_coef4.5_summary.csv,True
3,58,4.0,84.62,79.14,81.88,optuna_results/gemma-3-27b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer58_coef4.0_summary.csv,True
4,33,3.5,94.08,76.83,85.455,optuna_results/gemma-3-27b-it/cryptographic/cluster_budget50_seeds3/seed_1/cryptographic_cluster_layer33_coef3.5_summary.csv,False
5,34,3.5,93.85,77.17,85.50999999999999,optuna_results/gemma-3-27b-it/cryptographic/cluster_budget50_seeds3/seed_0/cryptographic_cluster_layer34_coef3.5_summary.csv,False
6,60,0.5,37.77,91.92,64.845,optuna_results/gemma-3-27b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer60_coef0.5_summary.csv,True
7,16,4.0,47.44,91.92,69.68,optuna_results/gemma-3-27b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer16_coef4.0_summary.csv,True
8,15,3.0,41.44,91.92,66.68,eval_results/gemma-3-27b-it/judge_gemma3_12b/cryptographic/cryptographic_pv_layer15_coef3.0_summary.csv,False
9,53,0.5,39.26,91.92,65.59,optuna_results/gemma-3-27b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer53_coef0.5_summary.csv,True
10,9,1.5,40.27,91.99,66.13,optuna_results/gemma-3-27b-it/cryptographic/pv_budget50_seeds3/seed_2/cryptographic_pv_layer9_coef1.5_summary.csv,False
11,34,3.5,93.85,77.17,85.50999999999999,optuna_results/gemma-3-27b-it/cryptographic/cluster_budget50_seeds3/seed_0/cryptographic_cluster_layer34_coef3.5_summary.csv,False
12,34,3.5,93.85,77.17,85.50999999999999,optuna_results/gemma-3-27b-it/cryptographic/cluster_budget50_seeds3/seed_0/cryptographic_cluster_layer34_coef3.5_summary.csv,False
13,34,2.0,71.72,91.58,81.65,optuna_results/gemma-3-27b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer34_coef2.0_summary.csv,True
14,34,1.0,51.04,91.85,71.445,optuna_results/gemma-3-27b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer34_coef1.0_summary.csv,True
15,57,2.5,50.34,91.8,71.07,optuna_results/gemma-3-27b-it/cryptographic/cluster_budget50_seeds3/seed_0/cryptographic_cluster_layer57_coef2.5_summary.csv,False
16,20,3.5,55.2,91.73,73.465,optuna_results/gemma-3-27b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer20_coef3.5_summary.csv,True
17,12,3.5,40.82,91.92,66.37,optuna_results/gemma-3-27b-it/cryptographic/pv_budget50_seeds3/seed_2/cryptographic_pv_layer12_coef3.5_summary.csv,False
18,25,2.5,53.55,91.96,72.755,optuna_results/gemma-3-27b-it/cryptographic/pv_budget50_seeds3/seed_2/cryptographic_pv_layer25_coef2.5_summary.csv,False
19,42,1.0,44.74,91.92,68.33,optuna_results/gemma-3-27b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer42_coef1.0_summary.csv,True
20,4,4.5,40.0,91.93,65.965,optuna_results/gemma-3-27b-it/cryptographic/pv_budget50_seeds3/seed_2/cryptographic_pv_layer4_coef4.5_summary.csv,False
21,34,3.5,93.85,77.17,85.50999999999999,optuna_results/gemma-3-27b-it/cryptographic/cluster_budget50_seeds3/seed_0/cryptographic_cluster_layer34_coef3.5_summary.csv,False
22,35,3.5,89.03,88.26,88.64500000000001,optuna_results/gemma-3-27b-it/cryptographic/cluster_budget50_seeds3/seed_0/cryptographic_cluster_layer35_coef3.5_summary.csv,False
23,35,3.5,89.03,88.26,88.64500000000001,optuna_results/gemma-3-27b-it/cryptographic/cluster_budget50_seeds3/seed_0/cryptographic_cluster_layer35_coef3.5_summary.csv,False
24,35,3.0,84.06,90.76,87.41,optuna_results/gemma-3-27b-it/cryptographic/cluster_budget50_seeds3/seed_0/cryptographic_cluster_layer35_coef3.0_summary.csv,False
25,35,3.0,84.06,90.76,87.41,optuna_results/gemma-3-27b-it/cryptographic/cluster_budget50_seeds3/seed_0/cryptographic_cluster_layer35_coef3.0_summary.csv,False
26,35,3.0,84.06,90.76,87.41,optuna_results/gemma-3-27b-it/cryptographic/cluster_budget50_seeds3/seed_0/cryptographic_cluster_layer35_coef3.0_summary.csv,False
27,35,2.0,67.3,91.81,79.555,optuna_results/gemma-3-27b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer35_coef2.0_summary.csv,True
28,49,1.5,43.41,91.88,67.645,optuna_results/gemma-3-27b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer49_coef1.5_summary.csv,True
29,38,3.0,83.79,91.06,87.42500000000001,optuna_results/gemma-3-27b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer38_coef3.0_summary.csv,True
30,38,3.0,83.79,91.06,87.42500000000001,optuna_results/gemma-3-27b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer38_coef3.0_summary.csv,False
31,38,3.0,83.79,91.06,87.42500000000001,optuna_results/gemma-3-27b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer38_coef3.0_summary.csv,False
32,46,3.0,62.86,91.89,77.375,optuna_results/gemma-3-27b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer46_coef3.0_summary.csv,True
33,11,3.0,42.58,91.92,67.25,optuna_results/gemma-3-27b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer11_coef3.0_summary.csv,True
34,54,4.5,88.63,74.28,81.455,optuna_results/gemma-3-27b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer54_coef4.5_summary.csv,True
35,38,4.0,92.82,80.66,86.74,optuna_results/gemma-3-27b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer38_coef4.0_summary.csv,True
36,23,3.5,61.3,91.96,76.63,optuna_results/gemma-3-27b-it/cryptographic/cluster_budget50_seeds3/seed_1/cryptographic_cluster_layer23_coef3.5_summary.csv,False
37,41,3.0,71.44,91.61,81.525,optuna_results/gemma-3-27b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer41_coef3.0_summary.csv,True
38,47,0.5,40.7,91.96,66.33,optuna_results/gemma-3-27b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer47_coef0.5_summary.csv,True
39,55,3.5,67.0,91.59,79.295,optuna_results/gemma-3-27b-it/cryptographic/cluster_budget50_seeds3/seed_1/cryptographic_cluster_layer55_coef3.5_summary.csv,False
40,52,2.0,43.44,91.88,67.66,optuna_results/gemma-3-27b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer52_coef2.0_summary.csv,True
41,38,3.0,83.79,91.06,87.42500000000001,optuna_results/gemma-3-27b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer38_coef3.0_summary.csv,False
42,38,3.0,83.79,91.06,87.42500000000001,optuna_results/gemma-3-27b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer38_coef3.0_summary.csv,False
43,10,3.0,40.53,91.93,66.23,eval_results/gemma-3-27b-it/judge_gemma3_12b/cryptographic/cryptographic_pv_layer10_coef3.0_summary.csv,False
44,18,1.5,40.06,91.85,65.955,optuna_results/gemma-3-27b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer18_coef1.5_summary.csv,True
45,22,4.0,65.02,91.76,78.39,optuna_results/gemma-3-27b-it/cryptographic/pv_budget50_seeds3/seed_2/cryptographic_pv_layer22_coef4.0_summary.csv,False
46,45,3.0,66.25,91.7,78.975,optuna_results/gemma-3-27b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer45_coef3.0_summary.csv,True
47,5,1.0,37.11,91.88,64.495,optuna_results/gemma-3-27b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer5_coef1.0_summary.csv,True
48,21,2.5,45.25,91.92,68.58500000000001,optuna_results/gemma-3-27b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer21_coef2.5_summary.csv,True
49,29,3.5,87.2,90.53,88.86500000000001,optuna_results/gemma-3-27b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer29_coef3.5_summary.csv,True
