trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,32,3.5,87.15,89.07,88.11,optuna_results_top15pl/gemma-3-27b-it/culinary_centric/cluster_budget50_seeds3/seed_1/culinary_centric_cluster_layer32_coef3.5_summary.csv,False
1,43,1.0,40.44,91.99,66.215,optuna_results_top15pl/gemma-3-27b-it/culinary_centric/cluster_budget50_seeds3/seed_1/culinary_centric_cluster_layer43_coef1.0_summary.csv,False
2,49,3.0,54.23,91.55,72.89,optuna_results_top15pl/gemma-3-27b-it/culinary_centric/cluster_budget50_seeds3/seed_1/culinary_centric_cluster_layer49_coef3.0_summary.csv,False
3,31,0.5,37.69,92.03,64.86,optuna_results_top15pl/gemma-3-27b-it/culinary_centric/cluster_budget50_seeds3/seed_1/culinary_centric_cluster_layer31_coef0.5_summary.csv,False
4,32,1.0,45.32,92.02,68.67,optuna_results_top15pl/gemma-3-27b-it/culinary_centric/cluster_budget50_seeds3/seed_1/culinary_centric_cluster_layer32_coef1.0_summary.csv,False
5,49,2.0,43.62,91.92,67.77,optuna_results_top15pl/gemma-3-27b-it/culinary_centric/cluster_budget50_seeds3/seed_1/culinary_centric_cluster_layer49_coef2.0_summary.csv,False
6,50,0.5,35.82,92.15,63.985,optuna_results_top15pl/gemma-3-27b-it/culinary_centric/cluster_budget50_seeds3/seed_0/culinary_centric_cluster_layer50_coef0.5_summary.csv,False
7,18,3.5,41.81,91.99,66.9,optuna_results_top15pl/gemma-3-27b-it/culinary_centric/cluster_budget50_seeds3/seed_1/culinary_centric_cluster_layer18_coef3.5_summary.csv,False
8,43,2.5,56.07,91.73,73.9,optuna_results_top15pl/gemma-3-27b-it/culinary_centric/cluster_budget50_seeds3/seed_1/culinary_centric_cluster_layer43_coef2.5_summary.csv,False
9,29,4.5,69.28,90.73,80.005,optuna_results_top15pl/gemma-3-27b-it/culinary_centric/cluster_budget50_seeds3/seed_0/culinary_centric_cluster_layer29_coef4.5_summary.csv,False
10,32,3.5,87.15,89.07,88.11,optuna_results_top15pl/gemma-3-27b-it/culinary_centric/cluster_budget50_seeds3/seed_1/culinary_centric_cluster_layer32_coef3.5_summary.csv,False
11,32,3.5,87.15,89.07,88.11,optuna_results_top15pl/gemma-3-27b-it/culinary_centric/cluster_budget50_seeds3/seed_1/culinary_centric_cluster_layer32_coef3.5_summary.csv,False
12,26,3.5,47.98,92.09,70.035,optuna_results_top15pl/gemma-3-27b-it/culinary_centric/cluster_budget50_seeds3/seed_1/culinary_centric_cluster_layer26_coef3.5_summary.csv,False
13,46,4.0,81.79,89.1,85.445,optuna_results_top15pl/gemma-3-27b-it/culinary_centric/cluster_budget50_seeds3/seed_0/culinary_centric_cluster_layer46_coef4.0_summary.csv,False
14,47,1.5,43.12,91.96,67.53999999999999,optuna_results_top15pl/gemma-3-27b-it/culinary_centric/cluster_budget50_seeds3/seed_1/culinary_centric_cluster_layer47_coef1.5_summary.csv,False
15,30,3.5,81.2,91.18,86.19,optuna_results_top15pl/gemma-3-27b-it/culinary_centric/cluster_budget50_seeds3/seed_0/culinary_centric_cluster_layer30_coef3.5_summary.csv,False
16,32,3.5,87.15,89.07,88.11,optuna_results_top15pl/gemma-3-27b-it/culinary_centric/cluster_budget50_seeds3/seed_1/culinary_centric_cluster_layer32_coef3.5_summary.csv,False
17,45,4.0,85.34,88.36,86.85,optuna_results_top15pl/gemma-3-27b-it/culinary_centric/cluster_budget50_seeds3/seed_1/culinary_centric_cluster_layer45_coef4.0_summary.csv,False
18,44,2.5,54.41,91.87,73.14,optuna_results_top15pl/gemma-3-27b-it/culinary_centric/cluster_budget50_seeds3/seed_1/culinary_centric_cluster_layer44_coef2.5_summary.csv,False
19,25,1.5,38.99,91.98,65.485,optuna_results_top15pl/gemma-3-27b-it/culinary_centric/cluster_budget50_seeds3/seed_0/culinary_centric_cluster_layer25_coef1.5_summary.csv,False
20,32,4.5,92.64,75.18,83.91,optuna_results_top15pl/gemma-3-27b-it/culinary_centric/cluster_budget50_seeds3/seed_0/culinary_centric_cluster_layer32_coef4.5_summary.csv,False
21,32,3.5,87.15,89.07,88.11,optuna_results_top15pl/gemma-3-27b-it/culinary_centric/cluster_budget50_seeds3/seed_1/culinary_centric_cluster_layer32_coef3.5_summary.csv,False
22,28,3.5,60.84,91.87,76.355,optuna_results_top15pl/gemma-3-27b-it/culinary_centric/cluster_budget50_seeds3/seed_1/culinary_centric_cluster_layer28_coef3.5_summary.csv,False
23,32,3.5,87.15,89.07,88.11,optuna_results_top15pl/gemma-3-27b-it/culinary_centric/cluster_budget50_seeds3/seed_1/culinary_centric_cluster_layer32_coef3.5_summary.csv,False
24,32,2.0,56.76,91.92,74.34,optuna_results_top15pl/gemma-3-27b-it/culinary_centric/cluster_budget50_seeds3/seed_1/culinary_centric_cluster_layer32_coef2.0_summary.csv,False
25,32,3.5,87.15,89.07,88.11,optuna_results_top15pl/gemma-3-27b-it/culinary_centric/cluster_budget50_seeds3/seed_1/culinary_centric_cluster_layer32_coef3.5_summary.csv,False
26,44,3.0,62.34,91.53,76.935,optuna_results_top15pl/gemma-3-27b-it/culinary_centric/cluster_budget50_seeds3/seed_1/culinary_centric_cluster_layer44_coef3.0_summary.csv,False
27,25,3.5,51.52,92.02,71.77,optuna_results_top15pl/gemma-3-27b-it/culinary_centric/cluster_budget50_seeds3/seed_1/culinary_centric_cluster_layer25_coef3.5_summary.csv,False
28,45,3.5,77.43,90.55,83.99000000000001,optuna_results_top15pl/gemma-3-27b-it/culinary_centric/cluster_budget50_seeds3/seed_1/culinary_centric_cluster_layer45_coef3.5_summary.csv,False
29,28,1.0,38.17,92.06,65.11500000000001,optuna_results_top15pl/gemma-3-27b-it/culinary_centric/cluster_budget50_seeds3/seed_1/culinary_centric_cluster_layer28_coef1.0_summary.csv,False
30,46,3.5,71.69,91.14,81.41499999999999,optuna_results_top15pl/gemma-3-27b-it/culinary_centric/cluster_budget50_seeds3/seed_0/culinary_centric_cluster_layer46_coef3.5_summary.csv,False
31,32,3.5,87.15,89.07,88.11,optuna_results_top15pl/gemma-3-27b-it/culinary_centric/cluster_budget50_seeds3/seed_1/culinary_centric_cluster_layer32_coef3.5_summary.csv,False
