trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,53,4.0,56.04,91.44,73.74,optuna_results/gemma-3-27b-it/culinary_centric/pv_budget50_seeds3/seed_0/culinary_centric_pv_layer53_coef4.0_summary.csv,False
1,3,3.5,39.11,92.02,65.565,optuna_results/gemma-3-27b-it/culinary_centric/cluster_budget50_seeds3/seed_0/culinary_centric_cluster_layer3_coef3.5_summary.csv,True
2,10,4.5,41.16,91.98,66.57,optuna_results/gemma-3-27b-it/culinary_centric/pv_budget50_seeds3/seed_0/culinary_centric_pv_layer10_coef4.5_summary.csv,False
3,1,1.5,36.11,91.99,64.05,optuna_results/gemma-3-27b-it/culinary_centric/cluster_budget50_seeds3/seed_0/culinary_centric_cluster_layer1_coef1.5_summary.csv,True
4,7,4.5,36.36,91.98,64.17,optuna_results/gemma-3-27b-it/culinary_centric/cluster_budget50_seeds3/seed_0/culinary_centric_cluster_layer7_coef4.5_summary.csv,True
5,28,4.5,63.73,91.34,77.535,optuna_results/gemma-3-27b-it/culinary_centric/cluster_budget50_seeds3/seed_0/culinary_centric_cluster_layer28_coef4.5_summary.csv,True
6,59,4.0,74.75,86.4,80.575,optuna_results/gemma-3-27b-it/culinary_centric/pv_budget50_seeds3/seed_0/culinary_centric_pv_layer59_coef4.0_summary.csv,False
7,55,4.5,61.81,90.49,76.15,optuna_results/gemma-3-27b-it/culinary_centric/pv_budget50_seeds3/seed_0/culinary_centric_pv_layer55_coef4.5_summary.csv,False
8,60,2.0,45.18,91.94,68.56,eval_results/gemma-3-27b-it/judge_gemma3_12b/culinary_centric/culinary_centric_pv_layer60_coef2.0_summary.csv,False
9,13,4.5,36.53,92.02,64.275,optuna_results/gemma-3-27b-it/culinary_centric/pv_budget50_seeds3/seed_0/culinary_centric_pv_layer13_coef4.5_summary.csv,False
10,59,0.5,35.7,92.05,63.875,optuna_results/gemma-3-27b-it/culinary_centric/pv_budget50_seeds3/seed_0/culinary_centric_pv_layer59_coef0.5_summary.csv,False
11,28,4.0,62.76,91.46,77.11,optuna_results/gemma-3-27b-it/culinary_centric/cluster_budget50_seeds3/seed_0/culinary_centric_cluster_layer28_coef4.0_summary.csv,True
12,59,3.0,52.95,91.75,72.35,optuna_results/gemma-3-27b-it/culinary_centric/pv_budget50_seeds3/seed_0/culinary_centric_pv_layer59_coef3.0_summary.csv,False
13,28,2.5,55.62,91.99,73.80499999999999,optuna_results/gemma-3-27b-it/culinary_centric/cluster_budget50_seeds3/seed_0/culinary_centric_cluster_layer28_coef2.5_summary.csv,True
14,38,1.0,45.7,92.03,68.86500000000001,optuna_results/gemma-3-27b-it/culinary_centric/pv_budget50_seeds3/seed_0/culinary_centric_pv_layer38_coef1.0_summary.csv,False
15,22,4.0,42.01,91.99,67.0,eval_results/gemma-3-27b-it/judge_gemma3_12b/culinary_centric/culinary_centric_pv_layer22_coef4.0_summary.csv,False
16,12,0.5,35.09,91.96,63.525,optuna_results/gemma-3-27b-it/culinary_centric/pv_budget50_seeds3/seed_0/culinary_centric_pv_layer12_coef0.5_summary.csv,False
17,2,3.0,34.85,91.98,63.415000000000006,optuna_results/gemma-3-27b-it/culinary_centric/cluster_budget50_seeds3/seed_0/culinary_centric_cluster_layer2_coef3.0_summary.csv,True
18,37,1.5,51.11,91.95,71.53,optuna_results/gemma-3-27b-it/culinary_centric/cluster_budget50_seeds3/seed_0/culinary_centric_cluster_layer37_coef1.5_summary.csv,True
19,29,1.0,39.83,92.03,65.93,optuna_results/gemma-3-27b-it/culinary_centric/cluster_budget50_seeds3/seed_0/culinary_centric_cluster_layer29_coef1.0_summary.csv,True
20,57,2.5,42.79,91.8,67.295,optuna_results/gemma-3-27b-it/culinary_centric/pv_budget50_seeds3/seed_0/culinary_centric_pv_layer57_coef2.5_summary.csv,False
21,26,4.0,49.15,92.03,70.59,eval_results/gemma-3-27b-it/judge_gemma3_12b/culinary_centric/culinary_centric_pv_layer26_coef4.0_summary.csv,False
22,28,4.0,62.76,91.46,77.11,optuna_results/gemma-3-27b-it/culinary_centric/cluster_budget50_seeds3/seed_0/culinary_centric_cluster_layer28_coef4.0_summary.csv,False
23,47,4.0,72.57,90.86,81.715,eval_results/gemma-3-27b-it/judge_gemma3_12b/culinary_centric/culinary_centric_pv_layer47_coef4.0_summary.csv,False
24,48,2.0,44.56,91.92,68.24000000000001,optuna_results/gemma-3-27b-it/culinary_centric/cluster_budget50_seeds3/seed_0/culinary_centric_cluster_layer48_coef2.0_summary.csv,True
25,47,3.5,60.87,91.38,76.125,optuna_results/gemma-3-27b-it/culinary_centric/cluster_budget50_seeds3/seed_0/culinary_centric_cluster_layer47_coef3.5_summary.csv,True
