trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,32,3.5,87.94,89.78,88.86,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/culinary_centric/culinary_centric_dir_diff_pv_layer32_coef3.5_summary.csv,False
1,43,1.0,40.26,92.03,66.145,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/culinary_centric/culinary_centric_dir_diff_pv_layer43_coef1.0_summary.csv,False
2,49,3.0,58.66,91.53,75.095,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/culinary_centric/culinary_centric_dir_diff_pv_layer49_coef3.0_summary.csv,False
3,31,0.5,40.81,91.99,66.4,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/culinary_centric/culinary_centric_dir_diff_pv_layer31_coef0.5_summary.csv,False
4,32,1.0,42.91,91.99,67.44999999999999,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/culinary_centric/culinary_centric_dir_diff_pv_layer32_coef1.0_summary.csv,False
5,49,2.0,47.57,91.91,69.74,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/culinary_centric/culinary_centric_dir_diff_pv_layer49_coef2.0_summary.csv,False
6,50,0.5,38.84,91.95,65.39500000000001,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/culinary_centric/culinary_centric_dir_diff_pv_layer50_coef0.5_summary.csv,False
7,18,3.5,41.31,92.12,66.715,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/culinary_centric/culinary_centric_dir_diff_pv_layer18_coef3.5_summary.csv,False
8,43,2.5,62.19,91.8,76.995,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/culinary_centric/culinary_centric_dir_diff_pv_layer43_coef2.5_summary.csv,False
9,29,4.5,80.54,90.67,85.605,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/culinary_centric/culinary_centric_dir_diff_pv_layer29_coef4.5_summary.csv,False
10,32,3.5,87.94,89.78,88.86,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/culinary_centric/culinary_centric_dir_diff_pv_layer32_coef3.5_summary.csv,False
11,32,3.5,87.94,89.78,88.86,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/culinary_centric/culinary_centric_dir_diff_pv_layer32_coef3.5_summary.csv,False
12,26,3.5,51.27,91.99,71.63,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/culinary_centric/culinary_centric_dir_diff_pv_layer26_coef3.5_summary.csv,False
13,46,4.0,83.03,86.47,84.75,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/culinary_centric/culinary_centric_dir_diff_pv_layer46_coef4.0_summary.csv,False
14,47,1.5,43.18,91.96,67.57,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/culinary_centric/culinary_centric_dir_diff_pv_layer47_coef1.5_summary.csv,False
15,30,3.5,88.79,88.46,88.625,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/culinary_centric/culinary_centric_dir_diff_pv_layer30_coef3.5_summary.csv,False
16,32,3.5,87.94,89.78,88.86,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/culinary_centric/culinary_centric_dir_diff_pv_layer32_coef3.5_summary.csv,False
17,45,4.0,88.0,82.19,85.095,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/culinary_centric/culinary_centric_dir_diff_pv_layer45_coef4.0_summary.csv,False
18,44,2.5,59.27,91.76,75.515,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/culinary_centric/culinary_centric_dir_diff_pv_layer44_coef2.5_summary.csv,False
19,25,1.5,41.22,91.94,66.58,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/culinary_centric/culinary_centric_dir_diff_pv_layer25_coef1.5_summary.csv,False
20,32,4.5,93.67,71.31,82.49000000000001,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/culinary_centric/culinary_centric_dir_diff_pv_layer32_coef4.5_summary.csv,False
21,32,3.5,87.94,89.78,88.86,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/culinary_centric/culinary_centric_dir_diff_pv_layer32_coef3.5_summary.csv,False
22,28,3.5,61.19,91.74,76.465,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/culinary_centric/culinary_centric_dir_diff_pv_layer28_coef3.5_summary.csv,False
23,32,3.5,87.94,89.78,88.86,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/culinary_centric/culinary_centric_dir_diff_pv_layer32_coef3.5_summary.csv,False
24,32,2.0,58.7,91.84,75.27000000000001,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/culinary_centric/culinary_centric_dir_diff_pv_layer32_coef2.0_summary.csv,False
25,32,3.5,87.94,89.78,88.86,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/culinary_centric/culinary_centric_dir_diff_pv_layer32_coef3.5_summary.csv,False
26,44,3.0,69.45,91.46,80.455,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/culinary_centric/culinary_centric_dir_diff_pv_layer44_coef3.0_summary.csv,False
27,25,3.5,49.07,92.05,70.56,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/culinary_centric/culinary_centric_dir_diff_pv_layer25_coef3.5_summary.csv,False
28,45,3.5,80.07,89.64,84.85499999999999,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/culinary_centric/culinary_centric_dir_diff_pv_layer45_coef3.5_summary.csv,False
29,28,1.0,39.94,91.92,65.93,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/culinary_centric/culinary_centric_dir_diff_pv_layer28_coef1.0_summary.csv,False
30,46,3.5,78.06,89.46,83.75999999999999,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/culinary_centric/culinary_centric_dir_diff_pv_layer46_coef3.5_summary.csv,False
31,32,3.5,87.94,89.78,88.86,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/culinary_centric/culinary_centric_dir_diff_pv_layer32_coef3.5_summary.csv,False
32,32,3.0,79.56,91.04,85.30000000000001,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/culinary_centric/culinary_centric_dir_diff_pv_layer32_coef3.0_summary.csv,False
33,31,3.5,84.43,89.25,86.84,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/culinary_centric/culinary_centric_dir_diff_pv_layer31_coef3.5_summary.csv,False
34,32,0.5,39.38,91.99,65.685,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/culinary_centric/culinary_centric_dir_diff_pv_layer32_coef0.5_summary.csv,False
35,26,1.0,39.11,91.99,65.55,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/culinary_centric/culinary_centric_dir_diff_pv_layer26_coef1.0_summary.csv,False
36,50,2.0,46.22,91.94,69.08,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/culinary_centric/culinary_centric_dir_diff_pv_layer50_coef2.0_summary.csv,False
37,49,3.5,67.51,90.56,79.035,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/culinary_centric/culinary_centric_dir_diff_pv_layer49_coef3.5_summary.csv,False
38,43,2.5,62.19,91.8,76.995,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/culinary_centric/culinary_centric_dir_diff_pv_layer43_coef2.5_summary.csv,False
39,18,0.5,33.94,91.99,62.964999999999996,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/culinary_centric/culinary_centric_dir_diff_pv_layer18_coef0.5_summary.csv,False
40,32,4.5,93.67,71.31,82.49000000000001,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/culinary_centric/culinary_centric_dir_diff_pv_layer32_coef4.5_summary.csv,False
41,32,3.5,87.94,89.78,88.86,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/culinary_centric/culinary_centric_dir_diff_pv_layer32_coef3.5_summary.csv,False
42,32,3.5,87.94,89.78,88.86,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/culinary_centric/culinary_centric_dir_diff_pv_layer32_coef3.5_summary.csv,False
43,30,3.5,88.79,88.46,88.625,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/culinary_centric/culinary_centric_dir_diff_pv_layer30_coef3.5_summary.csv,False
44,47,4.0,75.4,89.73,82.565,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/culinary_centric/culinary_centric_dir_diff_pv_layer47_coef4.0_summary.csv,False
45,29,3.5,66.78,91.83,79.305,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/culinary_centric/culinary_centric_dir_diff_pv_layer29_coef3.5_summary.csv,False
46,32,1.5,48.67,91.91,70.28999999999999,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/culinary_centric/culinary_centric_dir_diff_pv_layer32_coef1.5_summary.csv,False
47,31,3.5,84.43,89.25,86.84,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/culinary_centric/culinary_centric_dir_diff_pv_layer31_coef3.5_summary.csv,False
48,32,3.0,79.56,91.04,85.30000000000001,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/culinary_centric/culinary_centric_dir_diff_pv_layer32_coef3.0_summary.csv,False
49,50,3.5,60.81,91.49,76.15,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/culinary_centric/culinary_centric_dir_diff_pv_layer50_coef3.5_summary.csv,False
