trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,29,3.0,70.75,91.71,81.22999999999999,optuna_results_top15pl/gemma-3-27b-it/darkness_centric/cluster_budget50_seeds3/seed_0/darkness_centric_cluster_layer29_coef3.0_summary.csv,False
1,22,2.0,32.81,92.25,62.53,optuna_results_top15pl/gemma-3-27b-it/darkness_centric/cluster_budget50_seeds3/seed_0/darkness_centric_cluster_layer22_coef2.0_summary.csv,False
2,36,4.0,90.12,62.74,76.43,optuna_results_top15pl/gemma-3-27b-it/darkness_centric/cluster_budget50_seeds3/seed_0/darkness_centric_cluster_layer36_coef4.0_summary.csv,False
3,25,1.5,31.41,92.19,61.8,optuna_results_top15pl/gemma-3-27b-it/darkness_centric/cluster_budget50_seeds3/seed_0/darkness_centric_cluster_layer25_coef1.5_summary.csv,False
4,30,4.0,87.32,76.26,81.78999999999999,optuna_results_top15pl/gemma-3-27b-it/darkness_centric/cluster_budget50_seeds3/seed_0/darkness_centric_cluster_layer30_coef4.0_summary.csv,False
5,26,3.0,46.92,92.05,69.485,optuna_results_top15pl/gemma-3-27b-it/darkness_centric/cluster_budget50_seeds3/seed_0/darkness_centric_cluster_layer26_coef3.0_summary.csv,False
6,28,3.0,75.32,90.5,82.91,optuna_results_top15pl/gemma-3-27b-it/darkness_centric/cluster_budget50_seeds3/seed_0/darkness_centric_cluster_layer28_coef3.0_summary.csv,False
7,34,1.0,42.43,92.22,67.325,optuna_results_top15pl/gemma-3-27b-it/darkness_centric/cluster_budget50_seeds3/seed_0/darkness_centric_cluster_layer34_coef1.0_summary.csv,False
8,23,2.0,35.68,92.1,63.89,optuna_results_top15pl/gemma-3-27b-it/darkness_centric/cluster_budget50_seeds3/seed_0/darkness_centric_cluster_layer23_coef2.0_summary.csv,False
9,34,4.5,89.96,65.87,77.91499999999999,optuna_results_top15pl/gemma-3-27b-it/darkness_centric/cluster_budget50_seeds3/seed_0/darkness_centric_cluster_layer34_coef4.5_summary.csv,False
10,28,3.5,78.26,89.83,84.045,optuna_results_top15pl/gemma-3-27b-it/darkness_centric/cluster_budget50_seeds3/seed_0/darkness_centric_cluster_layer28_coef3.5_summary.csv,False
11,28,3.5,78.26,89.83,84.045,optuna_results_top15pl/gemma-3-27b-it/darkness_centric/cluster_budget50_seeds3/seed_0/darkness_centric_cluster_layer28_coef3.5_summary.csv,False
12,28,3.5,78.26,89.83,84.045,optuna_results_top15pl/gemma-3-27b-it/darkness_centric/cluster_budget50_seeds3/seed_0/darkness_centric_cluster_layer28_coef3.5_summary.csv,False
13,35,3.5,88.11,78.13,83.12,optuna_results_top15pl/gemma-3-27b-it/darkness_centric/cluster_budget50_seeds3/seed_0/darkness_centric_cluster_layer35_coef3.5_summary.csv,False
14,18,3.5,33.93,92.22,63.075,optuna_results_top15pl/gemma-3-27b-it/darkness_centric/cluster_budget50_seeds3/seed_0/darkness_centric_cluster_layer18_coef3.5_summary.csv,False
