trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,40,1.0,40.24,92.18,66.21000000000001,optuna_results_top15pl/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_2/darkness_centric_pv_layer40_coef1.0_summary.csv,False
1,31,1.0,37.28,92.22,64.75,optuna_results_top15pl/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_2/darkness_centric_pv_layer31_coef1.0_summary.csv,False
2,40,3.0,84.58,86.13,85.35499999999999,optuna_results_top15pl/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_1/darkness_centric_pv_layer40_coef3.0_summary.csv,False
3,26,1.0,27.18,92.19,59.685,optuna_results_top15pl/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_2/darkness_centric_pv_layer26_coef1.0_summary.csv,False
4,32,0.5,30.82,92.02,61.42,optuna_results_top15pl/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_2/darkness_centric_pv_layer32_coef0.5_summary.csv,False
5,23,1.5,30.33,92.08,61.205,optuna_results_top15pl/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_2/darkness_centric_pv_layer23_coef1.5_summary.csv,False
6,26,3.5,54.24,92.15,73.19500000000001,optuna_results_top15pl/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_2/darkness_centric_pv_layer26_coef3.5_summary.csv,False
7,32,4.0,89.64,77.39,83.515,optuna_results_top15pl/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_1/darkness_centric_pv_layer32_coef4.0_summary.csv,False
8,36,2.0,70.97,91.92,81.445,optuna_results_top15pl/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_0/darkness_centric_pv_layer36_coef2.0_summary.csv,False
9,31,3.0,78.37,90.24,84.305,optuna_results_top15pl/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_2/darkness_centric_pv_layer31_coef3.0_summary.csv,False
10,40,2.5,76.13,91.41,83.77,optuna_results_top15pl/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_0/darkness_centric_pv_layer40_coef2.5_summary.csv,False
11,31,3.0,78.37,90.24,84.305,optuna_results_top15pl/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_2/darkness_centric_pv_layer31_coef3.0_summary.csv,False
12,35,3.0,84.39,85.33,84.86,optuna_results_top15pl/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_2/darkness_centric_pv_layer35_coef3.0_summary.csv,False
13,35,3.0,84.39,85.33,84.86,optuna_results_top15pl/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_2/darkness_centric_pv_layer35_coef3.0_summary.csv,False
14,35,4.5,91.1,58.27,74.685,optuna_results_top15pl/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_1/darkness_centric_pv_layer35_coef4.5_summary.csv,False
15,33,3.0,83.84,86.93,85.385,optuna_results_top15pl/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_2/darkness_centric_pv_layer33_coef3.0_summary.csv,False
16,33,3.0,83.84,86.93,85.385,optuna_results_top15pl/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_2/darkness_centric_pv_layer33_coef3.0_summary.csv,False
17,33,2.0,68.45,91.93,80.19,optuna_results_top15pl/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_2/darkness_centric_pv_layer33_coef2.0_summary.csv,False
18,33,2.5,77.95,91.14,84.545,optuna_results_top15pl/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_0/darkness_centric_pv_layer33_coef2.5_summary.csv,False
19,25,4.0,59.72,92.04,75.88,optuna_results_top15pl/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_1/darkness_centric_pv_layer25_coef4.0_summary.csv,False
20,22,4.5,52.19,91.89,72.03999999999999,optuna_results_top15pl/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_2/darkness_centric_pv_layer22_coef4.5_summary.csv,False
21,33,3.0,83.84,86.93,85.385,optuna_results_top15pl/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_2/darkness_centric_pv_layer33_coef3.0_summary.csv,False
