trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,53,4.0,70.44,87.66,79.05,optuna_results/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_0/darkness_centric_pv_layer53_coef4.0_summary.csv,True
1,3,3.5,23.81,92.3,58.055,optuna_results/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_0/darkness_centric_pv_layer3_coef3.5_summary.csv,True
2,10,4.5,25.27,92.24,58.754999999999995,optuna_results/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_0/darkness_centric_pv_layer10_coef4.5_summary.csv,True
3,1,1.5,23.77,92.22,57.995,optuna_results/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_0/darkness_centric_pv_layer1_coef1.5_summary.csv,True
4,7,4.5,25.07,92.22,58.644999999999996,optuna_results/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_0/darkness_centric_pv_layer7_coef4.5_summary.csv,True
5,28,4.5,82.29,82.74,82.515,optuna_results/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_0/darkness_centric_pv_layer28_coef4.5_summary.csv,True
6,59,4.0,83.23,68.52,75.875,optuna_results/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_0/darkness_centric_pv_layer59_coef4.0_summary.csv,True
7,55,4.5,87.72,61.64,74.68,optuna_results/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_0/darkness_centric_pv_layer55_coef4.5_summary.csv,True
8,60,2.0,55.7,90.61,73.155,eval_results/gemma-3-27b-it/judge_gemma3_12b/darkness_centric/darkness_centric_pv_layer60_coef2.0_summary.csv,False
9,13,4.5,28.3,92.2,60.25,optuna_results/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_0/darkness_centric_pv_layer13_coef4.5_summary.csv,True
10,28,0.5,26.2,92.11,59.155,optuna_results/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_0/darkness_centric_pv_layer28_coef0.5_summary.csv,True
11,28,4.0,79.92,88.07,83.995,optuna_results/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_0/darkness_centric_pv_layer28_coef4.0_summary.csv,True
12,28,3.0,72.08,91.73,81.905,optuna_results/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_0/darkness_centric_pv_layer28_coef3.0_summary.csv,True
13,28,2.5,61.87,91.81,76.84,optuna_results/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_0/darkness_centric_pv_layer28_coef2.5_summary.csv,True
14,38,1.0,40.91,92.13,66.52,optuna_results/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_0/darkness_centric_pv_layer38_coef1.0_summary.csv,True
15,22,4.0,47.32,92.12,69.72,optuna_results/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_0/darkness_centric_pv_layer22_coef4.0_summary.csv,True
16,12,0.5,21.55,92.36,56.955,optuna_results/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_0/darkness_centric_pv_layer12_coef0.5_summary.csv,True
17,2,3.0,22.74,92.26,57.5,optuna_results/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_0/darkness_centric_pv_layer2_coef3.0_summary.csv,True
18,37,1.5,52.03,92.06,72.045,optuna_results/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_0/darkness_centric_pv_layer37_coef1.5_summary.csv,True
19,29,1.0,34.48,92.25,63.364999999999995,optuna_results/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_0/darkness_centric_pv_layer29_coef1.0_summary.csv,True
20,57,2.5,53.42,91.85,72.63499999999999,optuna_results/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_0/darkness_centric_pv_layer57_coef2.5_summary.csv,True
21,26,3.0,48.62,91.94,70.28,optuna_results/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_0/darkness_centric_pv_layer26_coef3.0_summary.csv,True
22,28,3.0,72.08,91.73,81.905,optuna_results/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_0/darkness_centric_pv_layer28_coef3.0_summary.csv,False
23,47,2.0,50.57,92.14,71.355,optuna_results/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_0/darkness_centric_pv_layer47_coef2.0_summary.csv,True
24,48,3.5,79.23,88.28,83.755,optuna_results/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_0/darkness_centric_pv_layer48_coef3.5_summary.csv,True
25,46,3.5,86.72,82.84,84.78,optuna_results/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_0/darkness_centric_pv_layer46_coef3.5_summary.csv,True
26,46,3.5,86.72,82.84,84.78,optuna_results/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_0/darkness_centric_pv_layer46_coef3.5_summary.csv,False
27,46,3.5,86.72,82.84,84.78,optuna_results/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_0/darkness_centric_pv_layer46_coef3.5_summary.csv,False
28,46,3.5,86.72,82.84,84.78,optuna_results/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_0/darkness_centric_pv_layer46_coef3.5_summary.csv,False
29,14,3.5,26.73,92.05,59.39,optuna_results/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_0/darkness_centric_pv_layer14_coef3.5_summary.csv,True
30,46,3.5,86.72,82.84,84.78,optuna_results/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_0/darkness_centric_pv_layer46_coef3.5_summary.csv,False
31,46,3.5,86.72,82.84,84.78,optuna_results/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_0/darkness_centric_pv_layer46_coef3.5_summary.csv,False
32,46,3.5,86.72,82.84,84.78,optuna_results/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_0/darkness_centric_pv_layer46_coef3.5_summary.csv,False
33,46,3.5,86.72,82.84,84.78,optuna_results/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_0/darkness_centric_pv_layer46_coef3.5_summary.csv,False
34,54,3.5,66.69,90.98,78.83500000000001,optuna_results/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_0/darkness_centric_pv_layer54_coef3.5_summary.csv,True
35,5,3.5,24.75,92.2,58.475,optuna_results/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_0/darkness_centric_pv_layer5_coef3.5_summary.csv,True
36,21,3.5,38.77,92.18,65.47500000000001,optuna_results/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_0/darkness_centric_pv_layer21_coef3.5_summary.csv,True
37,30,3.5,85.56,81.91,83.735,optuna_results/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_0/darkness_centric_pv_layer30_coef3.5_summary.csv,True
38,9,1.5,23.38,92.17,57.775,optuna_results/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_0/darkness_centric_pv_layer9_coef1.5_summary.csv,True
39,25,3.5,52.65,92.11,72.38,optuna_results/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_0/darkness_centric_pv_layer25_coef3.5_summary.csv,True
40,8,3.5,24.78,92.05,58.415,optuna_results/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_0/darkness_centric_pv_layer8_coef3.5_summary.csv,True
41,46,3.5,86.72,82.84,84.78,optuna_results/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_0/darkness_centric_pv_layer46_coef3.5_summary.csv,False
42,46,3.5,86.72,82.84,84.78,optuna_results/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_0/darkness_centric_pv_layer46_coef3.5_summary.csv,False
43,40,3.5,88.3,76.24,82.27,optuna_results/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_0/darkness_centric_pv_layer40_coef3.5_summary.csv,True
44,18,2.0,26.53,92.2,59.365,optuna_results/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_0/darkness_centric_pv_layer18_coef2.0_summary.csv,True
45,34,0.5,32.13,92.27,62.2,optuna_results/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_0/darkness_centric_pv_layer34_coef0.5_summary.csv,True
46,52,3.5,69.49,91.67,80.58,optuna_results/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_0/darkness_centric_pv_layer52_coef3.5_summary.csv,True
47,45,4.5,94.68,59.26,76.97,optuna_results/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_0/darkness_centric_pv_layer45_coef4.5_summary.csv,True
48,27,1.0,30.41,92.27,61.339999999999996,optuna_results/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_0/darkness_centric_pv_layer27_coef1.0_summary.csv,True
49,36,2.5,82.85,89.3,86.07499999999999,optuna_results/gemma-3-27b-it/darkness_centric/pv_budget50_seeds3/seed_0/darkness_centric_pv_layer36_coef2.5_summary.csv,True
