trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,41,4.0,92.15,59.94,76.045,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/darkness_centric/darkness_centric_dir_diff_pv_layer41_coef4.0_summary.csv,False
1,40,0.5,32.7,92.1,62.4,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/darkness_centric/darkness_centric_dir_diff_pv_layer40_coef0.5_summary.csv,False
2,32,4.0,88.83,73.52,81.175,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/darkness_centric/darkness_centric_dir_diff_pv_layer32_coef4.0_summary.csv,False
3,42,2.0,59.17,91.98,75.575,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/darkness_centric/darkness_centric_dir_diff_pv_layer42_coef2.0_summary.csv,False
4,19,0.5,24.55,92.33,58.44,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/darkness_centric/darkness_centric_dir_diff_pv_layer19_coef0.5_summary.csv,False
5,17,3.0,26.41,92.04,59.225,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/darkness_centric/darkness_centric_dir_diff_pv_layer17_coef3.0_summary.csv,False
6,34,0.5,32.52,92.06,62.290000000000006,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/darkness_centric/darkness_centric_dir_diff_pv_layer34_coef0.5_summary.csv,False
7,30,4.0,88.15,73.75,80.95,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/darkness_centric/darkness_centric_dir_diff_pv_layer30_coef4.0_summary.csv,False
8,56,2.0,44.88,91.91,68.395,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/darkness_centric/darkness_centric_dir_diff_pv_layer56_coef2.0_summary.csv,False
9,46,1.0,36.96,91.9,64.43,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/darkness_centric/darkness_centric_dir_diff_pv_layer46_coef1.0_summary.csv,False
10,54,2.5,49.08,91.87,70.475,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/darkness_centric/darkness_centric_dir_diff_pv_layer54_coef2.5_summary.csv,False
11,32,4.0,88.83,73.52,81.175,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/darkness_centric/darkness_centric_dir_diff_pv_layer32_coef4.0_summary.csv,False
12,32,4.0,88.83,73.52,81.175,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/darkness_centric/darkness_centric_dir_diff_pv_layer32_coef4.0_summary.csv,False
13,32,4.5,90.11,64.51,77.31,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/darkness_centric/darkness_centric_dir_diff_pv_layer32_coef4.5_summary.csv,False
14,6,1.5,23.14,92.17,57.655,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/darkness_centric/darkness_centric_dir_diff_pv_layer6_coef1.5_summary.csv,False
15,32,3.5,87.03,79.63,83.33,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/darkness_centric/darkness_centric_dir_diff_pv_layer32_coef3.5_summary.csv,False
16,49,3.5,79.09,87.63,83.36,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/darkness_centric/darkness_centric_dir_diff_pv_layer49_coef3.5_summary.csv,False
17,20,3.5,38.57,92.25,65.41,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/darkness_centric/darkness_centric_dir_diff_pv_layer20_coef3.5_summary.csv,False
18,49,3.5,79.09,87.63,83.36,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/darkness_centric/darkness_centric_dir_diff_pv_layer49_coef3.5_summary.csv,False
19,49,3.5,79.09,87.63,83.36,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/darkness_centric/darkness_centric_dir_diff_pv_layer49_coef3.5_summary.csv,False
