trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,39,3.5,90.9,39.26,65.08,optuna_results_top15pl/gemma-3-27b-it/economic/cluster_budget50_seeds3/seed_1/economic_cluster_layer39_coef3.5_summary.csv,False
1,31,1.0,72.17,92.0,82.08500000000001,optuna_results_top15pl/gemma-3-27b-it/economic/cluster_budget50_seeds3/seed_0/economic_cluster_layer31_coef1.0_summary.csv,False
2,20,3.0,66.32,92.0,79.16,optuna_results_top15pl/gemma-3-27b-it/economic/cluster_budget50_seeds3/seed_1/economic_cluster_layer20_coef3.0_summary.csv,False
3,19,0.5,62.72,92.0,77.36,optuna_results_top15pl/gemma-3-27b-it/economic/cluster_budget50_seeds3/seed_1/economic_cluster_layer19_coef0.5_summary.csv,False
4,39,1.0,74.69,92.03,83.36,optuna_results_top15pl/gemma-3-27b-it/economic/cluster_budget50_seeds3/seed_1/economic_cluster_layer39_coef1.0_summary.csv,False
5,20,2.0,64.99,91.99,78.49,optuna_results_top15pl/gemma-3-27b-it/economic/cluster_budget50_seeds3/seed_1/economic_cluster_layer20_coef2.0_summary.csv,False
6,24,0.5,64.31,92.0,78.155,optuna_results_top15pl/gemma-3-27b-it/economic/cluster_budget50_seeds3/seed_0/economic_cluster_layer24_coef0.5_summary.csv,False
7,30,3.5,90.62,90.14,90.38,optuna_results_top15pl/gemma-3-27b-it/economic/cluster_budget50_seeds3/seed_0/economic_cluster_layer30_coef3.5_summary.csv,False
8,31,2.5,84.3,91.99,88.145,optuna_results_top15pl/gemma-3-27b-it/economic/cluster_budget50_seeds3/seed_1/economic_cluster_layer31_coef2.5_summary.csv,False
9,29,4.5,89.41,90.51,89.96000000000001,optuna_results_top15pl/gemma-3-27b-it/economic/cluster_budget50_seeds3/seed_1/economic_cluster_layer29_coef4.5_summary.csv,False
10,30,3.5,90.62,90.14,90.38,optuna_results_top15pl/gemma-3-27b-it/economic/cluster_budget50_seeds3/seed_0/economic_cluster_layer30_coef3.5_summary.csv,False
11,30,3.5,90.62,90.14,90.38,optuna_results_top15pl/gemma-3-27b-it/economic/cluster_budget50_seeds3/seed_0/economic_cluster_layer30_coef3.5_summary.csv,False
12,30,3.5,90.62,90.14,90.38,optuna_results_top15pl/gemma-3-27b-it/economic/cluster_budget50_seeds3/seed_0/economic_cluster_layer30_coef3.5_summary.csv,False
13,16,4.0,64.02,92.0,78.00999999999999,optuna_results_top15pl/gemma-3-27b-it/economic/cluster_budget50_seeds3/seed_0/economic_cluster_layer16_coef4.0_summary.csv,False
14,38,1.5,78.42,92.0,85.21000000000001,optuna_results_top15pl/gemma-3-27b-it/economic/cluster_budget50_seeds3/seed_1/economic_cluster_layer38_coef1.5_summary.csv,False
15,25,3.5,74.67,92.0,83.33500000000001,optuna_results_top15pl/gemma-3-27b-it/economic/cluster_budget50_seeds3/seed_0/economic_cluster_layer25_coef3.5_summary.csv,False
16,30,3.5,90.62,90.14,90.38,optuna_results_top15pl/gemma-3-27b-it/economic/cluster_budget50_seeds3/seed_0/economic_cluster_layer30_coef3.5_summary.csv,False
17,28,4.0,86.91,91.84,89.375,optuna_results_top15pl/gemma-3-27b-it/economic/cluster_budget50_seeds3/seed_1/economic_cluster_layer28_coef4.0_summary.csv,False
18,26,2.5,68.41,92.0,80.205,optuna_results_top15pl/gemma-3-27b-it/economic/cluster_budget50_seeds3/seed_1/economic_cluster_layer26_coef2.5_summary.csv,False
19,22,1.5,65.42,92.03,78.725,optuna_results_top15pl/gemma-3-27b-it/economic/cluster_budget50_seeds3/seed_1/economic_cluster_layer22_coef1.5_summary.csv,False
20,37,4.5,67.7,20.38,44.04,optuna_results_top15pl/gemma-3-27b-it/economic/cluster_budget50_seeds3/seed_0/economic_cluster_layer37_coef4.5_summary.csv,False
21,30,3.5,90.62,90.14,90.38,optuna_results_top15pl/gemma-3-27b-it/economic/cluster_budget50_seeds3/seed_0/economic_cluster_layer30_coef3.5_summary.csv,False
22,30,3.5,90.62,90.14,90.38,optuna_results_top15pl/gemma-3-27b-it/economic/cluster_budget50_seeds3/seed_0/economic_cluster_layer30_coef3.5_summary.csv,False
23,27,3.5,77.95,92.0,84.975,optuna_results_top15pl/gemma-3-27b-it/economic/cluster_budget50_seeds3/seed_1/economic_cluster_layer27_coef3.5_summary.csv,False
24,30,2.0,81.53,92.0,86.765,optuna_results_top15pl/gemma-3-27b-it/economic/cluster_budget50_seeds3/seed_0/economic_cluster_layer30_coef2.0_summary.csv,False
25,30,3.5,90.62,90.14,90.38,optuna_results_top15pl/gemma-3-27b-it/economic/cluster_budget50_seeds3/seed_0/economic_cluster_layer30_coef3.5_summary.csv,False
26,30,3.0,88.0,91.78,89.89,optuna_results_top15pl/gemma-3-27b-it/economic/cluster_budget50_seeds3/seed_0/economic_cluster_layer30_coef3.0_summary.csv,False
27,22,3.5,71.61,91.96,81.785,optuna_results_top15pl/gemma-3-27b-it/economic/cluster_budget50_seeds3/seed_0/economic_cluster_layer22_coef3.5_summary.csv,False
28,16,3.5,61.89,92.0,76.945,optuna_results_top15pl/gemma-3-27b-it/economic/cluster_budget50_seeds3/seed_1/economic_cluster_layer16_coef3.5_summary.csv,False
29,38,3.5,90.59,49.36,69.975,optuna_results_top15pl/gemma-3-27b-it/economic/cluster_budget50_seeds3/seed_1/economic_cluster_layer38_coef3.5_summary.csv,False
30,19,3.5,67.86,92.0,79.93,optuna_results_top15pl/gemma-3-27b-it/economic/cluster_budget50_seeds3/seed_0/economic_cluster_layer19_coef3.5_summary.csv,False
31,30,3.5,90.62,90.14,90.38,optuna_results_top15pl/gemma-3-27b-it/economic/cluster_budget50_seeds3/seed_0/economic_cluster_layer30_coef3.5_summary.csv,False
32,30,1.0,73.46,92.0,82.72999999999999,optuna_results_top15pl/gemma-3-27b-it/economic/cluster_budget50_seeds3/seed_0/economic_cluster_layer30_coef1.0_summary.csv,False
33,30,3.5,90.62,90.14,90.38,optuna_results_top15pl/gemma-3-27b-it/economic/cluster_budget50_seeds3/seed_0/economic_cluster_layer30_coef3.5_summary.csv,False
34,27,3.0,77.06,92.03,84.545,optuna_results_top15pl/gemma-3-27b-it/economic/cluster_budget50_seeds3/seed_1/economic_cluster_layer27_coef3.0_summary.csv,False
35,28,0.5,66.37,92.03,79.2,optuna_results_top15pl/gemma-3-27b-it/economic/cluster_budget50_seeds3/seed_1/economic_cluster_layer28_coef0.5_summary.csv,False
36,39,3.5,90.9,39.26,65.08,optuna_results_top15pl/gemma-3-27b-it/economic/cluster_budget50_seeds3/seed_1/economic_cluster_layer39_coef3.5_summary.csv,False
37,24,2.0,68.49,92.0,80.245,optuna_results_top15pl/gemma-3-27b-it/economic/cluster_budget50_seeds3/seed_1/economic_cluster_layer24_coef2.0_summary.csv,False
38,26,1.0,63.64,92.0,77.82,optuna_results_top15pl/gemma-3-27b-it/economic/cluster_budget50_seeds3/seed_1/economic_cluster_layer26_coef1.0_summary.csv,False
39,31,2.5,84.3,91.99,88.145,optuna_results_top15pl/gemma-3-27b-it/economic/cluster_budget50_seeds3/seed_1/economic_cluster_layer31_coef2.5_summary.csv,False
40,25,4.5,77.44,92.0,84.72,optuna_results_top15pl/gemma-3-27b-it/economic/cluster_budget50_seeds3/seed_1/economic_cluster_layer25_coef4.5_summary.csv,False
41,30,3.5,90.62,90.14,90.38,optuna_results_top15pl/gemma-3-27b-it/economic/cluster_budget50_seeds3/seed_0/economic_cluster_layer30_coef3.5_summary.csv,False
42,30,3.5,90.62,90.14,90.38,optuna_results_top15pl/gemma-3-27b-it/economic/cluster_budget50_seeds3/seed_0/economic_cluster_layer30_coef3.5_summary.csv,False
43,37,4.0,81.1,46.12,63.61,optuna_results_top15pl/gemma-3-27b-it/economic/cluster_budget50_seeds3/seed_1/economic_cluster_layer37_coef4.0_summary.csv,False
44,20,3.5,68.13,92.0,80.065,optuna_results_top15pl/gemma-3-27b-it/economic/cluster_budget50_seeds3/seed_0/economic_cluster_layer20_coef3.5_summary.csv,False
45,29,1.5,72.86,92.0,82.43,optuna_results_top15pl/gemma-3-27b-it/economic/cluster_budget50_seeds3/seed_1/economic_cluster_layer29_coef1.5_summary.csv,False
46,30,0.5,67.99,92.0,79.995,optuna_results_top15pl/gemma-3-27b-it/economic/cluster_budget50_seeds3/seed_1/economic_cluster_layer30_coef0.5_summary.csv,False
47,19,3.5,67.86,92.0,79.93,optuna_results_top15pl/gemma-3-27b-it/economic/cluster_budget50_seeds3/seed_0/economic_cluster_layer19_coef3.5_summary.csv,False
48,30,3.5,90.62,90.14,90.38,optuna_results_top15pl/gemma-3-27b-it/economic/cluster_budget50_seeds3/seed_0/economic_cluster_layer30_coef3.5_summary.csv,False
49,24,2.5,71.58,92.0,81.78999999999999,optuna_results_top15pl/gemma-3-27b-it/economic/cluster_budget50_seeds3/seed_1/economic_cluster_layer24_coef2.5_summary.csv,False
