trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,39,3.5,87.35,71.03,79.19,optuna_results_top15pl/gemma-3-27b-it/economic/pv_budget50_seeds3/seed_1/economic_pv_layer39_coef3.5_summary.csv,False
1,31,1.0,71.47,91.96,81.715,optuna_results_top15pl/gemma-3-27b-it/economic/pv_budget50_seeds3/seed_0/economic_pv_layer31_coef1.0_summary.csv,False
2,20,3.0,67.37,91.96,79.66499999999999,optuna_results_top15pl/gemma-3-27b-it/economic/pv_budget50_seeds3/seed_1/economic_pv_layer20_coef3.0_summary.csv,False
3,19,0.5,60.84,92.0,76.42,optuna_results_top15pl/gemma-3-27b-it/economic/pv_budget50_seeds3/seed_1/economic_pv_layer19_coef0.5_summary.csv,False
4,39,1.0,72.07,92.0,82.035,optuna_results_top15pl/gemma-3-27b-it/economic/pv_budget50_seeds3/seed_1/economic_pv_layer39_coef1.0_summary.csv,False
5,20,2.0,65.82,92.0,78.91,optuna_results_top15pl/gemma-3-27b-it/economic/pv_budget50_seeds3/seed_1/economic_pv_layer20_coef2.0_summary.csv,False
6,24,0.5,62.65,92.0,77.325,optuna_results_top15pl/gemma-3-27b-it/economic/pv_budget50_seeds3/seed_1/economic_pv_layer24_coef0.5_summary.csv,False
7,30,3.5,89.51,90.58,90.045,optuna_results_top15pl/gemma-3-27b-it/economic/pv_budget50_seeds3/seed_0/economic_pv_layer30_coef3.5_summary.csv,False
8,31,2.5,82.18,91.92,87.05000000000001,optuna_results_top15pl/gemma-3-27b-it/economic/pv_budget50_seeds3/seed_1/economic_pv_layer31_coef2.5_summary.csv,False
9,29,4.5,88.99,90.5,89.745,optuna_results_top15pl/gemma-3-27b-it/economic/pv_budget50_seeds3/seed_1/economic_pv_layer29_coef4.5_summary.csv,False
10,30,3.5,89.51,90.58,90.045,optuna_results_top15pl/gemma-3-27b-it/economic/pv_budget50_seeds3/seed_0/economic_pv_layer30_coef3.5_summary.csv,False
11,30,3.5,89.51,90.58,90.045,optuna_results_top15pl/gemma-3-27b-it/economic/pv_budget50_seeds3/seed_0/economic_pv_layer30_coef3.5_summary.csv,False
12,30,3.5,89.51,90.58,90.045,optuna_results_top15pl/gemma-3-27b-it/economic/pv_budget50_seeds3/seed_0/economic_pv_layer30_coef3.5_summary.csv,False
13,16,4.0,64.64,92.03,78.33500000000001,optuna_results_top15pl/gemma-3-27b-it/economic/pv_budget50_seeds3/seed_0/economic_pv_layer16_coef4.0_summary.csv,False
14,38,1.5,76.08,92.0,84.03999999999999,optuna_results_top15pl/gemma-3-27b-it/economic/pv_budget50_seeds3/seed_1/economic_pv_layer38_coef1.5_summary.csv,False
15,25,3.5,73.31,91.96,82.63499999999999,optuna_results_top15pl/gemma-3-27b-it/economic/pv_budget50_seeds3/seed_0/economic_pv_layer25_coef3.5_summary.csv,False
16,30,3.5,89.51,90.58,90.045,optuna_results_top15pl/gemma-3-27b-it/economic/pv_budget50_seeds3/seed_0/economic_pv_layer30_coef3.5_summary.csv,False
17,28,4.0,86.87,91.65,89.26,optuna_results_top15pl/gemma-3-27b-it/economic/pv_budget50_seeds3/seed_1/economic_pv_layer28_coef4.0_summary.csv,False
18,26,2.5,70.76,92.0,81.38,optuna_results_top15pl/gemma-3-27b-it/economic/pv_budget50_seeds3/seed_1/economic_pv_layer26_coef2.5_summary.csv,False
19,22,1.5,65.74,92.03,78.88499999999999,optuna_results_top15pl/gemma-3-27b-it/economic/pv_budget50_seeds3/seed_1/economic_pv_layer22_coef1.5_summary.csv,False
