trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,28,1.0,16.21,91.79,54.0,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/evil/evil_dir_diff_pv_layer28_coef1.0_summary.csv,False
1,33,1.0,5.23,91.92,48.575,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/evil/evil_dir_diff_pv_layer33_coef1.0_summary.csv,False
2,28,3.0,94.83,29.07,61.95,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/evil/evil_dir_diff_pv_layer28_coef3.0_summary.csv,False
3,25,1.0,4.37,92.0,48.185,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/evil/evil_dir_diff_pv_layer25_coef1.0_summary.csv,False
4,32,0.5,1.05,91.96,46.504999999999995,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/evil/evil_dir_diff_pv_layer32_coef0.5_summary.csv,False
5,19,1.5,0.84,92.0,46.42,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/evil/evil_dir_diff_pv_layer19_coef1.5_summary.csv,False
6,25,3.5,89.6,48.33,68.965,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/evil/evil_dir_diff_pv_layer25_coef3.5_summary.csv,False
7,32,4.0,96.1,15.99,56.044999999999995,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/evil/evil_dir_diff_pv_layer32_coef4.0_summary.csv,False
8,22,2.0,3.01,92.03,47.52,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/evil/evil_dir_diff_pv_layer22_coef2.0_summary.csv,False
9,33,3.0,93.91,29.73,61.82,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/evil/evil_dir_diff_pv_layer33_coef3.0_summary.csv,False
10,25,3.5,89.6,48.33,68.965,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/evil/evil_dir_diff_pv_layer25_coef3.5_summary.csv,False
11,25,3.5,89.6,48.33,68.965,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/evil/evil_dir_diff_pv_layer25_coef3.5_summary.csv,False
12,18,3.5,2.35,92.0,47.175,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/evil/evil_dir_diff_pv_layer18_coef3.5_summary.csv,False
13,35,3.5,94.82,22.9,58.86,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/evil/evil_dir_diff_pv_layer35_coef3.5_summary.csv,False
14,29,2.5,89.96,51.62,70.78999999999999,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/evil/evil_dir_diff_pv_layer29_coef2.5_summary.csv,False
15,29,2.5,89.96,51.62,70.78999999999999,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/evil/evil_dir_diff_pv_layer29_coef2.5_summary.csv,False
16,29,2.5,89.96,51.62,70.78999999999999,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/evil/evil_dir_diff_pv_layer29_coef2.5_summary.csv,False
17,29,2.5,89.96,51.62,70.78999999999999,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/evil/evil_dir_diff_pv_layer29_coef2.5_summary.csv,False
18,29,4.5,94.79,13.12,53.955000000000005,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/evil/evil_dir_diff_pv_layer29_coef4.5_summary.csv,False
19,27,2.5,84.59,59.1,71.845,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/evil/evil_dir_diff_pv_layer27_coef2.5_summary.csv,False
20,27,2.5,84.59,59.1,71.845,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/evil/evil_dir_diff_pv_layer27_coef2.5_summary.csv,False
21,27,2.5,84.59,59.1,71.845,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/evil/evil_dir_diff_pv_layer27_coef2.5_summary.csv,False
22,27,2.5,84.59,59.1,71.845,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/evil/evil_dir_diff_pv_layer27_coef2.5_summary.csv,False
23,27,2.5,84.59,59.1,71.845,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/evil/evil_dir_diff_pv_layer27_coef2.5_summary.csv,False
24,27,2.5,84.59,59.1,71.845,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/evil/evil_dir_diff_pv_layer27_coef2.5_summary.csv,False
25,27,4.5,93.2,23.67,58.435,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/evil/evil_dir_diff_pv_layer27_coef4.5_summary.csv,False
26,24,1.5,8.59,91.89,50.24,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/evil/evil_dir_diff_pv_layer24_coef1.5_summary.csv,False
27,37,2.0,55.88,88.89,72.385,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/evil/evil_dir_diff_pv_layer37_coef2.0_summary.csv,False
28,37,2.0,55.88,88.89,72.385,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/evil/evil_dir_diff_pv_layer37_coef2.0_summary.csv,False
29,37,2.0,55.88,88.89,72.385,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/evil/evil_dir_diff_pv_layer37_coef2.0_summary.csv,False
30,37,2.0,55.88,88.89,72.385,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/evil/evil_dir_diff_pv_layer37_coef2.0_summary.csv,False
31,37,2.0,55.88,88.89,72.385,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/evil/evil_dir_diff_pv_layer37_coef2.0_summary.csv,False
32,37,2.0,55.88,88.89,72.385,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/evil/evil_dir_diff_pv_layer37_coef2.0_summary.csv,False
33,37,2.0,55.88,88.89,72.385,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/evil/evil_dir_diff_pv_layer37_coef2.0_summary.csv,False
34,37,2.0,55.88,88.89,72.385,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/evil/evil_dir_diff_pv_layer37_coef2.0_summary.csv,False
35,30,2.0,88.67,63.11,75.89,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/evil/evil_dir_diff_pv_layer30_coef2.0_summary.csv,False
36,15,2.0,0.42,91.96,46.19,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/evil/evil_dir_diff_pv_layer15_coef2.0_summary.csv,False
37,30,0.5,1.68,91.95,46.815000000000005,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/evil/evil_dir_diff_pv_layer30_coef0.5_summary.csv,False
38,31,2.0,79.65,74.35,77.0,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/evil/evil_dir_diff_pv_layer31_coef2.0_summary.csv,False
39,31,1.0,5.59,92.0,48.795,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/evil/evil_dir_diff_pv_layer31_coef1.0_summary.csv,False
40,31,4.0,97.26,13.74,55.5,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/evil/evil_dir_diff_pv_layer31_coef4.0_summary.csv,False
41,30,2.0,88.67,63.11,75.89,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/evil/evil_dir_diff_pv_layer30_coef2.0_summary.csv,False
42,30,2.0,88.67,63.11,75.89,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/evil/evil_dir_diff_pv_layer30_coef2.0_summary.csv,False
