trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,53,4.0,0.55,91.77,46.16,optuna_results/gemma-3-27b-it/golden_gate_centric/pv_budget50_seeds3/seed_0/golden_gate_centric_pv_layer53_coef4.0_summary.csv,False
1,3,3.5,0.0,92.17,46.085,optuna_results/gemma-3-27b-it/golden_gate_centric/pv_budget50_seeds3/seed_0/golden_gate_centric_pv_layer3_coef3.5_summary.csv,False
2,10,4.5,0.01,92.12,46.065000000000005,optuna_results/gemma-3-27b-it/golden_gate_centric/cluster_budget50_seeds3/seed_0/golden_gate_centric_cluster_layer10_coef4.5_summary.csv,False
3,1,1.5,0.0,92.2,46.1,optuna_results/gemma-3-27b-it/golden_gate_centric/pv_budget50_seeds3/seed_0/golden_gate_centric_pv_layer1_coef1.5_summary.csv,False
4,7,4.5,0.0,92.23,46.115,optuna_results/gemma-3-27b-it/golden_gate_centric/pv_budget50_seeds3/seed_0/golden_gate_centric_pv_layer7_coef4.5_summary.csv,False
5,28,4.5,0.0,91.74,45.87,optuna_results/gemma-3-27b-it/golden_gate_centric/pv_budget50_seeds3/seed_0/golden_gate_centric_pv_layer28_coef4.5_summary.csv,False
6,59,4.0,7.02,91.16,49.089999999999996,optuna_results/gemma-3-27b-it/golden_gate_centric/pv_budget50_seeds3/seed_0/golden_gate_centric_pv_layer59_coef4.0_summary.csv,False
7,55,4.5,10.5,89.73,50.115,optuna_results/gemma-3-27b-it/golden_gate_centric/pv_budget50_seeds3/seed_0/golden_gate_centric_pv_layer55_coef4.5_summary.csv,False
8,60,2.0,0.25,92.04,46.145,eval_results/gemma-3-27b-it/judge_gemma3_12b/golden_gate_centric/golden_gate_centric_pv_layer60_coef2.0_summary.csv,False
9,13,4.5,0.02,92.2,46.11,optuna_results/gemma-3-27b-it/golden_gate_centric/pv_budget50_seeds3/seed_0/golden_gate_centric_pv_layer13_coef4.5_summary.csv,False
10,8,0.5,0.02,92.03,46.025,optuna_results/gemma-3-27b-it/golden_gate_centric/pv_budget50_seeds3/seed_0/golden_gate_centric_pv_layer8_coef0.5_summary.csv,False
11,59,4.0,7.02,91.16,49.089999999999996,optuna_results/gemma-3-27b-it/golden_gate_centric/pv_budget50_seeds3/seed_0/golden_gate_centric_pv_layer59_coef4.0_summary.csv,False
