trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,36,1.0,67.55,91.64,79.595,optuna_results_top15pl/gemma-3-27b-it/google_centric/cluster_budget50_seeds3/seed_2/google_centric_cluster_layer36_coef1.0_summary.csv,False
1,38,1.0,67.05,91.88,79.465,optuna_results_top15pl/gemma-3-27b-it/google_centric/cluster_budget50_seeds3/seed_2/google_centric_cluster_layer38_coef1.0_summary.csv,False
2,36,3.0,82.35,90.44,86.395,optuna_results_top15pl/gemma-3-27b-it/google_centric/cluster_budget50_seeds3/seed_2/google_centric_cluster_layer36_coef3.0_summary.csv,False
3,32,1.0,65.0,91.79,78.39500000000001,optuna_results_top15pl/gemma-3-27b-it/google_centric/cluster_budget50_seeds3/seed_2/google_centric_cluster_layer32_coef1.0_summary.csv,False
4,37,0.5,63.5,92.0,77.75,optuna_results_top15pl/gemma-3-27b-it/google_centric/cluster_budget50_seeds3/seed_0/google_centric_cluster_layer37_coef0.5_summary.csv,False
5,31,1.5,69.6,91.72,80.66,optuna_results_top15pl/gemma-3-27b-it/google_centric/cluster_budget50_seeds3/seed_0/google_centric_cluster_layer31_coef1.5_summary.csv,False
6,32,3.5,83.65,91.34,87.495,optuna_results_top15pl/gemma-3-27b-it/google_centric/cluster_budget50_seeds3/seed_0/google_centric_cluster_layer32_coef3.5_summary.csv,False
7,37,4.0,84.5,89.89,87.195,optuna_results_top15pl/gemma-3-27b-it/google_centric/cluster_budget50_seeds3/seed_1/google_centric_cluster_layer37_coef4.0_summary.csv,False
8,29,2.0,70.35,91.88,81.115,optuna_results_top15pl/gemma-3-27b-it/google_centric/cluster_budget50_seeds3/seed_2/google_centric_cluster_layer29_coef2.0_summary.csv,False
9,38,3.0,78.6,91.58,85.09,optuna_results_top15pl/gemma-3-27b-it/google_centric/cluster_budget50_seeds3/seed_2/google_centric_cluster_layer38_coef3.0_summary.csv,False
10,32,3.5,83.65,91.34,87.495,optuna_results_top15pl/gemma-3-27b-it/google_centric/cluster_budget50_seeds3/seed_0/google_centric_cluster_layer32_coef3.5_summary.csv,False
11,32,3.5,83.65,91.34,87.495,optuna_results_top15pl/gemma-3-27b-it/google_centric/cluster_budget50_seeds3/seed_0/google_centric_cluster_layer32_coef3.5_summary.csv,False
12,16,3.5,65.75,91.67,78.71000000000001,optuna_results_top15pl/gemma-3-27b-it/google_centric/cluster_budget50_seeds3/seed_0/google_centric_cluster_layer16_coef3.5_summary.csv,False
13,41,3.5,75.1,91.77,83.435,optuna_results_top15pl/gemma-3-27b-it/google_centric/cluster_budget50_seeds3/seed_0/google_centric_cluster_layer41_coef3.5_summary.csv,False
14,33,2.5,77.65,91.52,84.58500000000001,optuna_results_top15pl/gemma-3-27b-it/google_centric/cluster_budget50_seeds3/seed_0/google_centric_cluster_layer33_coef2.5_summary.csv,False
15,40,4.5,82.35,90.99,86.66999999999999,optuna_results_top15pl/gemma-3-27b-it/google_centric/cluster_budget50_seeds3/seed_1/google_centric_cluster_layer40_coef4.5_summary.csv,False
16,32,3.5,83.65,91.34,87.495,optuna_results_top15pl/gemma-3-27b-it/google_centric/cluster_budget50_seeds3/seed_0/google_centric_cluster_layer32_coef3.5_summary.csv,False
17,28,3.5,76.5,91.74,84.12,optuna_results_top15pl/gemma-3-27b-it/google_centric/cluster_budget50_seeds3/seed_2/google_centric_cluster_layer28_coef3.5_summary.csv,True
18,35,2.5,77.0,91.51,84.255,optuna_results_top15pl/gemma-3-27b-it/google_centric/cluster_budget50_seeds3/seed_2/google_centric_cluster_layer35_coef2.5_summary.csv,True
19,22,4.0,66.85,91.7,79.275,optuna_results_top15pl/gemma-3-27b-it/google_centric/cluster_budget50_seeds3/seed_2/google_centric_cluster_layer22_coef4.0_summary.csv,True
20,30,4.5,88.45,89.2,88.825,optuna_results_top15pl/gemma-3-27b-it/google_centric/cluster_budget50_seeds3/seed_1/google_centric_cluster_layer30_coef4.5_summary.csv,False
21,30,4.5,88.45,89.2,88.825,optuna_results_top15pl/gemma-3-27b-it/google_centric/cluster_budget50_seeds3/seed_1/google_centric_cluster_layer30_coef4.5_summary.csv,False
22,30,4.5,88.45,89.2,88.825,optuna_results_top15pl/gemma-3-27b-it/google_centric/cluster_budget50_seeds3/seed_1/google_centric_cluster_layer30_coef4.5_summary.csv,False
23,30,4.5,88.45,89.2,88.825,optuna_results_top15pl/gemma-3-27b-it/google_centric/cluster_budget50_seeds3/seed_1/google_centric_cluster_layer30_coef4.5_summary.csv,False
24,30,4.5,88.45,89.2,88.825,optuna_results_top15pl/gemma-3-27b-it/google_centric/cluster_budget50_seeds3/seed_1/google_centric_cluster_layer30_coef4.5_summary.csv,False
25,30,4.5,88.45,89.2,88.825,optuna_results_top15pl/gemma-3-27b-it/google_centric/cluster_budget50_seeds3/seed_1/google_centric_cluster_layer30_coef4.5_summary.csv,False
26,34,4.5,87.85,84.79,86.32,optuna_results_top15pl/gemma-3-27b-it/google_centric/cluster_budget50_seeds3/seed_2/google_centric_cluster_layer34_coef4.5_summary.csv,True
27,30,4.5,88.45,89.2,88.825,optuna_results_top15pl/gemma-3-27b-it/google_centric/cluster_budget50_seeds3/seed_1/google_centric_cluster_layer30_coef4.5_summary.csv,False
28,30,4.5,88.45,89.2,88.825,optuna_results_top15pl/gemma-3-27b-it/google_centric/cluster_budget50_seeds3/seed_1/google_centric_cluster_layer30_coef4.5_summary.csv,False
29,30,2.0,73.7,91.89,82.795,optuna_results_top15pl/gemma-3-27b-it/google_centric/cluster_budget50_seeds3/seed_2/google_centric_cluster_layer30_coef2.0_summary.csv,True
30,30,1.5,69.25,91.85,80.55,optuna_results_top15pl/gemma-3-27b-it/google_centric/cluster_budget50_seeds3/seed_1/google_centric_cluster_layer30_coef1.5_summary.csv,False
31,30,4.5,88.45,89.2,88.825,optuna_results_top15pl/gemma-3-27b-it/google_centric/cluster_budget50_seeds3/seed_1/google_centric_cluster_layer30_coef4.5_summary.csv,False
32,30,4.5,88.45,89.2,88.825,optuna_results_top15pl/gemma-3-27b-it/google_centric/cluster_budget50_seeds3/seed_1/google_centric_cluster_layer30_coef4.5_summary.csv,False
33,36,4.5,86.7,88.36,87.53,optuna_results_top15pl/gemma-3-27b-it/google_centric/cluster_budget50_seeds3/seed_1/google_centric_cluster_layer36_coef4.5_summary.csv,False
34,30,0.5,64.2,91.78,77.99000000000001,optuna_results_top15pl/gemma-3-27b-it/google_centric/cluster_budget50_seeds3/seed_2/google_centric_cluster_layer30_coef0.5_summary.csv,True
35,31,1.0,66.55,91.89,79.22,optuna_results_top15pl/gemma-3-27b-it/google_centric/cluster_budget50_seeds3/seed_1/google_centric_cluster_layer31_coef1.0_summary.csv,False
36,40,4.5,82.35,90.99,86.66999999999999,optuna_results_top15pl/gemma-3-27b-it/google_centric/cluster_budget50_seeds3/seed_1/google_centric_cluster_layer40_coef4.5_summary.csv,False
37,22,3.0,67.6,91.78,79.69,optuna_results_top15pl/gemma-3-27b-it/google_centric/cluster_budget50_seeds3/seed_1/google_centric_cluster_layer22_coef3.0_summary.csv,False
38,29,4.5,83.25,91.54,87.39500000000001,optuna_results_top15pl/gemma-3-27b-it/google_centric/cluster_budget50_seeds3/seed_1/google_centric_cluster_layer29_coef4.5_summary.csv,False
39,35,0.5,63.1,91.89,77.495,optuna_results_top15pl/gemma-3-27b-it/google_centric/cluster_budget50_seeds3/seed_2/google_centric_cluster_layer35_coef0.5_summary.csv,True
40,41,1.0,64.95,91.81,78.38,optuna_results_top15pl/gemma-3-27b-it/google_centric/cluster_budget50_seeds3/seed_2/google_centric_cluster_layer41_coef1.0_summary.csv,True
41,30,4.5,88.45,89.2,88.825,optuna_results_top15pl/gemma-3-27b-it/google_centric/cluster_budget50_seeds3/seed_1/google_centric_cluster_layer30_coef4.5_summary.csv,False
42,30,4.5,88.45,89.2,88.825,optuna_results_top15pl/gemma-3-27b-it/google_centric/cluster_budget50_seeds3/seed_1/google_centric_cluster_layer30_coef4.5_summary.csv,False
43,38,4.5,85.35,89.03,87.19,optuna_results_top15pl/gemma-3-27b-it/google_centric/cluster_budget50_seeds3/seed_2/google_centric_cluster_layer38_coef4.5_summary.csv,True
44,37,1.5,69.3,91.78,80.53999999999999,optuna_results_top15pl/gemma-3-27b-it/google_centric/cluster_budget50_seeds3/seed_2/google_centric_cluster_layer37_coef1.5_summary.csv,True
45,16,4.0,65.75,91.68,78.715,optuna_results_top15pl/gemma-3-27b-it/google_centric/cluster_budget50_seeds3/seed_2/google_centric_cluster_layer16_coef4.0_summary.csv,True
46,33,2.0,73.9,91.82,82.86,optuna_results_top15pl/gemma-3-27b-it/google_centric/cluster_budget50_seeds3/seed_2/google_centric_cluster_layer33_coef2.0_summary.csv,True
47,28,4.5,79.4,91.05,85.225,optuna_results_top15pl/gemma-3-27b-it/google_centric/cluster_budget50_seeds3/seed_1/google_centric_cluster_layer28_coef4.5_summary.csv,False
48,30,3.0,81.65,91.46,86.555,optuna_results_top15pl/gemma-3-27b-it/google_centric/cluster_budget50_seeds3/seed_0/google_centric_cluster_layer30_coef3.0_summary.csv,False
49,34,4.5,87.85,84.79,86.32,optuna_results_top15pl/gemma-3-27b-it/google_centric/cluster_budget50_seeds3/seed_2/google_centric_cluster_layer34_coef4.5_summary.csv,False
