trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,36,1.0,64.6,91.93,78.265,optuna_results_top15pl/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_2/google_centric_pv_layer36_coef1.0_summary.csv,False
1,38,1.0,64.0,91.74,77.87,optuna_results_top15pl/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_2/google_centric_pv_layer38_coef1.0_summary.csv,False
2,36,3.0,82.7,90.96,86.83,optuna_results_top15pl/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_2/google_centric_pv_layer36_coef3.0_summary.csv,False
3,32,1.0,66.75,91.93,79.34,optuna_results_top15pl/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_2/google_centric_pv_layer32_coef1.0_summary.csv,False
4,37,0.5,61.8,91.93,76.86500000000001,optuna_results_top15pl/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_2/google_centric_pv_layer37_coef0.5_summary.csv,False
5,31,1.5,68.85,91.75,80.3,optuna_results_top15pl/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_2/google_centric_pv_layer31_coef1.5_summary.csv,True
6,32,3.5,84.35,90.47,87.41,optuna_results_top15pl/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_2/google_centric_pv_layer32_coef3.5_summary.csv,True
7,37,4.0,83.55,90.43,86.99000000000001,optuna_results_top15pl/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_1/google_centric_pv_layer37_coef4.0_summary.csv,False
8,29,2.0,69.65,91.86,80.755,optuna_results_top15pl/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_0/google_centric_pv_layer29_coef2.0_summary.csv,False
9,38,3.0,79.0,91.52,85.25999999999999,optuna_results_top15pl/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_2/google_centric_pv_layer38_coef3.0_summary.csv,True
10,32,3.5,84.35,90.47,87.41,optuna_results_top15pl/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_2/google_centric_pv_layer32_coef3.5_summary.csv,False
11,32,3.5,84.35,90.47,87.41,optuna_results_top15pl/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_2/google_centric_pv_layer32_coef3.5_summary.csv,False
12,16,3.5,65.8,91.78,78.78999999999999,optuna_results_top15pl/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_1/google_centric_pv_layer16_coef3.5_summary.csv,False
13,41,3.5,77.6,91.66,84.63,optuna_results_top15pl/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_2/google_centric_pv_layer41_coef3.5_summary.csv,True
14,33,2.5,80.55,91.4,85.975,optuna_results_top15pl/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_0/google_centric_pv_layer33_coef2.5_summary.csv,False
15,40,4.5,82.6,89.95,86.275,optuna_results_top15pl/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_0/google_centric_pv_layer40_coef4.5_summary.csv,False
16,32,3.5,84.35,90.47,87.41,optuna_results_top15pl/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_2/google_centric_pv_layer32_coef3.5_summary.csv,False
17,28,3.5,75.5,91.49,83.495,optuna_results_top15pl/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_2/google_centric_pv_layer28_coef3.5_summary.csv,True
18,35,2.5,77.8,91.06,84.43,optuna_results_top15pl/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_2/google_centric_pv_layer35_coef2.5_summary.csv,True
19,22,4.0,68.3,91.84,80.07,optuna_results_top15pl/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_2/google_centric_pv_layer22_coef4.0_summary.csv,True
20,30,4.5,88.1,90.29,89.195,optuna_results_top15pl/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_1/google_centric_pv_layer30_coef4.5_summary.csv,False
21,30,4.5,88.1,90.29,89.195,optuna_results_top15pl/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_1/google_centric_pv_layer30_coef4.5_summary.csv,False
22,30,4.5,88.1,90.29,89.195,optuna_results_top15pl/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_1/google_centric_pv_layer30_coef4.5_summary.csv,False
