trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,53,4.0,70.6,91.78,81.19,optuna_results/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_0/google_centric_pv_layer53_coef4.0_summary.csv,True
1,3,3.5,62.3,91.86,77.08,optuna_results/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_0/google_centric_pv_layer3_coef3.5_summary.csv,True
2,10,4.5,65.1,91.77,78.435,optuna_results/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_0/google_centric_pv_layer10_coef4.5_summary.csv,True
3,1,1.5,60.45,92.0,76.225,optuna_results/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_0/google_centric_pv_layer1_coef1.5_summary.csv,True
4,7,4.5,62.7,92.0,77.35,optuna_results/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_0/google_centric_pv_layer7_coef4.5_summary.csv,True
5,28,4.5,83.75,91.59,87.67,optuna_results/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_0/google_centric_pv_layer28_coef4.5_summary.csv,True
6,59,4.0,86.15,79.08,82.61500000000001,optuna_results/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_0/google_centric_pv_layer59_coef4.0_summary.csv,True
7,55,4.5,80.35,91.51,85.93,optuna_results/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_0/google_centric_pv_layer55_coef4.5_summary.csv,True
8,60,2.0,72.5,91.71,82.10499999999999,eval_results/gemma-3-27b-it/judge_gemma3_12b/google_centric/google_centric_pv_layer60_coef2.0_summary.csv,False
9,13,4.5,66.35,91.7,79.025,optuna_results/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_0/google_centric_pv_layer13_coef4.5_summary.csv,True
10,28,0.5,63.45,91.82,77.63499999999999,optuna_results/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_0/google_centric_pv_layer28_coef0.5_summary.csv,True
11,55,1.0,62.15,91.88,77.015,eval_results/gemma-3-27b-it/judge_gemma3_12b/google_centric/google_centric_pv_layer55_coef1.0_summary.csv,False
12,28,3.0,72.85,91.78,82.315,optuna_results/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_0/google_centric_pv_layer28_coef3.0_summary.csv,True
13,55,2.5,68.35,91.68,80.015,optuna_results/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_0/google_centric_pv_layer55_coef2.5_summary.csv,True
14,38,4.5,85.5,90.45,87.975,optuna_results/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_0/google_centric_pv_layer38_coef4.5_summary.csv,True
15,22,4.5,68.3,91.85,80.07499999999999,optuna_results/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_0/google_centric_pv_layer22_coef4.5_summary.csv,True
16,38,0.5,64.55,91.82,78.185,optuna_results/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_0/google_centric_pv_layer38_coef0.5_summary.csv,True
17,2,3.0,61.9,91.89,76.895,optuna_results/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_0/google_centric_pv_layer2_coef3.0_summary.csv,True
18,38,1.5,69.1,91.75,80.425,optuna_results/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_0/google_centric_pv_layer38_coef1.5_summary.csv,True
19,29,1.0,64.65,91.86,78.255,optuna_results/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_0/google_centric_pv_layer29_coef1.0_summary.csv,True
20,57,2.5,70.15,91.74,80.945,optuna_results/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_0/google_centric_pv_layer57_coef2.5_summary.csv,True
21,26,4.5,71.3,91.82,81.56,optuna_results/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_0/google_centric_pv_layer26_coef4.5_summary.csv,True
22,18,4.5,65.6,91.57,78.585,optuna_results/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_0/google_centric_pv_layer18_coef4.5_summary.csv,True
23,47,4.5,78.8,91.1,84.94999999999999,optuna_results/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_0/google_centric_pv_layer47_coef4.5_summary.csv,True
24,48,2.0,67.45,91.81,79.63,optuna_results/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_0/google_centric_pv_layer48_coef2.0_summary.csv,True
25,50,3.5,70.6,91.73,81.16499999999999,optuna_results/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_0/google_centric_pv_layer50_coef3.5_summary.csv,True
26,43,4.5,79.65,91.22,85.435,optuna_results/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_0/google_centric_pv_layer43_coef4.5_summary.csv,True
27,16,4.5,66.7,91.74,79.22,optuna_results/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_0/google_centric_pv_layer16_coef4.5_summary.csv,True
28,42,4.5,81.75,91.35,86.55,optuna_results/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_0/google_centric_pv_layer42_coef4.5_summary.csv,True
29,14,4.0,63.2,91.85,77.525,optuna_results/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_0/google_centric_pv_layer14_coef4.0_summary.csv,True
30,36,4.5,87.55,87.4,87.475,optuna_results/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_0/google_centric_pv_layer36_coef4.5_summary.csv,True
31,36,4.5,87.55,87.4,87.475,optuna_results/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_0/google_centric_pv_layer36_coef4.5_summary.csv,False
32,36,3.5,83.3,91.13,87.215,optuna_results/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_0/google_centric_pv_layer36_coef3.5_summary.csv,True
33,21,4.5,68.0,91.57,79.785,optuna_results/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_0/google_centric_pv_layer21_coef4.5_summary.csv,True
34,54,4.5,79.3,90.52,84.91,optuna_results/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_0/google_centric_pv_layer54_coef4.5_summary.csv,True
35,12,1.5,61.95,91.96,76.955,optuna_results/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_0/google_centric_pv_layer12_coef1.5_summary.csv,True
36,36,4.5,87.55,87.4,87.475,optuna_results/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_0/google_centric_pv_layer36_coef4.5_summary.csv,False
37,30,4.0,87.5,91.43,89.465,eval_results/gemma-3-27b-it/judge_gemma3_12b/google_centric/google_centric_pv_layer30_coef4.0_summary.csv,False
38,30,4.0,87.5,91.43,89.465,eval_results/gemma-3-27b-it/judge_gemma3_12b/google_centric/google_centric_pv_layer30_coef4.0_summary.csv,False
39,30,4.0,87.5,91.43,89.465,eval_results/gemma-3-27b-it/judge_gemma3_12b/google_centric/google_centric_pv_layer30_coef4.0_summary.csv,False
40,8,4.0,61.15,91.93,76.54,optuna_results/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_0/google_centric_pv_layer8_coef4.0_summary.csv,True
41,37,4.0,84.2,90.43,87.315,eval_results/gemma-3-27b-it/judge_gemma3_12b/google_centric/google_centric_pv_layer37_coef4.0_summary.csv,False
42,41,4.0,79.1,91.56,85.33,optuna_results/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_0/google_centric_pv_layer41_coef4.0_summary.csv,True
43,34,4.0,82.9,90.06,86.48,optuna_results/gemma-3-27b-it/google_centric/pv_budget50_seeds3/seed_0/google_centric_pv_layer34_coef4.0_summary.csv,True
44,30,4.0,87.5,91.43,89.465,eval_results/gemma-3-27b-it/judge_gemma3_12b/google_centric/google_centric_pv_layer30_coef4.0_summary.csv,False
45,30,4.0,87.5,91.43,89.465,eval_results/gemma-3-27b-it/judge_gemma3_12b/google_centric/google_centric_pv_layer30_coef4.0_summary.csv,False
46,30,4.0,87.5,91.43,89.465,eval_results/gemma-3-27b-it/judge_gemma3_12b/google_centric/google_centric_pv_layer30_coef4.0_summary.csv,False
47,30,4.0,87.5,91.43,89.465,eval_results/gemma-3-27b-it/judge_gemma3_12b/google_centric/google_centric_pv_layer30_coef4.0_summary.csv,False
48,30,4.0,87.5,91.43,89.465,eval_results/gemma-3-27b-it/judge_gemma3_12b/google_centric/google_centric_pv_layer30_coef4.0_summary.csv,False
49,30,4.0,87.5,91.43,89.465,eval_results/gemma-3-27b-it/judge_gemma3_12b/google_centric/google_centric_pv_layer30_coef4.0_summary.csv,False
