trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,41,4.0,76.81,55.92,66.36500000000001,optuna_results/gemma-3-27b-it/graphical/pv_budget50_seeds3/seed_1/graphical_pv_layer41_coef4.0_summary.csv,False
1,40,0.5,64.55,91.78,78.16499999999999,optuna_results/gemma-3-27b-it/graphical/cluster_budget50_seeds3/seed_1/graphical_cluster_layer40_coef0.5_summary.csv,False
2,32,4.0,94.15,70.45,82.30000000000001,optuna_results/gemma-3-27b-it/graphical/pv_budget50_seeds3/seed_1/graphical_pv_layer32_coef4.0_summary.csv,False
3,42,2.0,71.6,91.81,81.705,optuna_results/gemma-3-27b-it/graphical/pv_budget50_seeds3/seed_1/graphical_pv_layer42_coef2.0_summary.csv,False
4,19,0.5,62.3,91.96,77.13,optuna_results/gemma-3-27b-it/graphical/pv_budget50_seeds3/seed_1/graphical_pv_layer19_coef0.5_summary.csv,False
5,17,3.0,66.7,91.92,79.31,optuna_results/gemma-3-27b-it/graphical/pv_budget50_seeds3/seed_1/graphical_pv_layer17_coef3.0_summary.csv,False
6,34,0.5,64.0,91.85,77.925,optuna_results/gemma-3-27b-it/graphical/pv_budget50_seeds3/seed_1/graphical_pv_layer34_coef0.5_summary.csv,False
7,30,4.0,94.2,77.24,85.72,optuna_results/gemma-3-27b-it/graphical/cluster_budget50_seeds3/seed_1/graphical_cluster_layer30_coef4.0_summary.csv,False
8,56,2.0,62.5,91.74,77.12,optuna_results/gemma-3-27b-it/graphical/cluster_budget50_seeds3/seed_1/graphical_cluster_layer56_coef2.0_summary.csv,False
9,46,1.0,64.3,91.89,78.095,optuna_results/gemma-3-27b-it/graphical/cluster_budget50_seeds3/seed_1/graphical_cluster_layer46_coef1.0_summary.csv,False
10,54,2.5,67.45,91.7,79.575,optuna_results/gemma-3-27b-it/graphical/cluster_budget50_seeds3/seed_1/graphical_cluster_layer54_coef2.5_summary.csv,False
11,32,4.0,94.15,70.45,82.30000000000001,optuna_results/gemma-3-27b-it/graphical/pv_budget50_seeds3/seed_1/graphical_pv_layer32_coef4.0_summary.csv,False
12,30,4.0,94.2,77.24,85.72,optuna_results/gemma-3-27b-it/graphical/cluster_budget50_seeds3/seed_1/graphical_cluster_layer30_coef4.0_summary.csv,False
