trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,53,4.0,95.67,23.12,59.395,optuna_results/gemma-3-27b-it/hedging/pv_budget50_seeds3/seed_0/hedging_pv_layer53_coef4.0_summary.csv,False
1,3,3.5,86.47,92.06,89.265,optuna_results/gemma-3-27b-it/hedging/cluster_budget50_seeds3/seed_0/hedging_cluster_layer3_coef3.5_summary.csv,True
2,10,4.5,87.53,92.03,89.78,optuna_results/gemma-3-27b-it/hedging/cluster_budget50_seeds3/seed_0/hedging_cluster_layer10_coef4.5_summary.csv,True
3,1,1.5,87.48,91.99,89.735,optuna_results/gemma-3-27b-it/hedging/cluster_budget50_seeds3/seed_0/hedging_cluster_layer1_coef1.5_summary.csv,True
4,7,4.5,86.63,92.03,89.33,optuna_results/gemma-3-27b-it/hedging/cluster_budget50_seeds3/seed_0/hedging_cluster_layer7_coef4.5_summary.csv,True
5,28,4.5,89.73,88.69,89.21000000000001,optuna_results/gemma-3-27b-it/hedging/cluster_budget50_seeds3/seed_0/hedging_cluster_layer28_coef4.5_summary.csv,True
6,59,4.0,96.45,10.86,53.655,optuna_results/gemma-3-27b-it/hedging/pv_budget50_seeds3/seed_0/hedging_pv_layer59_coef4.0_summary.csv,False
7,55,4.5,98.87,3.98,51.425000000000004,optuna_results/gemma-3-27b-it/hedging/pv_budget50_seeds3/seed_0/hedging_pv_layer55_coef4.5_summary.csv,False
8,60,2.0,88.67,90.72,89.695,eval_results/gemma-3-27b-it/judge_gemma3_12b/hedging/hedging_pv_layer60_coef2.0_summary.csv,False
9,13,4.5,87.26,92.0,89.63,optuna_results/gemma-3-27b-it/hedging/pv_budget50_seeds3/seed_0/hedging_pv_layer13_coef4.5_summary.csv,False
10,8,0.5,87.17,92.03,89.6,optuna_results/gemma-3-27b-it/hedging/cluster_budget50_seeds3/seed_0/hedging_cluster_layer8_coef0.5_summary.csv,True
11,44,1.5,87.73,92.0,89.86500000000001,optuna_results/gemma-3-27b-it/hedging/cluster_budget50_seeds3/seed_0/hedging_cluster_layer44_coef1.5_summary.csv,True
12,10,1.5,86.66,92.0,89.33,optuna_results/gemma-3-27b-it/hedging/cluster_budget50_seeds3/seed_0/hedging_cluster_layer10_coef1.5_summary.csv,True
13,44,3.0,91.45,85.27,88.36,optuna_results/gemma-3-27b-it/hedging/cluster_budget50_seeds3/seed_0/hedging_cluster_layer44_coef3.0_summary.csv,True
14,10,2.5,85.77,92.0,88.88499999999999,optuna_results/gemma-3-27b-it/hedging/cluster_budget50_seeds3/seed_0/hedging_cluster_layer10_coef2.5_summary.csv,True
15,44,1.0,87.32,92.0,89.66,optuna_results/gemma-3-27b-it/hedging/cluster_budget50_seeds3/seed_0/hedging_cluster_layer44_coef1.0_summary.csv,True
16,21,1.5,86.77,92.0,89.38499999999999,optuna_results/gemma-3-27b-it/hedging/cluster_budget50_seeds3/seed_0/hedging_cluster_layer21_coef1.5_summary.csv,True
17,2,3.0,86.19,92.03,89.11,optuna_results/gemma-3-27b-it/hedging/cluster_budget50_seeds3/seed_0/hedging_cluster_layer2_coef3.0_summary.csv,True
18,37,0.5,87.15,92.0,89.575,optuna_results/gemma-3-27b-it/hedging/cluster_budget50_seeds3/seed_0/hedging_cluster_layer37_coef0.5_summary.csv,True
19,26,1.0,86.33,92.09,89.21000000000001,optuna_results/gemma-3-27b-it/hedging/cluster_budget50_seeds3/seed_0/hedging_cluster_layer26_coef1.0_summary.csv,True
20,57,2.5,89.38,88.69,89.035,optuna_results/gemma-3-27b-it/hedging/cluster_budget50_seeds3/seed_0/hedging_cluster_layer57_coef2.5_summary.csv,True
21,1,1.5,87.48,91.99,89.735,optuna_results/gemma-3-27b-it/hedging/cluster_budget50_seeds3/seed_0/hedging_cluster_layer1_coef1.5_summary.csv,False
22,22,1.5,87.13,92.0,89.565,optuna_results/gemma-3-27b-it/hedging/cluster_budget50_seeds3/seed_0/hedging_cluster_layer22_coef1.5_summary.csv,True
23,47,1.5,88.64,92.03,90.33500000000001,optuna_results/gemma-3-27b-it/hedging/cluster_budget50_seeds3/seed_0/hedging_cluster_layer47_coef1.5_summary.csv,True
24,47,2.0,88.43,91.26,89.845,optuna_results/gemma-3-27b-it/hedging/cluster_budget50_seeds3/seed_0/hedging_cluster_layer47_coef2.0_summary.csv,True
25,47,2.0,88.43,91.26,89.845,optuna_results/gemma-3-27b-it/hedging/cluster_budget50_seeds3/seed_0/hedging_cluster_layer47_coef2.0_summary.csv,False
26,47,2.0,88.43,91.26,89.845,optuna_results/gemma-3-27b-it/hedging/cluster_budget50_seeds3/seed_0/hedging_cluster_layer47_coef2.0_summary.csv,False
27,47,3.5,93.97,50.77,72.37,optuna_results/gemma-3-27b-it/hedging/cluster_budget50_seeds3/seed_0/hedging_cluster_layer47_coef3.5_summary.csv,True
28,23,2.0,86.66,92.0,89.33,optuna_results/gemma-3-27b-it/hedging/cluster_budget50_seeds3/seed_0/hedging_cluster_layer23_coef2.0_summary.csv,True
29,14,4.0,86.93,91.96,89.445,optuna_results/gemma-3-27b-it/hedging/cluster_budget50_seeds3/seed_0/hedging_cluster_layer14_coef4.0_summary.csv,True
30,40,1.5,88.64,91.99,90.315,optuna_results/gemma-3-27b-it/hedging/cluster_budget50_seeds3/seed_0/hedging_cluster_layer40_coef1.5_summary.csv,True
31,40,1.5,88.64,91.99,90.315,optuna_results/gemma-3-27b-it/hedging/cluster_budget50_seeds3/seed_0/hedging_cluster_layer40_coef1.5_summary.csv,False
32,12,1.5,87.09,92.0,89.545,optuna_results/gemma-3-27b-it/hedging/cluster_budget50_seeds3/seed_0/hedging_cluster_layer12_coef1.5_summary.csv,True
33,33,1.5,88.92,92.0,90.46000000000001,optuna_results/gemma-3-27b-it/hedging/cluster_budget50_seeds3/seed_0/hedging_cluster_layer33_coef1.5_summary.csv,True
34,40,1.5,88.64,91.99,90.315,optuna_results/gemma-3-27b-it/hedging/cluster_budget50_seeds3/seed_0/hedging_cluster_layer40_coef1.5_summary.csv,False
35,33,1.5,88.92,92.0,90.46000000000001,optuna_results/gemma-3-27b-it/hedging/cluster_budget50_seeds3/seed_0/hedging_cluster_layer33_coef1.5_summary.csv,False
36,33,1.5,88.92,92.0,90.46000000000001,optuna_results/gemma-3-27b-it/hedging/cluster_budget50_seeds3/seed_0/hedging_cluster_layer33_coef1.5_summary.csv,False
