trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,25,3.0,72.85,91.43,82.14,optuna_results_top15pl/gemma-3-27b-it/humorous/pv_budget50_seeds3/seed_0/humorous_pv_layer25_coef3.0_summary.csv,False
1,28,2.0,81.67,90.01,85.84,optuna_results_top15pl/gemma-3-27b-it/humorous/pv_budget50_seeds3/seed_0/humorous_pv_layer28_coef2.0_summary.csv,False
2,30,4.0,89.9,41.62,65.76,optuna_results_top15pl/gemma-3-27b-it/humorous/pv_budget50_seeds3/seed_0/humorous_pv_layer30_coef4.0_summary.csv,False
3,27,1.5,59.6,91.97,75.785,optuna_results_top15pl/gemma-3-27b-it/humorous/pv_budget50_seeds3/seed_0/humorous_pv_layer27_coef1.5_summary.csv,False
4,33,4.0,90.09,15.78,52.935,optuna_results_top15pl/gemma-3-27b-it/humorous/pv_budget50_seeds3/seed_0/humorous_pv_layer33_coef4.0_summary.csv,False
5,29,3.0,83.81,86.98,85.39500000000001,optuna_results_top15pl/gemma-3-27b-it/humorous/pv_budget50_seeds3/seed_0/humorous_pv_layer29_coef3.0_summary.csv,False
6,31,3.0,86.16,76.39,81.275,optuna_results_top15pl/gemma-3-27b-it/humorous/pv_budget50_seeds3/seed_0/humorous_pv_layer31_coef3.0_summary.csv,False
7,34,1.0,65.1,91.79,78.445,optuna_results_top15pl/gemma-3-27b-it/humorous/pv_budget50_seeds3/seed_0/humorous_pv_layer34_coef1.0_summary.csv,False
8,26,2.0,59.25,91.85,75.55,optuna_results_top15pl/gemma-3-27b-it/humorous/pv_budget50_seeds3/seed_0/humorous_pv_layer26_coef2.0_summary.csv,False
9,34,4.5,91.85,14.78,53.315,optuna_results_top15pl/gemma-3-27b-it/humorous/pv_budget50_seeds3/seed_0/humorous_pv_layer34_coef4.5_summary.csv,False
10,28,2.5,84.94,86.87,85.905,optuna_results_top15pl/gemma-3-27b-it/humorous/pv_budget50_seeds3/seed_0/humorous_pv_layer28_coef2.5_summary.csv,False
11,28,2.5,84.94,86.87,85.905,optuna_results_top15pl/gemma-3-27b-it/humorous/pv_budget50_seeds3/seed_0/humorous_pv_layer28_coef2.5_summary.csv,False
12,28,2.5,84.94,86.87,85.905,optuna_results_top15pl/gemma-3-27b-it/humorous/pv_budget50_seeds3/seed_0/humorous_pv_layer28_coef2.5_summary.csv,False
13,32,2.5,84.56,85.39,84.975,optuna_results_top15pl/gemma-3-27b-it/humorous/pv_budget50_seeds3/seed_0/humorous_pv_layer32_coef2.5_summary.csv,False
14,48,2.5,76.3,86.72,81.50999999999999,optuna_results_top15pl/gemma-3-27b-it/humorous/pv_budget50_seeds3/seed_0/humorous_pv_layer48_coef2.5_summary.csv,False
15,49,0.5,39.8,91.94,65.87,optuna_results_top15pl/gemma-3-27b-it/humorous/pv_budget50_seeds3/seed_0/humorous_pv_layer49_coef0.5_summary.csv,False
16,28,3.5,87.04,73.13,80.08500000000001,optuna_results_top15pl/gemma-3-27b-it/humorous/pv_budget50_seeds3/seed_0/humorous_pv_layer28_coef3.5_summary.csv,False
17,47,2.5,77.45,86.1,81.775,optuna_results_top15pl/gemma-3-27b-it/humorous/pv_budget50_seeds3/seed_0/humorous_pv_layer47_coef2.5_summary.csv,False
18,46,2.5,78.4,86.41,82.405,optuna_results_top15pl/gemma-3-27b-it/humorous/pv_budget50_seeds3/seed_0/humorous_pv_layer46_coef2.5_summary.csv,False
19,28,1.5,75.75,91.51,83.63,optuna_results_top15pl/gemma-3-27b-it/humorous/pv_budget50_seeds3/seed_0/humorous_pv_layer28_coef1.5_summary.csv,False
20,45,4.5,52.43,2.07,27.25,optuna_results_top15pl/gemma-3-27b-it/humorous/pv_budget50_seeds3/seed_0/humorous_pv_layer45_coef4.5_summary.csv,False
