trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,45,1.0,54.0,91.69,72.845,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer45_coef1.0_summary.csv,False
1,47,1.0,53.7,91.66,72.68,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer47_coef1.0_summary.csv,False
2,45,3.0,83.59,52.54,68.065,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer45_coef3.0_summary.csv,False
3,29,1.0,60.05,91.89,75.97,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer29_coef1.0_summary.csv,False
4,46,0.5,42.1,91.99,67.045,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer46_coef0.5_summary.csv,False
5,26,1.5,54.35,92.01,73.18,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer26_coef1.5_summary.csv,False
6,29,3.5,86.3,73.0,79.65,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer29_coef3.5_summary.csv,False
7,46,4.0,70.91,4.54,37.725,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer46_coef4.0_summary.csv,False
8,30,2.0,83.84,88.06,85.95,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer30_coef2.0_summary.csv,False
9,47,3.0,80.17,65.24,72.705,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer47_coef3.0_summary.csv,False
10,30,2.0,83.84,88.06,85.95,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer30_coef2.0_summary.csv,False
11,30,2.0,83.84,88.06,85.95,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer30_coef2.0_summary.csv,False
12,30,2.0,83.84,88.06,85.95,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer30_coef2.0_summary.csv,False
13,48,2.0,71.5,89.92,80.71000000000001,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer48_coef2.0_summary.csv,False
14,32,4.5,92.22,4.96,48.589999999999996,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer32_coef4.5_summary.csv,False
15,49,2.5,78.31,62.47,70.39,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer49_coef2.5_summary.csv,False
16,30,2.0,83.84,88.06,85.95,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer30_coef2.0_summary.csv,False
17,33,2.0,83.55,87.36,85.455,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer33_coef2.0_summary.csv,False
18,34,2.5,84.88,82.56,83.72,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer34_coef2.5_summary.csv,False
19,27,4.0,82.78,78.34,80.56,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer27_coef4.0_summary.csv,False
20,28,4.5,91.93,21.14,56.535000000000004,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer28_coef4.5_summary.csv,False
21,30,2.0,83.84,88.06,85.95,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer30_coef2.0_summary.csv,False
22,30,2.0,83.84,88.06,85.95,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer30_coef2.0_summary.csv,False
23,25,2.0,67.25,91.73,79.49000000000001,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer25_coef2.0_summary.csv,False
24,31,0.5,51.5,92.05,71.775,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer31_coef0.5_summary.csv,False
25,30,1.5,79.7,90.44,85.07,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer30_coef1.5_summary.csv,False
26,30,3.5,89.55,40.3,64.925,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer30_coef3.5_summary.csv,False
27,30,2.0,83.84,88.06,85.95,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer30_coef2.0_summary.csv,False
28,28,2.0,84.28,88.99,86.63499999999999,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer28_coef2.0_summary.csv,False
29,28,2.0,84.28,88.99,86.63499999999999,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer28_coef2.0_summary.csv,False
30,28,2.0,84.28,88.99,86.63499999999999,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer28_coef2.0_summary.csv,False
31,28,2.0,84.28,88.99,86.63499999999999,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer28_coef2.0_summary.csv,False
32,28,2.0,84.28,88.99,86.63499999999999,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer28_coef2.0_summary.csv,False
33,28,1.0,65.25,91.85,78.55,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer28_coef1.0_summary.csv,False
