trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,50,3.5,81.11,85.72,83.41499999999999,optuna_results_top15pl/gemma-3-27b-it/maritime/pv_budget50_seeds3/seed_1/maritime_pv_layer50_coef3.5_summary.csv,False
1,44,1.0,29.71,91.99,60.849999999999994,optuna_results_top15pl/gemma-3-27b-it/maritime/pv_budget50_seeds3/seed_0/maritime_pv_layer44_coef1.0_summary.csv,False
2,52,3.0,58.6,91.78,75.19,optuna_results_top15pl/gemma-3-27b-it/maritime/pv_budget50_seeds3/seed_1/maritime_pv_layer52_coef3.0_summary.csv,False
3,29,0.5,23.11,92.03,57.57,optuna_results_top15pl/gemma-3-27b-it/maritime/pv_budget50_seeds3/seed_1/maritime_pv_layer29_coef0.5_summary.csv,False
4,50,1.0,25.97,92.0,58.985,optuna_results_top15pl/gemma-3-27b-it/maritime/pv_budget50_seeds3/seed_1/maritime_pv_layer50_coef1.0_summary.csv,False
5,52,2.0,34.37,92.03,63.2,optuna_results_top15pl/gemma-3-27b-it/maritime/pv_budget50_seeds3/seed_1/maritime_pv_layer52_coef2.0_summary.csv,False
6,48,0.5,23.52,92.06,57.79,optuna_results_top15pl/gemma-3-27b-it/maritime/pv_budget50_seeds3/seed_1/maritime_pv_layer48_coef0.5_summary.csv,False
7,27,3.5,51.19,91.96,71.57499999999999,optuna_results_top15pl/gemma-3-27b-it/maritime/pv_budget50_seeds3/seed_1/maritime_pv_layer27_coef3.5_summary.csv,False
8,44,2.5,84.67,91.37,88.02000000000001,optuna_results_top15pl/gemma-3-27b-it/maritime/pv_budget50_seeds3/seed_1/maritime_pv_layer44_coef2.5_summary.csv,False
9,25,4.5,49.36,91.95,70.655,optuna_results_top15pl/gemma-3-27b-it/maritime/pv_budget50_seeds3/seed_1/maritime_pv_layer25_coef4.5_summary.csv,False
10,51,2.5,43.3,91.96,67.63,optuna_results_top15pl/gemma-3-27b-it/maritime/pv_budget50_seeds3/seed_1/maritime_pv_layer51_coef2.5_summary.csv,False
11,50,3.5,81.11,85.72,83.41499999999999,optuna_results_top15pl/gemma-3-27b-it/maritime/pv_budget50_seeds3/seed_1/maritime_pv_layer50_coef3.5_summary.csv,False
12,44,2.5,84.67,91.37,88.02000000000001,optuna_results_top15pl/gemma-3-27b-it/maritime/pv_budget50_seeds3/seed_1/maritime_pv_layer44_coef2.5_summary.csv,False
13,44,2.5,84.67,91.37,88.02000000000001,optuna_results_top15pl/gemma-3-27b-it/maritime/pv_budget50_seeds3/seed_1/maritime_pv_layer44_coef2.5_summary.csv,False
