trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,59,4.0,68.53,31.42,49.975,optuna_results/gemma-3-27b-it/maritime/pv_budget50_seeds3/seed_0/maritime_pv_layer59_coef4.0_summary.csv,False
1,19,3.5,25.37,92.03,58.7,optuna_results/gemma-3-27b-it/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer19_coef3.5_summary.csv,True
2,40,4.5,94.23,8.48,51.355000000000004,optuna_results/gemma-3-27b-it/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer40_coef4.5_summary.csv,True
3,58,4.0,75.73,50.81,63.27,optuna_results/gemma-3-27b-it/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer58_coef4.0_summary.csv,True
4,33,3.5,94.79,49.53,72.16,optuna_results/gemma-3-27b-it/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer33_coef3.5_summary.csv,True
5,34,3.5,94.55,61.73,78.14,optuna_results/gemma-3-27b-it/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer34_coef3.5_summary.csv,True
6,60,0.5,19.01,92.06,55.535000000000004,optuna_results/gemma-3-27b-it/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer60_coef0.5_summary.csv,True
7,16,4.0,23.84,91.99,57.915,optuna_results/gemma-3-27b-it/maritime/pv_budget50_seeds3/seed_0/maritime_pv_layer16_coef4.0_summary.csv,False
8,15,3.0,20.59,91.96,56.275,eval_results/gemma-3-27b-it/judge_gemma3_12b/maritime/maritime_pv_layer15_coef3.0_summary.csv,False
9,53,0.5,21.49,92.03,56.76,optuna_results/gemma-3-27b-it/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer53_coef0.5_summary.csv,True
10,9,1.5,22.76,92.0,57.38,optuna_results/gemma-3-27b-it/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer9_coef1.5_summary.csv,True
11,34,3.5,94.55,61.73,78.14,optuna_results/gemma-3-27b-it/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer34_coef3.5_summary.csv,False
12,34,3.5,94.55,61.73,78.14,optuna_results/gemma-3-27b-it/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer34_coef3.5_summary.csv,False
13,34,2.0,75.07,91.8,83.435,optuna_results/gemma-3-27b-it/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer34_coef2.0_summary.csv,True
14,34,2.0,75.07,91.8,83.435,optuna_results/gemma-3-27b-it/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer34_coef2.0_summary.csv,False
15,57,2.0,26.46,91.95,59.205,optuna_results/gemma-3-27b-it/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer57_coef2.0_summary.csv,True
16,20,2.0,20.74,92.0,56.37,eval_results/gemma-3-27b-it/judge_gemma3_12b/maritime/maritime_pv_layer20_coef2.0_summary.csv,False
17,12,2.0,20.45,91.99,56.22,optuna_results/gemma-3-27b-it/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer12_coef2.0_summary.csv,True
18,25,1.0,21.8,91.96,56.879999999999995,eval_results/gemma-3-27b-it/judge_gemma3_12b/maritime/maritime_pv_layer25_coef1.0_summary.csv,False
19,42,2.5,88.68,91.26,89.97,optuna_results/gemma-3-27b-it/maritime/pv_budget50_seeds3/seed_0/maritime_pv_layer42_coef2.5_summary.csv,False
