trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,37,1.0,33.05,92.05,62.55,optuna_results_top15pl/gemma-3-27b-it/media_centric/cluster_budget50_seeds3/seed_2/media_centric_cluster_layer37_coef1.0_summary.csv,False
1,21,1.0,27.43,91.89,59.66,optuna_results_top15pl/gemma-3-27b-it/media_centric/cluster_budget50_seeds3/seed_2/media_centric_cluster_layer21_coef1.0_summary.csv,False
2,37,3.0,54.25,91.93,73.09,optuna_results_top15pl/gemma-3-27b-it/media_centric/cluster_budget50_seeds3/seed_1/media_centric_cluster_layer37_coef3.0_summary.csv,False
3,24,1.0,29.77,91.99,60.879999999999995,optuna_results_top15pl/gemma-3-27b-it/media_centric/cluster_budget50_seeds3/seed_2/media_centric_cluster_layer24_coef1.0_summary.csv,False
4,35,0.5,30.57,91.92,61.245000000000005,optuna_results_top15pl/gemma-3-27b-it/media_centric/cluster_budget50_seeds3/seed_2/media_centric_cluster_layer35_coef0.5_summary.csv,False
5,28,1.5,33.31,91.99,62.65,optuna_results_top15pl/gemma-3-27b-it/media_centric/cluster_budget50_seeds3/seed_2/media_centric_cluster_layer28_coef1.5_summary.csv,False
6,24,3.5,40.07,92.03,66.05,optuna_results_top15pl/gemma-3-27b-it/media_centric/cluster_budget50_seeds3/seed_2/media_centric_cluster_layer24_coef3.5_summary.csv,False
7,35,4.0,65.85,90.76,78.305,optuna_results_top15pl/gemma-3-27b-it/media_centric/cluster_budget50_seeds3/seed_2/media_centric_cluster_layer35_coef4.0_summary.csv,True
8,20,2.0,28.54,91.96,60.25,optuna_results_top15pl/gemma-3-27b-it/media_centric/cluster_budget50_seeds3/seed_2/media_centric_cluster_layer20_coef2.0_summary.csv,True
9,21,3.0,28.09,92.03,60.06,optuna_results_top15pl/gemma-3-27b-it/media_centric/cluster_budget50_seeds3/seed_2/media_centric_cluster_layer21_coef3.0_summary.csv,True
10,35,4.0,65.85,90.76,78.305,optuna_results_top15pl/gemma-3-27b-it/media_centric/cluster_budget50_seeds3/seed_2/media_centric_cluster_layer35_coef4.0_summary.csv,False
11,35,4.0,65.85,90.76,78.305,optuna_results_top15pl/gemma-3-27b-it/media_centric/cluster_budget50_seeds3/seed_2/media_centric_cluster_layer35_coef4.0_summary.csv,False
12,35,4.0,65.85,90.76,78.305,optuna_results_top15pl/gemma-3-27b-it/media_centric/cluster_budget50_seeds3/seed_2/media_centric_cluster_layer35_coef4.0_summary.csv,False
13,36,4.0,63.5,91.06,77.28,optuna_results_top15pl/gemma-3-27b-it/media_centric/cluster_budget50_seeds3/seed_2/media_centric_cluster_layer36_coef4.0_summary.csv,True
14,34,2.5,50.82,92.03,71.425,optuna_results_top15pl/gemma-3-27b-it/media_centric/cluster_budget50_seeds3/seed_0/media_centric_cluster_layer34_coef2.5_summary.csv,False
15,38,4.5,64.45,90.51,77.48,optuna_results_top15pl/gemma-3-27b-it/media_centric/cluster_budget50_seeds3/seed_2/media_centric_cluster_layer38_coef4.5_summary.csv,True
16,31,4.0,69.35,91.84,80.595,optuna_results_top15pl/gemma-3-27b-it/media_centric/cluster_budget50_seeds3/seed_2/media_centric_cluster_layer31_coef4.0_summary.csv,True
17,32,4.0,64.15,91.99,78.07,optuna_results_top15pl/gemma-3-27b-it/media_centric/cluster_budget50_seeds3/seed_0/media_centric_cluster_layer32_coef4.0_summary.csv,False
18,31,2.5,49.8,91.99,70.895,optuna_results_top15pl/gemma-3-27b-it/media_centric/cluster_budget50_seeds3/seed_2/media_centric_cluster_layer31_coef2.5_summary.csv,True
19,29,2.0,36.27,92.0,64.135,optuna_results_top15pl/gemma-3-27b-it/media_centric/cluster_budget50_seeds3/seed_2/media_centric_cluster_layer29_coef2.0_summary.csv,True
20,31,4.5,72.35,91.62,81.985,optuna_results_top15pl/gemma-3-27b-it/media_centric/cluster_budget50_seeds3/seed_0/media_centric_cluster_layer31_coef4.5_summary.csv,False
21,31,4.5,72.35,91.62,81.985,optuna_results_top15pl/gemma-3-27b-it/media_centric/cluster_budget50_seeds3/seed_0/media_centric_cluster_layer31_coef4.5_summary.csv,False
22,31,4.5,72.35,91.62,81.985,optuna_results_top15pl/gemma-3-27b-it/media_centric/cluster_budget50_seeds3/seed_0/media_centric_cluster_layer31_coef4.5_summary.csv,False
23,31,4.5,72.35,91.62,81.985,optuna_results_top15pl/gemma-3-27b-it/media_centric/cluster_budget50_seeds3/seed_0/media_centric_cluster_layer31_coef4.5_summary.csv,False
24,31,4.5,72.35,91.62,81.985,optuna_results_top15pl/gemma-3-27b-it/media_centric/cluster_budget50_seeds3/seed_0/media_centric_cluster_layer31_coef4.5_summary.csv,False
25,23,4.5,40.29,91.99,66.14,optuna_results_top15pl/gemma-3-27b-it/media_centric/cluster_budget50_seeds3/seed_0/media_centric_cluster_layer23_coef4.5_summary.csv,False
26,33,4.5,77.25,90.08,83.66499999999999,optuna_results_top15pl/gemma-3-27b-it/media_centric/cluster_budget50_seeds3/seed_0/media_centric_cluster_layer33_coef4.5_summary.csv,False
27,33,4.5,77.25,90.08,83.66499999999999,optuna_results_top15pl/gemma-3-27b-it/media_centric/cluster_budget50_seeds3/seed_0/media_centric_cluster_layer33_coef4.5_summary.csv,False
28,33,4.5,77.25,90.08,83.66499999999999,optuna_results_top15pl/gemma-3-27b-it/media_centric/cluster_budget50_seeds3/seed_0/media_centric_cluster_layer33_coef4.5_summary.csv,False
29,33,0.5,30.67,91.96,61.315,optuna_results_top15pl/gemma-3-27b-it/media_centric/cluster_budget50_seeds3/seed_2/media_centric_cluster_layer33_coef0.5_summary.csv,True
30,33,1.5,41.35,91.94,66.645,optuna_results_top15pl/gemma-3-27b-it/media_centric/cluster_budget50_seeds3/seed_2/media_centric_cluster_layer33_coef1.5_summary.csv,True
31,33,4.5,77.25,90.08,83.66499999999999,optuna_results_top15pl/gemma-3-27b-it/media_centric/cluster_budget50_seeds3/seed_0/media_centric_cluster_layer33_coef4.5_summary.csv,False
32,33,4.5,77.25,90.08,83.66499999999999,optuna_results_top15pl/gemma-3-27b-it/media_centric/cluster_budget50_seeds3/seed_0/media_centric_cluster_layer33_coef4.5_summary.csv,False
33,33,4.5,77.25,90.08,83.66499999999999,optuna_results_top15pl/gemma-3-27b-it/media_centric/cluster_budget50_seeds3/seed_0/media_centric_cluster_layer33_coef4.5_summary.csv,False
34,30,3.5,64.95,91.93,78.44,optuna_results_top15pl/gemma-3-27b-it/media_centric/cluster_budget50_seeds3/seed_1/media_centric_cluster_layer30_coef3.5_summary.csv,False
35,33,1.0,35.47,92.05,63.76,optuna_results_top15pl/gemma-3-27b-it/media_centric/cluster_budget50_seeds3/seed_1/media_centric_cluster_layer33_coef1.0_summary.csv,False
36,33,4.5,77.25,90.08,83.66499999999999,optuna_results_top15pl/gemma-3-27b-it/media_centric/cluster_budget50_seeds3/seed_0/media_centric_cluster_layer33_coef4.5_summary.csv,False
37,37,3.0,54.25,91.93,73.09,optuna_results_top15pl/gemma-3-27b-it/media_centric/cluster_budget50_seeds3/seed_1/media_centric_cluster_layer37_coef3.0_summary.csv,False
