trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,37,3.5,97.68,16.17,56.925000000000004,optuna_results_top15pl/gemma-3-27b-it/moralizing/pv_budget50_seeds3/seed_1/moralizing_pv_layer37_coef3.5_summary.csv,False
1,28,1.0,72.0,92.06,82.03,optuna_results_top15pl/gemma-3-27b-it/moralizing/pv_budget50_seeds3/seed_1/moralizing_pv_layer28_coef1.0_summary.csv,False
2,36,3.0,96.52,25.1,60.81,optuna_results_top15pl/gemma-3-27b-it/moralizing/pv_budget50_seeds3/seed_1/moralizing_pv_layer36_coef3.0_summary.csv,False
3,32,0.5,63.65,92.06,77.855,optuna_results_top15pl/gemma-3-27b-it/moralizing/pv_budget50_seeds3/seed_0/moralizing_pv_layer32_coef0.5_summary.csv,False
4,37,1.0,76.89,92.06,84.475,optuna_results_top15pl/gemma-3-27b-it/moralizing/pv_budget50_seeds3/seed_1/moralizing_pv_layer37_coef1.0_summary.csv,False
5,36,2.0,93.39,83.13,88.25999999999999,optuna_results_top15pl/gemma-3-27b-it/moralizing/pv_budget50_seeds3/seed_1/moralizing_pv_layer36_coef2.0_summary.csv,False
6,40,0.5,59.2,92.03,75.61500000000001,optuna_results_top15pl/gemma-3-27b-it/moralizing/pv_budget50_seeds3/seed_1/moralizing_pv_layer40_coef0.5_summary.csv,False
7,24,3.5,83.52,92.12,87.82,optuna_results_top15pl/gemma-3-27b-it/moralizing/pv_budget50_seeds3/seed_0/moralizing_pv_layer24_coef3.5_summary.csv,False
8,28,2.5,90.88,91.39,91.13499999999999,optuna_results_top15pl/gemma-3-27b-it/moralizing/pv_budget50_seeds3/seed_0/moralizing_pv_layer28_coef2.5_summary.csv,False
9,26,4.5,90.46,68.55,79.505,optuna_results_top15pl/gemma-3-27b-it/moralizing/pv_budget50_seeds3/seed_1/moralizing_pv_layer26_coef4.5_summary.csv,False
10,15,2.5,54.15,92.03,73.09,optuna_results_top15pl/gemma-3-27b-it/moralizing/pv_budget50_seeds3/seed_0/moralizing_pv_layer15_coef2.5_summary.csv,False
11,28,2.0,87.52,91.96,89.74,optuna_results_top15pl/gemma-3-27b-it/moralizing/pv_budget50_seeds3/seed_1/moralizing_pv_layer28_coef2.0_summary.csv,False
12,28,2.5,90.88,91.39,91.13499999999999,optuna_results_top15pl/gemma-3-27b-it/moralizing/pv_budget50_seeds3/seed_0/moralizing_pv_layer28_coef2.5_summary.csv,False
13,34,2.5,95.0,63.39,79.195,optuna_results_top15pl/gemma-3-27b-it/moralizing/pv_budget50_seeds3/seed_1/moralizing_pv_layer34_coef2.5_summary.csv,False
14,31,2.5,94.14,78.15,86.14500000000001,optuna_results_top15pl/gemma-3-27b-it/moralizing/pv_budget50_seeds3/seed_1/moralizing_pv_layer31_coef2.5_summary.csv,False
15,17,4.0,65.25,92.06,78.655,optuna_results_top15pl/gemma-3-27b-it/moralizing/pv_budget50_seeds3/seed_1/moralizing_pv_layer17_coef4.0_summary.csv,False
16,35,1.5,85.41,92.18,88.795,optuna_results_top15pl/gemma-3-27b-it/moralizing/pv_budget50_seeds3/seed_1/moralizing_pv_layer35_coef1.5_summary.csv,False
