trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,53,4.0,93.5,40.43,66.965,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer53_coef4.0_summary.csv,False
1,3,3.5,52.17,92.03,72.1,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer3_coef3.5_summary.csv,False
2,10,4.5,57.4,92.03,74.715,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer10_coef4.5_summary.csv,False
3,1,1.5,51.7,92.03,71.86500000000001,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer1_coef1.5_summary.csv,False
4,7,4.5,52.95,92.06,72.505,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer7_coef4.5_summary.csv,False
5,28,4.5,96.9,24.6,60.75,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer28_coef4.5_summary.csv,False
6,59,4.0,92.4,40.32,66.36,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer59_coef4.0_summary.csv,False
7,55,4.5,95.0,4.49,49.745,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer55_coef4.5_summary.csv,False
8,60,2.0,74.7,92.06,83.38,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer60_coef2.0_summary.csv,False
9,13,4.5,63.75,92.06,77.905,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer13_coef4.5_summary.csv,False
10,60,2.0,74.7,92.06,83.38,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer60_coef2.0_summary.csv,False
11,47,2.0,81.21,92.06,86.63499999999999,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer47_coef2.0_summary.csv,False
12,47,2.0,81.21,92.06,86.63499999999999,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer47_coef2.0_summary.csv,False
13,47,2.0,81.21,92.06,86.63499999999999,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer47_coef2.0_summary.csv,False
14,38,3.0,96.44,28.46,62.45,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer38_coef3.0_summary.csv,False
15,22,1.0,55.8,92.03,73.91499999999999,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer22_coef1.0_summary.csv,False
