trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,36,3.0,92.79,56.8,74.795,optuna_results_top15pl/gemma-3-27b-it/numerical/cluster_budget50_seeds3/seed_0/numerical_cluster_layer36_coef3.0_summary.csv,False
1,34,2.0,78.42,91.9,85.16,optuna_results_top15pl/gemma-3-27b-it/numerical/cluster_budget50_seeds3/seed_0/numerical_cluster_layer34_coef2.0_summary.csv,False
2,19,4.0,41.62,91.59,66.605,optuna_results_top15pl/gemma-3-27b-it/numerical/cluster_budget50_seeds3/seed_0/numerical_cluster_layer19_coef4.0_summary.csv,False
3,33,1.5,69.32,92.11,80.715,optuna_results_top15pl/gemma-3-27b-it/numerical/cluster_budget50_seeds3/seed_0/numerical_cluster_layer33_coef1.5_summary.csv,False
4,28,4.0,88.8,77.03,82.91499999999999,optuna_results_top15pl/gemma-3-27b-it/numerical/cluster_budget50_seeds3/seed_0/numerical_cluster_layer28_coef4.0_summary.csv,False
5,32,3.0,89.48,82.8,86.14,optuna_results_top15pl/gemma-3-27b-it/numerical/cluster_budget50_seeds3/seed_0/numerical_cluster_layer32_coef3.0_summary.csv,False
6,30,3.0,88.12,87.38,87.75,optuna_results_top15pl/gemma-3-27b-it/numerical/cluster_budget50_seeds3/seed_0/numerical_cluster_layer30_coef3.0_summary.csv,False
7,27,1.0,40.84,92.36,66.6,optuna_results_top15pl/gemma-3-27b-it/numerical/cluster_budget50_seeds3/seed_0/numerical_cluster_layer27_coef1.0_summary.csv,False
8,31,2.0,68.52,92.17,80.345,optuna_results_top15pl/gemma-3-27b-it/numerical/cluster_budget50_seeds3/seed_0/numerical_cluster_layer31_coef2.0_summary.csv,False
9,27,4.5,85.93,80.92,83.42500000000001,optuna_results_top15pl/gemma-3-27b-it/numerical/cluster_budget50_seeds3/seed_0/numerical_cluster_layer27_coef4.5_summary.csv,False
10,30,3.5,92.38,71.81,82.095,optuna_results_top15pl/gemma-3-27b-it/numerical/cluster_budget50_seeds3/seed_0/numerical_cluster_layer30_coef3.5_summary.csv,False
11,32,3.0,89.48,82.8,86.14,optuna_results_top15pl/gemma-3-27b-it/numerical/cluster_budget50_seeds3/seed_0/numerical_cluster_layer32_coef3.0_summary.csv,False
12,30,3.0,88.12,87.38,87.75,optuna_results_top15pl/gemma-3-27b-it/numerical/cluster_budget50_seeds3/seed_0/numerical_cluster_layer30_coef3.0_summary.csv,False
13,30,2.5,81.24,91.74,86.49,optuna_results_top15pl/gemma-3-27b-it/numerical/cluster_budget50_seeds3/seed_0/numerical_cluster_layer30_coef2.5_summary.csv,False
14,42,0.5,40.87,92.25,66.56,optuna_results_top15pl/gemma-3-27b-it/numerical/cluster_budget50_seeds3/seed_0/numerical_cluster_layer42_coef0.5_summary.csv,False
15,41,3.0,92.36,32.21,62.285,optuna_results_top15pl/gemma-3-27b-it/numerical/cluster_budget50_seeds3/seed_0/numerical_cluster_layer41_coef3.0_summary.csv,False
16,30,3.0,88.12,87.38,87.75,optuna_results_top15pl/gemma-3-27b-it/numerical/cluster_budget50_seeds3/seed_0/numerical_cluster_layer30_coef3.0_summary.csv,False
17,20,0.5,36.49,92.16,64.325,optuna_results_top15pl/gemma-3-27b-it/numerical/cluster_budget50_seeds3/seed_0/numerical_cluster_layer20_coef0.5_summary.csv,False
18,35,1.5,65.3,92.01,78.655,optuna_results_top15pl/gemma-3-27b-it/numerical/cluster_budget50_seeds3/seed_0/numerical_cluster_layer35_coef1.5_summary.csv,False
19,29,1.0,42.59,92.44,67.515,optuna_results_top15pl/gemma-3-27b-it/numerical/cluster_budget50_seeds3/seed_0/numerical_cluster_layer29_coef1.0_summary.csv,False
20,37,4.5,97.5,1.5,49.5,optuna_results_top15pl/gemma-3-27b-it/numerical/cluster_budget50_seeds3/seed_0/numerical_cluster_layer37_coef4.5_summary.csv,False
21,30,3.0,88.12,87.38,87.75,optuna_results_top15pl/gemma-3-27b-it/numerical/cluster_budget50_seeds3/seed_0/numerical_cluster_layer30_coef3.0_summary.csv,False
