trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,36,3.0,92.39,58.76,75.575,optuna_results_top15pl/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer36_coef3.0_summary.csv,False
1,34,2.0,77.59,91.78,84.685,optuna_results_top15pl/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer34_coef2.0_summary.csv,False
2,19,4.0,45.75,92.06,68.905,optuna_results_top15pl/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer19_coef4.0_summary.csv,False
3,33,1.5,70.65,92.22,81.435,optuna_results_top15pl/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer33_coef1.5_summary.csv,False
4,28,4.0,88.92,77.09,83.005,optuna_results_top15pl/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer28_coef4.0_summary.csv,False
5,32,3.0,89.72,83.39,86.555,optuna_results_top15pl/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer32_coef3.0_summary.csv,False
6,30,3.0,87.65,87.37,87.51,optuna_results_top15pl/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer30_coef3.0_summary.csv,False
7,27,1.0,39.99,92.42,66.205,optuna_results_top15pl/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer27_coef1.0_summary.csv,False
8,31,2.0,66.42,92.17,79.295,optuna_results_top15pl/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer31_coef2.0_summary.csv,False
9,27,4.5,84.9,81.71,83.305,optuna_results_top15pl/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer27_coef4.5_summary.csv,False
10,30,3.5,92.71,73.12,82.91499999999999,optuna_results_top15pl/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer30_coef3.5_summary.csv,False
11,32,3.0,89.72,83.39,86.555,optuna_results_top15pl/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer32_coef3.0_summary.csv,False
12,30,3.0,87.65,87.37,87.51,optuna_results_top15pl/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer30_coef3.0_summary.csv,False
13,30,2.5,81.76,91.77,86.765,optuna_results_top15pl/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer30_coef2.5_summary.csv,False
14,42,0.5,40.35,92.15,66.25,optuna_results_top15pl/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer42_coef0.5_summary.csv,False
15,41,3.0,92.91,33.95,63.43,optuna_results_top15pl/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer41_coef3.0_summary.csv,False
16,30,3.0,87.65,87.37,87.51,optuna_results_top15pl/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer30_coef3.0_summary.csv,False
17,20,0.5,37.64,92.15,64.89500000000001,optuna_results_top15pl/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer20_coef0.5_summary.csv,False
18,35,1.5,67.4,91.94,79.67,optuna_results_top15pl/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer35_coef1.5_summary.csv,False
19,29,1.0,42.79,92.21,67.5,optuna_results_top15pl/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer29_coef1.0_summary.csv,False
20,37,4.5,97.6,1.31,49.455,optuna_results_top15pl/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer37_coef4.5_summary.csv,False
21,30,3.0,87.65,87.37,87.51,optuna_results_top15pl/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer30_coef3.0_summary.csv,False
22,30,3.0,87.65,87.37,87.51,optuna_results_top15pl/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer30_coef3.0_summary.csv,False
23,30,3.0,87.65,87.37,87.51,optuna_results_top15pl/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer30_coef3.0_summary.csv,False
24,30,2.5,81.76,91.77,86.765,optuna_results_top15pl/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer30_coef2.5_summary.csv,False
25,30,3.5,92.71,73.12,82.91499999999999,optuna_results_top15pl/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer30_coef3.5_summary.csv,False
26,36,3.0,92.39,58.76,75.575,optuna_results_top15pl/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer36_coef3.0_summary.csv,False
27,19,2.5,38.7,92.25,65.475,optuna_results_top15pl/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer19_coef2.5_summary.csv,False
28,20,3.0,42.95,92.11,67.53,optuna_results_top15pl/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer20_coef3.0_summary.csv,False
29,28,3.0,77.6,91.61,84.60499999999999,optuna_results_top15pl/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer28_coef3.0_summary.csv,False
30,34,3.0,90.74,74.09,82.41499999999999,optuna_results_top15pl/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer34_coef3.0_summary.csv,False
31,30,3.0,87.65,87.37,87.51,optuna_results_top15pl/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer30_coef3.0_summary.csv,False
32,30,3.0,87.65,87.37,87.51,optuna_results_top15pl/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer30_coef3.0_summary.csv,False
33,30,2.0,73.25,92.25,82.75,optuna_results_top15pl/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer30_coef2.0_summary.csv,False
34,33,4.0,95.79,13.59,54.690000000000005,optuna_results_top15pl/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer33_coef4.0_summary.csv,False
35,29,3.0,82.63,90.94,86.785,optuna_results_top15pl/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer29_coef3.0_summary.csv,False
36,41,3.0,92.91,33.95,63.43,optuna_results_top15pl/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer41_coef3.0_summary.csv,False
37,31,1.5,59.65,92.22,75.935,optuna_results_top15pl/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer31_coef1.5_summary.csv,False
38,35,1.0,51.36,92.15,71.755,optuna_results_top15pl/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer35_coef1.0_summary.csv,False
39,42,4.0,96.75,2.45,49.6,optuna_results_top15pl/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer42_coef4.0_summary.csv,False
40,37,2.0,83.22,88.66,85.94,optuna_results_top15pl/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer37_coef2.0_summary.csv,False
41,30,3.0,87.65,87.37,87.51,optuna_results_top15pl/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer30_coef3.0_summary.csv,False
