trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,53,4.0,98.3,1.18,49.74,optuna_results/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer53_coef4.0_summary.csv,False
1,3,3.5,38.84,92.12,65.48,optuna_results/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer3_coef3.5_summary.csv,False
2,10,4.5,35.81,92.22,64.015,optuna_results/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer10_coef4.5_summary.csv,False
3,1,1.5,34.85,92.26,63.55500000000001,optuna_results/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer1_coef1.5_summary.csv,False
4,7,4.5,36.8,92.24,64.52,optuna_results/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer7_coef4.5_summary.csv,False
5,28,4.5,89.85,57.63,73.74,optuna_results/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer28_coef4.5_summary.csv,False
6,59,4.0,98.39,1.14,49.765,optuna_results/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer59_coef4.0_summary.csv,False
7,55,4.5,98.77,1.65,50.21,optuna_results/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer55_coef4.5_summary.csv,False
8,60,2.0,54.03,90.16,72.095,eval_results/gemma-3-27b-it/judge_gemma3_12b/numerical/numerical_pv_layer60_coef2.0_summary.csv,False
9,13,4.5,38.46,92.22,65.34,optuna_results/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer13_coef4.5_summary.csv,False
10,28,0.5,39.81,92.23,66.02000000000001,optuna_results/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer28_coef0.5_summary.csv,False
11,28,2.0,60.72,92.32,76.52,optuna_results/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer28_coef2.0_summary.csv,False
12,28,2.0,60.72,92.32,76.52,optuna_results/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer28_coef2.0_summary.csv,False
13,28,2.0,60.72,92.32,76.52,optuna_results/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer28_coef2.0_summary.csv,False
14,38,2.0,80.6,90.03,85.315,optuna_results/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer38_coef2.0_summary.csv,False
15,22,3.0,42.17,92.05,67.11,optuna_results/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer22_coef3.0_summary.csv,False
16,38,2.5,88.32,76.09,82.205,optuna_results/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer38_coef2.5_summary.csv,False
17,2,2.5,34.56,92.19,63.375,optuna_results/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer2_coef2.5_summary.csv,False
18,38,1.0,51.7,92.37,72.035,optuna_results/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer38_coef1.0_summary.csv,False
19,38,2.5,88.32,76.09,82.205,optuna_results/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer38_coef2.5_summary.csv,False
20,38,2.5,88.32,76.09,82.205,optuna_results/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer38_coef2.5_summary.csv,False
21,38,2.5,88.32,76.09,82.205,optuna_results/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer38_coef2.5_summary.csv,False
22,26,2.5,50.09,92.06,71.075,optuna_results/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer26_coef2.5_summary.csv,False
23,47,2.5,81.8,73.01,77.405,optuna_results/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer47_coef2.5_summary.csv,False
24,48,1.5,54.1,91.14,72.62,optuna_results/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer48_coef1.5_summary.csv,False
25,38,3.5,94.78,19.37,57.075,optuna_results/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer38_coef3.5_summary.csv,False
26,43,3.0,88.43,60.75,74.59,optuna_results/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer43_coef3.0_summary.csv,False
27,16,0.5,34.2,92.15,63.175000000000004,optuna_results/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer16_coef0.5_summary.csv,False
28,42,1.0,48.75,92.15,70.45,optuna_results/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer42_coef1.0_summary.csv,False
29,14,4.0,38.89,92.14,65.515,optuna_results/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer14_coef4.0_summary.csv,False
30,33,2.5,88.52,84.61,86.565,optuna_results/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer33_coef2.5_summary.csv,False
31,33,2.5,88.52,84.61,86.565,optuna_results/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer33_coef2.5_summary.csv,False
32,33,2.5,88.52,84.61,86.565,optuna_results/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer33_coef2.5_summary.csv,False
33,33,2.5,88.52,84.61,86.565,optuna_results/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer33_coef2.5_summary.csv,False
34,54,2.5,74.48,80.45,77.465,optuna_results/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer54_coef2.5_summary.csv,False
35,33,2.5,88.52,84.61,86.565,optuna_results/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer33_coef2.5_summary.csv,False
36,33,2.5,88.52,84.61,86.565,optuna_results/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer33_coef2.5_summary.csv,False
37,33,3.5,93.93,37.58,65.755,optuna_results/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer33_coef3.5_summary.csv,False
38,33,1.5,70.62,92.08,81.35,optuna_results/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer33_coef1.5_summary.csv,False
39,25,2.5,47.24,92.34,69.79,optuna_results/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer25_coef2.5_summary.csv,False
40,8,2.5,38.77,92.19,65.48,optuna_results/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer8_coef2.5_summary.csv,False
41,33,2.5,88.52,84.61,86.565,optuna_results/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer33_coef2.5_summary.csv,False
42,41,2.5,86.66,72.75,79.705,optuna_results/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer41_coef2.5_summary.csv,False
43,33,4.0,95.75,13.25,54.5,optuna_results/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer33_coef4.0_summary.csv,False
44,30,2.5,81.33,91.79,86.56,optuna_results/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer30_coef2.5_summary.csv,False
45,34,0.5,43.46,92.35,67.905,optuna_results/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer34_coef0.5_summary.csv,False
46,9,2.5,35.12,92.28,63.7,optuna_results/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer9_coef2.5_summary.csv,False
47,39,4.5,96.74,1.54,49.14,optuna_results/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer39_coef4.5_summary.csv,False
48,27,3.0,65.47,91.92,78.695,optuna_results/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer27_coef3.0_summary.csv,False
49,44,2.5,82.32,81.05,81.685,optuna_results/gemma-3-27b-it/numerical/pv_budget50_seeds3/seed_0/numerical_pv_layer44_coef2.5_summary.csv,False
