trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,41,4.0,90.0,71.52,80.75999999999999,optuna_results/gemma-3-27b-it/professional/pv_budget50_seeds3/seed_1/professional_pv_layer41_coef4.0_summary.csv,True
1,40,0.5,92.39,91.94,92.16499999999999,optuna_results/gemma-3-27b-it/professional/pv_budget50_seeds3/seed_1/professional_pv_layer40_coef0.5_summary.csv,True
2,32,4.0,94.77,86.26,90.515,optuna_results/gemma-3-27b-it/professional/pv_budget50_seeds3/seed_1/professional_pv_layer32_coef4.0_summary.csv,True
3,42,2.0,94.61,90.82,92.715,optuna_results/gemma-3-27b-it/professional/pv_budget50_seeds3/seed_0/professional_pv_layer42_coef2.0_summary.csv,False
4,19,0.5,89.12,91.81,90.465,optuna_results/gemma-3-27b-it/professional/pv_budget50_seeds3/seed_1/professional_pv_layer19_coef0.5_summary.csv,True
5,17,3.0,91.7,91.76,91.73,optuna_results/gemma-3-27b-it/professional/pv_budget50_seeds3/seed_1/professional_pv_layer17_coef3.0_summary.csv,True
6,34,0.5,92.47,91.83,92.15,optuna_results/gemma-3-27b-it/professional/pv_budget50_seeds3/seed_1/professional_pv_layer34_coef0.5_summary.csv,True
7,30,4.0,94.59,86.08,90.33500000000001,optuna_results/gemma-3-27b-it/professional/pv_budget50_seeds3/seed_1/professional_pv_layer30_coef4.0_summary.csv,True
8,56,2.0,93.81,91.57,92.69,optuna_results/gemma-3-27b-it/professional/pv_budget50_seeds3/seed_1/professional_pv_layer56_coef2.0_summary.csv,True
9,46,1.0,92.87,91.32,92.095,optuna_results/gemma-3-27b-it/professional/pv_budget50_seeds3/seed_1/professional_pv_layer46_coef1.0_summary.csv,True
10,42,3.5,93.53,86.69,90.11,optuna_results/gemma-3-27b-it/professional/pv_budget50_seeds3/seed_1/professional_pv_layer42_coef3.5_summary.csv,True
11,2,2.0,87.63,91.73,89.68,optuna_results/gemma-3-27b-it/professional/pv_budget50_seeds3/seed_1/professional_pv_layer2_coef2.0_summary.csv,True
12,56,2.0,93.81,91.57,92.69,optuna_results/gemma-3-27b-it/professional/pv_budget50_seeds3/seed_1/professional_pv_layer56_coef2.0_summary.csv,False
13,42,2.0,94.61,90.82,92.715,optuna_results/gemma-3-27b-it/professional/pv_budget50_seeds3/seed_0/professional_pv_layer42_coef2.0_summary.csv,False
14,42,1.5,93.82,90.89,92.35499999999999,optuna_results/gemma-3-27b-it/professional/pv_budget50_seeds3/seed_1/professional_pv_layer42_coef1.5_summary.csv,True
15,42,2.5,94.29,89.43,91.86000000000001,optuna_results/gemma-3-27b-it/professional/pv_budget50_seeds3/seed_1/professional_pv_layer42_coef2.5_summary.csv,True
16,49,4.5,57.73,32.71,45.22,optuna_results/gemma-3-27b-it/professional/pv_budget50_seeds3/seed_1/professional_pv_layer49_coef4.5_summary.csv,True
17,20,2.0,90.64,91.71,91.175,eval_results/gemma-3-27b-it/judge_gemma3_12b/professional/professional_pv_layer20_coef2.0_summary.csv,False
18,21,2.0,91.7,91.09,91.39500000000001,optuna_results/gemma-3-27b-it/professional/pv_budget50_seeds3/seed_0/professional_pv_layer21_coef2.0_summary.csv,False
19,22,1.0,90.05,91.65,90.85,optuna_results/gemma-3-27b-it/professional/pv_budget50_seeds3/seed_1/professional_pv_layer22_coef1.0_summary.csv,True
20,24,4.5,93.35,91.35,92.35,optuna_results/gemma-3-27b-it/professional/pv_budget50_seeds3/seed_1/professional_pv_layer24_coef4.5_summary.csv,True
