trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,58,3.5,94.39,3.37,48.88,optuna_results_top15pl/gemma-3-27b-it/self_deprecating/cluster_budget50_seeds3/seed_1/self_deprecating_cluster_layer58_coef3.5_summary.csv,False
1,37,1.0,20.87,91.87,56.370000000000005,optuna_results_top15pl/gemma-3-27b-it/self_deprecating/cluster_budget50_seeds3/seed_1/self_deprecating_cluster_layer37_coef1.0_summary.csv,False
2,49,3.0,89.43,23.16,56.295,optuna_results_top15pl/gemma-3-27b-it/self_deprecating/cluster_budget50_seeds3/seed_1/self_deprecating_cluster_layer49_coef3.0_summary.csv,False
3,53,0.5,13.67,92.14,52.905,optuna_results_top15pl/gemma-3-27b-it/self_deprecating/cluster_budget50_seeds3/seed_1/self_deprecating_cluster_layer53_coef0.5_summary.csv,False
4,58,1.0,14.33,92.07,53.199999999999996,optuna_results_top15pl/gemma-3-27b-it/self_deprecating/cluster_budget50_seeds3/seed_0/self_deprecating_cluster_layer58_coef1.0_summary.csv,False
5,49,2.0,41.12,87.95,64.535,optuna_results_top15pl/gemma-3-27b-it/self_deprecating/cluster_budget50_seeds3/seed_1/self_deprecating_cluster_layer49_coef2.0_summary.csv,False
6,44,0.5,13.04,92.05,52.545,optuna_results_top15pl/gemma-3-27b-it/self_deprecating/cluster_budget50_seeds3/seed_1/self_deprecating_cluster_layer44_coef0.5_summary.csv,False
7,51,3.5,94.78,5.78,50.28,optuna_results_top15pl/gemma-3-27b-it/self_deprecating/cluster_budget50_seeds3/seed_0/self_deprecating_cluster_layer51_coef3.5_summary.csv,False
8,37,2.5,76.14,66.0,71.07,optuna_results_top15pl/gemma-3-27b-it/self_deprecating/cluster_budget50_seeds3/seed_0/self_deprecating_cluster_layer37_coef2.5_summary.csv,False
9,32,4.5,96.34,4.52,50.43,optuna_results_top15pl/gemma-3-27b-it/self_deprecating/cluster_budget50_seeds3/seed_1/self_deprecating_cluster_layer32_coef4.5_summary.csv,False
10,48,2.5,62.8,76.05,69.425,optuna_results_top15pl/gemma-3-27b-it/self_deprecating/cluster_budget50_seeds3/seed_0/self_deprecating_cluster_layer48_coef2.5_summary.csv,False
