trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,41,4.0,95.45,2.49,48.97,optuna_results/gemma-3-27b-it/self_deprecating/pv_budget50_seeds3/seed_1/self_deprecating_pv_layer41_coef4.0_summary.csv,False
1,40,0.5,14.24,92.04,53.14,optuna_results/gemma-3-27b-it/self_deprecating/pv_budget50_seeds3/seed_1/self_deprecating_pv_layer40_coef0.5_summary.csv,False
2,32,4.0,94.34,17.07,55.705,optuna_results/gemma-3-27b-it/self_deprecating/pv_budget50_seeds3/seed_1/self_deprecating_pv_layer32_coef4.0_summary.csv,False
3,42,2.0,47.72,85.98,66.85,optuna_results/gemma-3-27b-it/self_deprecating/pv_budget50_seeds3/seed_1/self_deprecating_pv_layer42_coef2.0_summary.csv,False
4,19,0.5,11.05,92.21,51.629999999999995,optuna_results/gemma-3-27b-it/self_deprecating/pv_budget50_seeds3/seed_1/self_deprecating_pv_layer19_coef0.5_summary.csv,False
5,17,3.0,14.6,92.12,53.36,optuna_results/gemma-3-27b-it/self_deprecating/pv_budget50_seeds3/seed_1/self_deprecating_pv_layer17_coef3.0_summary.csv,False
6,34,0.5,14.21,92.18,53.19500000000001,optuna_results/gemma-3-27b-it/self_deprecating/pv_budget50_seeds3/seed_1/self_deprecating_pv_layer34_coef0.5_summary.csv,False
7,30,4.0,92.58,27.6,60.09,eval_results/gemma-3-27b-it/judge_gemma3_12b/self_deprecating/self_deprecating_pv_layer30_coef4.0_summary.csv,False
8,56,2.0,33.35,89.95,61.650000000000006,optuna_results/gemma-3-27b-it/self_deprecating/pv_budget50_seeds3/seed_1/self_deprecating_pv_layer56_coef2.0_summary.csv,False
9,46,1.0,18.16,91.8,54.98,optuna_results/gemma-3-27b-it/self_deprecating/pv_budget50_seeds3/seed_1/self_deprecating_pv_layer46_coef1.0_summary.csv,False
10,42,3.5,94.43,8.95,51.690000000000005,optuna_results/gemma-3-27b-it/self_deprecating/pv_budget50_seeds3/seed_1/self_deprecating_pv_layer42_coef3.5_summary.csv,False
