trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,41,4.0,95.6,1.8,48.699999999999996,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/self_deprecating/self_deprecating_dir_diff_pv_layer41_coef4.0_summary.csv,False
1,40,0.5,14.75,92.11,53.43,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/self_deprecating/self_deprecating_dir_diff_pv_layer40_coef0.5_summary.csv,False
2,32,4.0,95.98,3.92,49.95,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/self_deprecating/self_deprecating_dir_diff_pv_layer32_coef4.0_summary.csv,False
3,42,2.0,56.72,82.19,69.455,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/self_deprecating/self_deprecating_dir_diff_pv_layer42_coef2.0_summary.csv,False
4,19,0.5,11.34,92.11,51.725,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/self_deprecating/self_deprecating_dir_diff_pv_layer19_coef0.5_summary.csv,False
5,17,3.0,13.59,92.08,52.835,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/self_deprecating/self_deprecating_dir_diff_pv_layer17_coef3.0_summary.csv,False
6,34,0.5,14.66,92.02,53.339999999999996,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/self_deprecating/self_deprecating_dir_diff_pv_layer34_coef0.5_summary.csv,False
7,30,4.0,96.08,9.75,52.915,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/self_deprecating/self_deprecating_dir_diff_pv_layer30_coef4.0_summary.csv,False
8,56,2.0,34.97,89.25,62.11,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/self_deprecating/self_deprecating_dir_diff_pv_layer56_coef2.0_summary.csv,False
9,46,1.0,20.73,91.83,56.28,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/self_deprecating/self_deprecating_dir_diff_pv_layer46_coef1.0_summary.csv,False
10,42,3.5,95.08,5.75,50.415,steering_evaluations/gemma-3-27b-it/judge_gemma3_12b/self_deprecating/self_deprecating_dir_diff_pv_layer42_coef3.5_summary.csv,False
