trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,53,4.0,99.72,1.36,50.54,optuna_results/gemma-3-27b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer53_coef4.0_summary.csv,True
1,3,3.5,48.11,90.92,69.515,optuna_results/gemma-3-27b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer3_coef3.5_summary.csv,True
2,10,4.5,52.46,89.58,71.02,optuna_results/gemma-3-27b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer10_coef4.5_summary.csv,True
3,1,1.5,51.81,91.08,71.445,optuna_results/gemma-3-27b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer1_coef1.5_summary.csv,True
4,7,4.5,46.46,90.9,68.68,optuna_results/gemma-3-27b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer7_coef4.5_summary.csv,True
5,28,4.5,97.8,10.2,54.0,optuna_results/gemma-3-27b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer28_coef4.5_summary.csv,True
6,59,4.0,98.88,1.12,50.0,optuna_results/gemma-3-27b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer59_coef4.0_summary.csv,True
7,55,4.5,99.9,1.08,50.49,optuna_results/gemma-3-27b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer55_coef4.5_summary.csv,True
8,60,2.0,84.18,53.04,68.61,eval_results/gemma-3-27b-it/judge_gemma3_12b/sycophantic/sycophantic_pv_layer60_coef2.0_summary.csv,False
9,13,4.5,48.45,89.97,69.21000000000001,optuna_results/gemma-3-27b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer13_coef4.5_summary.csv,True
10,8,1.5,48.48,91.06,69.77,optuna_results/gemma-3-27b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer8_coef1.5_summary.csv,True
11,44,1.5,75.1,87.26,81.18,optuna_results/gemma-3-27b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer44_coef1.5_summary.csv,True
12,44,1.5,75.1,87.26,81.18,optuna_results/gemma-3-27b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer44_coef1.5_summary.csv,False
13,44,1.5,75.1,87.26,81.18,optuna_results/gemma-3-27b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer44_coef1.5_summary.csv,False
14,38,3.0,99.83,4.98,52.405,optuna_results/gemma-3-27b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer38_coef3.0_summary.csv,True
15,44,1.0,63.87,90.08,76.975,optuna_results/gemma-3-27b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer44_coef1.0_summary.csv,True
16,44,0.5,57.98,90.85,74.41499999999999,optuna_results/gemma-3-27b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer44_coef0.5_summary.csv,True
17,2,2.5,46.63,91.05,68.84,optuna_results/gemma-3-27b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer2_coef2.5_summary.csv,True
18,37,1.5,83.6,75.82,79.71,optuna_results/gemma-3-27b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer37_coef1.5_summary.csv,True
19,29,1.5,77.71,85.03,81.37,optuna_results/gemma-3-27b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer29_coef1.5_summary.csv,True
20,29,3.0,94.8,38.94,66.87,optuna_results/gemma-3-27b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer29_coef3.0_summary.csv,True
21,26,1.5,59.64,89.11,74.375,optuna_results/gemma-3-27b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer26_coef1.5_summary.csv,True
22,18,1.5,58.22,90.72,74.47,optuna_results/gemma-3-27b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer18_coef1.5_summary.csv,True
23,47,1.5,71.94,89.39,80.66499999999999,optuna_results/gemma-3-27b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer47_coef1.5_summary.csv,True
24,48,1.0,58.96,90.23,74.595,optuna_results/gemma-3-27b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer48_coef1.0_summary.csv,True
25,29,2.0,90.7,65.05,77.875,optuna_results/gemma-3-27b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer29_coef2.0_summary.csv,True
26,43,3.5,99.91,2.44,51.175,optuna_results/gemma-3-27b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer43_coef3.5_summary.csv,True
27,16,2.5,50.71,90.78,70.745,optuna_results/gemma-3-27b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer16_coef2.5_summary.csv,True
28,23,0.5,49.66,90.37,70.015,eval_results/gemma-3-27b-it/judge_gemma3_12b/sycophantic/sycophantic_pv_layer23_coef0.5_summary.csv,False
29,14,4.0,53.81,90.77,72.28999999999999,optuna_results/gemma-3-27b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer14_coef4.0_summary.csv,True
30,40,1.5,84.52,82.26,83.39,optuna_results/gemma-3-27b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer40_coef1.5_summary.csv,True
31,35,1.5,88.92,63.76,76.34,optuna_results/gemma-3-27b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer35_coef1.5_summary.csv,True
32,12,1.5,56.9,90.99,73.945,optuna_results/gemma-3-27b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer12_coef1.5_summary.csv,True
33,21,1.5,48.67,90.05,69.36,optuna_results/gemma-3-27b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer21_coef1.5_summary.csv,True
34,54,3.5,99.01,2.07,50.54,optuna_results/gemma-3-27b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer54_coef3.5_summary.csv,True
35,5,1.5,48.36,91.32,69.84,optuna_results/gemma-3-27b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer5_coef1.5_summary.csv,True
36,40,1.5,84.52,82.26,83.39,optuna_results/gemma-3-27b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer40_coef1.5_summary.csv,False
37,40,1.5,84.52,82.26,83.39,optuna_results/gemma-3-27b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer40_coef1.5_summary.csv,False
38,40,4.0,99.95,1.28,50.615,optuna_results/gemma-3-27b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer40_coef4.0_summary.csv,True
39,40,2.0,94.34,36.33,65.33500000000001,eval_results/gemma-3-27b-it/judge_gemma3_12b/sycophantic/sycophantic_pv_layer40_coef2.0_summary.csv,False
40,40,1.5,84.52,82.26,83.39,optuna_results/gemma-3-27b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer40_coef1.5_summary.csv,False
41,40,1.5,84.52,82.26,83.39,optuna_results/gemma-3-27b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer40_coef1.5_summary.csv,False
42,40,1.5,84.52,82.26,83.39,optuna_results/gemma-3-27b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer40_coef1.5_summary.csv,False
43,40,1.5,84.52,82.26,83.39,optuna_results/gemma-3-27b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer40_coef1.5_summary.csv,False
44,40,1.5,84.52,82.26,83.39,optuna_results/gemma-3-27b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer40_coef1.5_summary.csv,False
45,34,2.5,97.52,21.04,59.28,optuna_results/gemma-3-27b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer34_coef2.5_summary.csv,True
46,9,3.0,54.15,91.08,72.615,optuna_results/gemma-3-27b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer9_coef3.0_summary.csv,True
47,11,4.5,54.35,89.95,72.15,optuna_results/gemma-3-27b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer11_coef4.5_summary.csv,True
48,27,1.0,58.86,89.65,74.255,optuna_results/gemma-3-27b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer27_coef1.0_summary.csv,True
49,36,0.5,55.97,90.57,73.27,optuna_results/gemma-3-27b-it/sycophantic/pv_budget50_seeds3/seed_0/sycophantic_pv_layer36_coef0.5_summary.csv,True
