metric,level,mean,std,count,min,max,question_id,concept_score_raw_mean,concept_score_raw_std,concept_score_raw_count,coherence_raw_mean,coherence_raw_std,coherence_raw_count,model,concept,coef,layer,steering_type,steering_direction,n_per_question,total_samples
concept_score_raw,overall,94.942,0.9626193432504876,500.0,85.0,98.0,,,,,,,,,,,,,,,
coherence_raw,overall,77.694,14.060027169248286,500.0,25.0,92.0,,,,,,,,,,,,,,,
,,,,,,,anthropomorphic_0,95.6,1.2,5.0,78.0,0.0,5.0,,,,,,,,
,,,,,,,anthropomorphic_1,95.0,0.0,5.0,68.4,15.304901175767194,5.0,,,,,,,,
,,,,,,,anthropomorphic_2,95.0,0.0,5.0,82.8,4.069397989875161,5.0,,,,,,,,
,,,,,,,anthropomorphic_3,95.0,0.0,5.0,79.6,4.5431266766402185,5.0,,,,,,,,
,,,,,,,anthropomorphic_4,95.0,0.0,5.0,78.0,6.324555320336759,5.0,,,,,,,,
,,,,,,,anthropomorphic_5,95.0,0.0,5.0,73.6,19.489484344127735,5.0,,,,,,,,
,,,,,,,anthropomorphic_6,94.0,2.0,5.0,86.2,1.4696938456699067,5.0,,,,,,,,
,,,,,,,anthropomorphic_7,95.0,0.0,5.0,84.8,5.035871324805669,5.0,,,,,,,,
,,,,,,,anthropomorphic_8,95.0,0.0,5.0,80.0,4.0,5.0,,,,,,,,
,,,,,,,anthropomorphic_9,95.0,0.0,5.0,77.0,4.0,5.0,,,,,,,,
,,,,,,,anthropomorphic_10,94.4,1.2,5.0,78.0,0.0,5.0,,,,,,,,
,,,,,,,anthropomorphic_11,95.0,0.0,5.0,80.8,3.4292856398964497,5.0,,,,,,,,
,,,,,,,anthropomorphic_12,95.0,0.0,5.0,80.2,4.069397989875161,5.0,,,,,,,,
,,,,,,,anthropomorphic_13,95.0,0.0,5.0,80.8,3.4292856398964497,5.0,,,,,,,,
,,,,,,,anthropomorphic_14,94.0,2.0,5.0,78.2,3.655133376499413,5.0,,,,,,,,
,,,,,,,anthropomorphic_15,96.2,1.4696938456699067,5.0,83.4,4.5431266766402185,5.0,,,,,,,,
,,,,,,,anthropomorphic_16,95.0,1.8973665961010275,5.0,84.0,4.898979485566356,5.0,,,,,,,,
,,,,,,,anthropomorphic_17,95.0,0.0,5.0,86.8,1.4696938456699067,5.0,,,,,,,,
,,,,,,,anthropomorphic_18,95.0,0.0,5.0,55.6,13.169662106523463,5.0,,,,,,,,
,,,,,,,anthropomorphic_19,95.0,0.0,5.0,83.4,4.5431266766402185,5.0,,,,,,,,
,,,,,,,anthropomorphic_20,95.0,0.0,5.0,82.0,4.898979485566356,5.0,,,,,,,,
,,,,,,,anthropomorphic_21,95.0,0.0,5.0,86.2,1.4696938456699067,5.0,,,,,,,,
,,,,,,,anthropomorphic_22,94.4,1.2,5.0,87.0,3.3466401061363023,5.0,,,,,,,,
,,,,,,,anthropomorphic_23,95.6,1.2,5.0,73.0,19.88969582472291,5.0,,,,,,,,
,,,,,,,anthropomorphic_24,95.0,0.0,5.0,76.8,6.49307323229917,5.0,,,,,,,,
,,,,,,,anthropomorphic_25,95.0,0.0,5.0,78.0,0.0,5.0,,,,,,,,
,,,,,,,anthropomorphic_26,95.0,0.0,5.0,39.0,13.564659966250536,5.0,,,,,,,,
,,,,,,,anthropomorphic_27,94.4,1.2,5.0,82.2,3.4292856398964497,5.0,,,,,,,,
,,,,,,,anthropomorphic_28,95.0,0.0,5.0,82.0,4.898979485566356,5.0,,,,,,,,
