metric,level,mean,std,count,min,max,question_id,concept_score_raw_mean,concept_score_raw_std,concept_score_raw_count,coherence_raw_mean,coherence_raw_std,coherence_raw_count,model,concept,coef,layer,steering_type,steering_direction,n_per_question,total_samples
concept_score_raw,overall,64.42,24.911515409545043,100.0,0.0,95.0,,,,,,,,,,,,,,,
coherence_raw,overall,65.1,30.63902739970706,100.0,1.0,92.0,,,,,,,,,,,,,,,
,,,,,,,economic_0,40.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,economic_1,30.0,0.0,1.0,45.0,0.0,1.0,,,,,,,,
,,,,,,,economic_2,75.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,economic_3,15.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,economic_4,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_5,85.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,economic_6,85.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,economic_7,85.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,economic_8,85.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,economic_9,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_10,65.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,economic_11,65.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,economic_12,30.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,economic_13,65.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,economic_14,85.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,economic_15,95.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,economic_16,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_17,85.0,0.0,1.0,65.0,0.0,1.0,,,,,,,,
,,,,,,,economic_18,85.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,economic_19,90.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,economic_20,35.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,economic_21,20.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_22,35.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_23,65.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,economic_24,85.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,economic_25,90.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,economic_26,85.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,economic_27,35.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,economic_28,90.0,0.0,1.0,65.0,0.0,1.0,,,,,,,,
,,,,,,,economic_29,65.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_30,0.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,economic_31,95.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,economic_32,40.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,economic_33,75.0,0.0,1.0,65.0,0.0,1.0,,,,,,,,
,,,,,,,economic_34,85.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,economic_35,75.0,0.0,1.0,65.0,0.0,1.0,,,,,,,,
,,,,,,,economic_36,75.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,economic_37,90.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,economic_38,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_39,85.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,economic_40,65.0,0.0,1.0,65.0,0.0,1.0,,,,,,,,
,,,,,,,economic_41,35.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,economic_42,35.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_43,65.0,0.0,1.0,45.0,0.0,1.0,,,,,,,,
,,,,,,,economic_44,75.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,economic_45,20.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_46,75.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,economic_47,75.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,economic_48,85.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,economic_49,85.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,economic_50,30.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,economic_51,85.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,economic_52,80.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,economic_53,20.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,economic_54,45.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,economic_55,95.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,economic_56,85.0,0.0,1.0,78.0,0.0,1.0,,,,,,,,
,,,,,,,economic_57,20.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,economic_58,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_59,75.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,economic_60,65.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,economic_61,85.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,economic_62,85.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,economic_63,85.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,economic_64,75.0,0.0,1.0,78.0,0.0,1.0,,,,,,,,
,,,,,,,economic_65,40.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,economic_66,85.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,economic_67,65.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,economic_68,65.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,economic_69,75.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,economic_70,35.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,economic_71,40.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,economic_72,85.0,0.0,1.0,78.0,0.0,1.0,,,,,,,,
,,,,,,,economic_73,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_74,35.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,economic_75,40.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,economic_76,85.0,0.0,1.0,45.0,0.0,1.0,,,,,,,,
,,,,,,,economic_77,80.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,economic_78,65.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
