metric,level,mean,std,count,min,max,question_id,concept_score_raw_mean,concept_score_raw_std,concept_score_raw_count,coherence_raw_mean,coherence_raw_std,coherence_raw_count,model,concept,coef,layer,steering_type,steering_direction,n_per_question,total_samples
concept_score_raw,overall,66.45,31.64881514369851,100.0,0.0,95.0,,,,,,,,,,,,,,,
coherence_raw,overall,88.4,3.997499218261337,100.0,75.0,95.0,,,,,,,,,,,,,,,
,,,,,,,graphical_0,95.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_1,95.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_2,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_3,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_4,35.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_5,80.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_6,60.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_7,90.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_8,80.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_9,5.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_10,20.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_11,60.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_12,95.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_13,30.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_14,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_15,90.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_16,40.0,0.0,1.0,95.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_17,95.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_18,90.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_19,95.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_20,10.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_21,20.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_22,90.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_23,20.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_24,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_25,90.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_26,20.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_27,60.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_28,20.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_29,15.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_30,85.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_31,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_32,80.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_33,5.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_34,90.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_35,30.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_36,30.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_37,15.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_38,95.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_39,10.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_40,20.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_41,90.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_42,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_43,0.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_44,10.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_45,85.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_46,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_47,90.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_48,85.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_49,40.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_50,5.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_51,95.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_52,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_53,95.0,0.0,1.0,78.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_54,30.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_55,90.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_56,95.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_57,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_58,40.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_59,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_60,90.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_61,85.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_62,95.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_63,30.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_64,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_65,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_66,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_67,80.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_68,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_69,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_70,35.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_71,95.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_72,85.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_73,95.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_74,10.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_75,85.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_76,30.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_77,90.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_78,5.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
