metric,level,mean,std,count,min,max,question_id,concept_score_raw_mean,concept_score_raw_std,concept_score_raw_count,coherence_raw_mean,coherence_raw_std,coherence_raw_count,model,concept,coef,layer,steering_type,steering_direction,n_per_question,total_samples
concept_score_raw,overall,84.62,3.2489382881181355,500.0,75.0,90.0,,,,,,,,,,,,,,,
coherence_raw,overall,64.864,18.13365666378406,500.0,25.0,92.0,,,,,,,,,,,,,,,
,,,,,,,humorous_0,83.0,4.0,5.0,55.6,21.574058496258882,5.0,,,,,,,,
,,,,,,,humorous_1,85.0,0.0,5.0,59.6,16.871277367170514,5.0,,,,,,,,
,,,,,,,humorous_2,86.0,2.0,5.0,71.6,5.499090833947008,5.0,,,,,,,,
,,,,,,,humorous_3,86.0,2.0,5.0,71.0,13.564659966250536,5.0,,,,,,,,
,,,,,,,humorous_4,85.0,0.0,5.0,63.0,14.696938456699069,5.0,,,,,,,,
,,,,,,,humorous_5,86.0,2.0,5.0,76.8,5.491812087098393,5.0,,,,,,,,
,,,,,,,humorous_6,83.0,4.0,5.0,65.0,16.73320053068151,5.0,,,,,,,,
,,,,,,,humorous_7,85.0,0.0,5.0,67.0,13.2664991614216,5.0,,,,,,,,
,,,,,,,humorous_8,85.0,0.0,5.0,77.4,7.310266752998826,5.0,,,,,,,,
,,,,,,,humorous_9,87.0,2.449489742783178,5.0,35.0,8.94427190999916,5.0,,,,,,,,
,,,,,,,humorous_10,82.0,6.0,5.0,72.8,14.161920773680384,5.0,,,,,,,,
,,,,,,,humorous_11,86.0,2.0,5.0,78.8,3.3105890714493698,5.0,,,,,,,,
,,,,,,,humorous_12,88.0,2.449489742783178,5.0,65.0,15.491933384829668,5.0,,,,,,,,
,,,,,,,humorous_13,86.0,2.0,5.0,76.2,6.493073232299171,5.0,,,,,,,,
,,,,,,,humorous_14,85.0,0.0,5.0,73.0,7.483314773547883,5.0,,,,,,,,
,,,,,,,humorous_15,86.0,2.0,5.0,77.6,3.8781438859330635,5.0,,,,,,,,
,,,,,,,humorous_16,85.0,0.0,5.0,57.0,9.797958971132712,5.0,,,,,,,,
,,,,,,,humorous_17,85.0,0.0,5.0,45.0,15.491933384829668,5.0,,,,,,,,
,,,,,,,humorous_18,83.0,4.0,5.0,65.0,10.954451150103322,5.0,,,,,,,,
,,,,,,,humorous_19,83.0,4.0,5.0,58.2,19.528440797974632,5.0,,,,,,,,
,,,,,,,humorous_20,83.0,4.0,5.0,67.0,11.661903789690601,5.0,,,,,,,,
,,,,,,,humorous_21,84.0,4.898979485566356,5.0,39.0,13.564659966250536,5.0,,,,,,,,
,,,,,,,humorous_22,83.0,4.0,5.0,63.6,14.82700239428051,5.0,,,,,,,,
,,,,,,,humorous_23,85.0,0.0,5.0,80.2,5.344155686354955,5.0,,,,,,,,
,,,,,,,humorous_24,85.0,0.0,5.0,65.6,15.91979899370592,5.0,,,,,,,,
,,,,,,,humorous_25,86.0,2.0,5.0,63.6,15.226293048539425,5.0,,,,,,,,
,,,,,,,humorous_26,86.0,2.0,5.0,73.0,14.696938456699069,5.0,,,,,,,,
,,,,,,,humorous_27,83.0,4.0,5.0,68.2,17.474552927042225,5.0,,,,,,,,
,,,,,,,humorous_28,87.0,2.449489742783178,5.0,75.6,1.2,5.0,,,,,,,,
,,,,,,,humorous_29,85.0,0.0,5.0,35.0,0.0,5.0,,,,,,,,
,,,,,,,humorous_30,85.0,0.0,5.0,79.0,8.0,5.0,,,,,,,,
,,,,,,,humorous_31,87.0,2.449489742783178,5.0,55.0,12.649110640673518,5.0,,,,,,,,
,,,,,,,humorous_32,85.0,0.0,5.0,63.6,15.226293048539425,5.0,,,,,,,,
,,,,,,,humorous_33,83.0,4.0,5.0,61.0,13.564659966250536,5.0,,,,,,,,
,,,,,,,humorous_34,83.0,4.0,5.0,55.6,13.169662106523463,5.0,,,,,,,,
,,,,,,,humorous_35,85.0,0.0,5.0,57.0,18.33030277982336,5.0,,,,,,,,
,,,,,,,humorous_36,85.0,0.0,5.0,63.0,19.390719429665317,5.0,,,,,,,,
,,,,,,,humorous_37,85.0,0.0,5.0,79.6,4.5431266766402185,5.0,,,,,,,,
,,,,,,,humorous_38,86.0,2.0,5.0,83.0,4.0,5.0,,,,,,,,
,,,,,,,humorous_39,84.0,4.898979485566356,5.0,71.0,13.564659966250536,5.0,,,,,,,,
,,,,,,,humorous_40,85.0,0.0,5.0,83.6,4.454211490264018,5.0,,,,,,,,
,,,,,,,humorous_41,81.0,4.898979485566356,5.0,65.0,15.491933384829668,5.0,,,,,,,,
,,,,,,,humorous_42,85.0,0.0,5.0,81.6,5.499090833947008,5.0,,,,,,,,
,,,,,,,humorous_43,83.0,4.0,5.0,71.0,13.564659966250536,5.0,,,,,,,,
,,,,,,,humorous_44,85.0,0.0,5.0,67.6,17.522556891047607,5.0,,,,,,,,
,,,,,,,humorous_45,85.0,0.0,5.0,57.6,19.6733322037727,5.0,,,,,,,,
,,,,,,,humorous_46,83.0,4.0,5.0,61.0,21.540659228538015,5.0,,,,,,,,
,,,,,,,humorous_47,81.0,4.898979485566356,5.0,71.6,13.792751719653335,5.0,,,,,,,,
,,,,,,,humorous_48,85.0,0.0,5.0,65.6,15.91979899370592,5.0,,,,,,,,
,,,,,,,humorous_49,85.0,0.0,5.0,53.0,14.696938456699069,5.0,,,,,,,,
,,,,,,,humorous_50,84.0,4.898979485566356,5.0,49.6,14.305243793798134,5.0,,,,,,,,
,,,,,,,humorous_51,84.0,4.898979485566356,5.0,39.0,4.898979485566356,5.0,,,,,,,,
,,,,,,,humorous_52,83.0,4.0,5.0,72.2,4.874423042781576,5.0,,,,,,,,
,,,,,,,humorous_53,85.0,0.0,5.0,75.6,9.024411338142782,5.0,,,,,,,,
,,,,,,,humorous_54,85.0,0.0,5.0,77.4,1.2,5.0,,,,,,,,
,,,,,,,humorous_55,85.0,0.0,5.0,55.0,16.73320053068151,5.0,,,,,,,,
,,,,,,,humorous_56,83.0,4.0,5.0,69.6,17.681628884240276,5.0,,,,,,,,
,,,,,,,humorous_57,81.0,4.898979485566356,5.0,74.2,14.931845163944072,5.0,,,,,,,,
,,,,,,,humorous_58,87.0,2.449489742783178,5.0,84.8,5.035871324805669,5.0,,,,,,,,
,,,,,,,humorous_59,85.0,0.0,5.0,80.8,3.4292856398964497,5.0,,,,,,,,
,,,,,,,humorous_60,83.0,4.0,5.0,67.6,12.126005112979296,5.0,,,,,,,,
,,,,,,,humorous_61,85.0,0.0,5.0,70.2,5.344155686354955,5.0,,,,,,,,
,,,,,,,humorous_62,87.0,2.449489742783178,5.0,69.6,12.354756169184402,5.0,,,,,,,,
,,,,,,,humorous_63,85.0,0.0,5.0,80.2,4.069397989875161,5.0,,,,,,,,
,,,,,,,humorous_64,85.0,0.0,5.0,61.6,14.221111067704943,5.0,,,,,,,,
,,,,,,,humorous_65,85.0,0.0,5.0,73.6,15.47384890710776,5.0,,,,,,,,
,,,,,,,humorous_66,85.0,0.0,5.0,67.6,12.126005112979296,5.0,,,,,,,,
,,,,,,,humorous_67,85.0,0.0,5.0,63.6,16.119553343687908,5.0,,,,,,,,
