metric,level,mean,std,count,min,max,question_id,concept_score_raw_mean,concept_score_raw_std,concept_score_raw_count,coherence_raw_mean,coherence_raw_std,coherence_raw_count,model,concept,coef,layer,steering_type,steering_direction,n_per_question,total_samples
concept_score_raw,overall,86.7,16.634602489990556,100.0,0.0,95.0,,,,,,,,,,,,,,,
coherence_raw,overall,71.92,20.09461619439396,100.0,15.0,95.0,,,,,,,,,,,,,,,
,,,,,,,maritime_0,92.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_1,95.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_2,85.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_3,95.0,0.0,1.0,45.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_4,92.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_5,95.0,0.0,1.0,65.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_6,85.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_7,95.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_8,95.0,0.0,1.0,45.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_9,92.0,0.0,1.0,78.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_10,95.0,0.0,1.0,65.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_11,65.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_12,85.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_13,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_14,85.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_15,95.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_16,95.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_17,95.0,0.0,1.0,65.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_18,90.0,0.0,1.0,65.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_19,95.0,0.0,1.0,65.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_20,85.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_21,95.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_22,92.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_23,95.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_24,92.0,0.0,1.0,65.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_25,95.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_26,92.0,0.0,1.0,65.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_27,92.0,0.0,1.0,78.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_28,92.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_29,95.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_30,92.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_31,85.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_32,92.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_33,95.0,0.0,1.0,65.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_34,95.0,0.0,1.0,45.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_35,75.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_36,85.0,0.0,1.0,65.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_37,95.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_38,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_39,85.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_40,92.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_41,35.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_42,85.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_43,92.0,0.0,1.0,78.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_44,95.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_45,95.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_46,95.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_47,92.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_48,85.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_49,92.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_50,92.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_51,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_52,92.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_53,35.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_54,95.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_55,92.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_56,85.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_57,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_58,95.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_59,95.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_60,85.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_61,0.0,0.0,1.0,95.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_62,90.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_63,92.0,0.0,1.0,78.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_64,92.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_65,95.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_66,95.0,0.0,1.0,65.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_67,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_68,2.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_69,85.0,0.0,1.0,78.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_70,65.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_71,35.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_72,92.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_73,85.0,0.0,1.0,65.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_74,95.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_75,95.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_76,92.0,0.0,1.0,78.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_77,95.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_78,95.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_79,95.0,0.0,1.0,65.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_80,90.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_81,92.0,0.0,1.0,65.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_82,92.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_83,92.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_84,92.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_85,92.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_86,95.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_87,90.0,0.0,1.0,65.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_88,92.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_89,92.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_90,95.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_91,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_92,75.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_93,85.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_94,95.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
