metric,level,mean,std,count,min,max,question_id,concept_score_raw_mean,concept_score_raw_std,concept_score_raw_count,coherence_raw_mean,coherence_raw_std,coherence_raw_count,model,concept,coef,layer,steering_type,steering_direction,n_per_question,total_samples
concept_score_raw,overall,63.07,26.1144615108181,100.0,0.0,95.0,,,,,,,,,,,,,,,
coherence_raw,overall,69.02,18.914534094182706,100.0,15.0,95.0,,,,,,,,,,,,,,,
,,,,,,,numerical_0,90.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_1,75.0,0.0,1.0,65.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_2,40.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_3,60.0,0.0,1.0,65.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_4,60.0,0.0,1.0,45.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_5,75.0,0.0,1.0,45.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_6,75.0,0.0,1.0,65.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_7,75.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_8,85.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_9,85.0,0.0,1.0,45.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_10,35.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_11,75.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_12,85.0,0.0,1.0,78.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_13,80.0,0.0,1.0,65.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_14,35.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_15,60.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_16,35.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_17,60.0,0.0,1.0,65.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_18,45.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_19,60.0,0.0,1.0,45.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_20,75.0,0.0,1.0,65.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_21,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_22,70.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_23,40.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_24,45.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_25,75.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_26,35.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_27,60.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_28,90.0,0.0,1.0,45.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_29,30.0,0.0,1.0,90.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_30,35.0,0.0,1.0,78.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_31,30.0,0.0,1.0,78.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_32,75.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_33,45.0,0.0,1.0,78.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_34,75.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
