metric,level,mean,std,count,min,max,question_id,concept_score_raw_mean,concept_score_raw_std,concept_score_raw_count,coherence_raw_mean,coherence_raw_std,coherence_raw_count,model,concept,coef,layer,steering_type,steering_direction,n_per_question,total_samples
concept_score_raw,overall,94.964,0.5989190262464534,500.0,92.0,98.0,,,,,,,,,,,,,,,
coherence_raw,overall,91.81,2.4417002273006405,500.0,75.0,95.0,,,,,,,,,,,,,,,
,,,,,,,professional_0,95.0,0.0,5.0,94.4,1.2,5.0,,,,,,,,
,,,,,,,professional_1,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_2,95.0,0.0,5.0,91.2,1.6,5.0,,,,,,,,
,,,,,,,professional_3,95.0,0.0,5.0,91.2,1.6,5.0,,,,,,,,
,,,,,,,professional_4,95.0,0.0,5.0,92.6,1.2,5.0,,,,,,,,
,,,,,,,professional_5,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_6,95.0,0.0,5.0,90.4,1.9595917942265424,5.0,,,,,,,,
,,,,,,,professional_7,95.0,0.0,5.0,93.2,1.4696938456699067,5.0,,,,,,,,
,,,,,,,professional_8,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_9,95.0,0.0,5.0,89.6,1.9595917942265424,5.0,,,,,,,,
,,,,,,,professional_10,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_11,95.0,0.0,5.0,92.6,1.2,5.0,,,,,,,,
,,,,,,,professional_12,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_13,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_14,95.0,0.0,5.0,93.8,1.4696938456699067,5.0,,,,,,,,
,,,,,,,professional_15,94.4,1.2,5.0,89.6,1.9595917942265424,5.0,,,,,,,,
,,,,,,,professional_16,95.0,0.0,5.0,95.0,0.0,5.0,,,,,,,,
,,,,,,,professional_17,95.0,0.0,5.0,93.2,1.4696938456699067,5.0,,,,,,,,
,,,,,,,professional_18,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_19,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_20,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_21,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_22,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_23,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_24,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_25,95.6,1.2,5.0,94.4,1.2,5.0,,,,,,,,
,,,,,,,professional_26,95.0,0.0,5.0,90.4,1.9595917942265424,5.0,,,,,,,,
,,,,,,,professional_27,95.6,1.2,5.0,93.8,1.4696938456699067,5.0,,,,,,,,
,,,,,,,professional_28,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_29,95.0,0.0,5.0,91.2,1.6,5.0,,,,,,,,
,,,,,,,professional_30,95.0,0.0,5.0,93.2,1.4696938456699067,5.0,,,,,,,,
,,,,,,,professional_31,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_32,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_33,95.0,0.0,5.0,91.2,1.6,5.0,,,,,,,,
,,,,,,,professional_34,94.4,1.2,5.0,89.0,2.6832815729997477,5.0,,,,,,,,
,,,,,,,professional_35,95.6,1.2,5.0,94.4,1.2,5.0,,,,,,,,
,,,,,,,professional_36,95.0,0.0,5.0,90.4,1.9595917942265424,5.0,,,,,,,,
,,,,,,,professional_37,93.8,1.4696938456699067,5.0,89.0,2.6832815729997477,5.0,,,,,,,,
,,,,,,,professional_38,95.0,0.0,5.0,90.6,2.8000000000000003,5.0,,,,,,,,
,,,,,,,professional_39,96.2,1.4696938456699067,5.0,93.8,1.4696938456699067,5.0,,,,,,,,
,,,,,,,professional_40,95.0,0.0,5.0,89.2,3.4292856398964497,5.0,,,,,,,,
,,,,,,,professional_41,95.0,0.0,5.0,89.2,3.4292856398964497,5.0,,,,,,,,
,,,,,,,professional_42,95.0,0.0,5.0,93.8,1.4696938456699067,5.0,,,,,,,,
,,,,,,,professional_43,95.0,0.0,5.0,89.8,2.85657137141714,5.0,,,,,,,,
,,,,,,,professional_44,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_45,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_46,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_47,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_48,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_49,95.0,0.0,5.0,89.8,6.013318551349163,5.0,,,,,,,,
,,,,,,,professional_50,95.0,0.0,5.0,89.8,2.85657137141714,5.0,,,,,,,,
,,,,,,,professional_51,94.4,1.2,5.0,90.6,2.8000000000000003,5.0,,,,,,,,
,,,,,,,professional_52,95.0,0.0,5.0,89.2,3.4292856398964497,5.0,,,,,,,,
,,,,,,,professional_53,95.0,0.0,5.0,93.2,1.4696938456699067,5.0,,,,,,,,
,,,,,,,professional_54,94.4,1.2,5.0,91.2,1.6,5.0,,,,,,,,
,,,,,,,professional_55,95.0,0.0,5.0,87.2,6.675327707311454,5.0,,,,,,,,
,,,,,,,professional_56,94.4,1.2,5.0,87.0,6.260990336999411,5.0,,,,,,,,
,,,,,,,professional_57,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_58,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_59,93.8,1.4696938456699067,5.0,93.8,1.4696938456699067,5.0,,,,,,,,
,,,,,,,professional_60,95.0,0.0,5.0,93.8,1.4696938456699067,5.0,,,,,,,,
,,,,,,,professional_61,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_62,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_63,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_64,94.4,1.2,5.0,93.2,1.4696938456699067,5.0,,,,,,,,
,,,,,,,professional_65,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_66,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_67,95.0,0.0,5.0,93.2,1.4696938456699067,5.0,,,,,,,,
,,,,,,,professional_68,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_69,95.0,0.0,5.0,90.6,2.8000000000000003,5.0,,,,,,,,
,,,,,,,professional_70,95.0,0.0,5.0,94.4,1.2,5.0,,,,,,,,
,,,,,,,professional_71,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_72,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_73,94.4,1.2,5.0,89.8,2.85657137141714,5.0,,,,,,,,
,,,,,,,professional_74,94.4,1.2,5.0,88.8,1.6,5.0,,,,,,,,
,,,,,,,professional_75,95.0,0.0,5.0,90.6,2.8000000000000003,5.0,,,,,,,,
,,,,,,,professional_76,95.0,0.0,5.0,93.2,1.4696938456699067,5.0,,,,,,,,
,,,,,,,professional_77,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_78,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_79,95.0,0.0,5.0,94.4,1.2,5.0,,,,,,,,
,,,,,,,professional_80,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_81,95.0,0.0,5.0,90.6,2.8000000000000003,5.0,,,,,,,,
,,,,,,,professional_82,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_83,95.0,0.0,5.0,89.8,2.85657137141714,5.0,,,,,,,,
,,,,,,,professional_84,95.0,0.0,5.0,93.8,1.4696938456699067,5.0,,,,,,,,
,,,,,,,professional_85,95.0,0.0,5.0,93.2,1.4696938456699067,5.0,,,,,,,,
,,,,,,,professional_86,95.0,0.0,5.0,92.6,1.2,5.0,,,,,,,,
,,,,,,,professional_87,95.0,0.0,5.0,91.2,1.6,5.0,,,,,,,,
,,,,,,,professional_88,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_89,95.0,0.0,5.0,93.8,1.4696938456699067,5.0,,,,,,,,
,,,,,,,professional_90,95.0,0.0,5.0,93.8,1.4696938456699067,5.0,,,,,,,,
,,,,,,,professional_91,95.0,0.0,5.0,91.2,1.6,5.0,,,,,,,,
,,,,,,,professional_92,95.0,0.0,5.0,91.2,1.6,5.0,,,,,,,,
,,,,,,,professional_93,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_94,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_95,96.2,1.4696938456699067,5.0,93.8,1.4696938456699067,5.0,,,,,,,,
,,,,,,,professional_96,95.0,0.0,5.0,92.6,1.2,5.0,,,,,,,,
,,,,,,,professional_97,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_98,95.0,0.0,5.0,93.2,1.4696938456699067,5.0,,,,,,,,
,,,,,,,professional_99,94.4,1.2,5.0,88.2,2.227105745132009,5.0,,,,,,,,
metadata,metadata,,,,,,,,,,,,,meta-llama/Llama-3.3-70B-Instruct,professional,0.0,N/A,response,positive,1.0,500.0
