metric,level,mean,std,count,min,max,question_id,concept_score_raw_mean,concept_score_raw_std,concept_score_raw_count,coherence_raw_mean,coherence_raw_std,coherence_raw_count,model,concept,coef,layer,steering_type,steering_direction,n_per_question,total_samples
concept_score_raw,overall,90.41,4.099012076098337,500.0,65.0,95.0,,,,,,,,,,,,,,,
coherence_raw,overall,80.72,14.977503129694215,500.0,25.0,92.0,,,,,,,,,,,,,,,
,,,,,,,economic_0,89.0,3.7416573867739413,5.0,78.8,16.939893742287758,5.0,,,,,,,,
,,,,,,,economic_1,90.4,0.8,5.0,76.2,16.314410807626487,5.0,,,,,,,,
,,,,,,,economic_2,94.0,2.0,5.0,81.4,9.068627239003707,5.0,,,,,,,,
,,,,,,,economic_3,91.8,1.8330302779823362,5.0,76.8,20.932271735289508,5.0,,,,,,,,
,,,,,,,economic_4,94.0,2.0,5.0,64.2,20.173249614278806,5.0,,,,,,,,
,,,,,,,economic_5,89.4,3.9293765408777004,5.0,86.8,1.4696938456699067,5.0,,,,,,,,
,,,,,,,economic_6,87.4,7.002856560004639,5.0,79.4,17.2,5.0,,,,,,,,
,,,,,,,economic_7,88.0,7.483314773547883,5.0,83.0,4.427188724235731,5.0,,,,,,,,
,,,,,,,economic_8,89.4,2.33238075793812,5.0,87.6,2.576819745345025,5.0,,,,,,,,
,,,,,,,economic_9,92.8,1.9390719429665317,5.0,80.8,8.704022058795578,5.0,,,,,,,,
,,,,,,,economic_10,90.8,3.3105890714493698,5.0,87.6,5.122499389946279,5.0,,,,,,,,
,,,,,,,economic_11,91.0,2.0,5.0,88.2,2.227105745132009,5.0,,,,,,,,
,,,,,,,economic_12,90.0,3.1622776601683795,5.0,70.2,18.669761648183943,5.0,,,,,,,,
,,,,,,,economic_13,90.0,4.47213595499958,5.0,84.8,5.741080037762929,5.0,,,,,,,,
,,,,,,,economic_14,90.4,0.8,5.0,83.4,7.787168933572714,5.0,,,,,,,,
,,,,,,,economic_15,91.8,1.8330302779823362,5.0,89.0,2.6832815729997477,5.0,,,,,,,,
,,,,,,,economic_16,90.4,3.261901286060018,5.0,84.0,4.898979485566356,5.0,,,,,,,,
,,,,,,,economic_17,90.0,4.47213595499958,5.0,74.2,24.636558201177372,5.0,,,,,,,,
,,,,,,,economic_18,90.0,3.1622776601683795,5.0,86.0,4.0,5.0,,,,,,,,
,,,,,,,economic_19,94.4,1.2,5.0,81.4,9.068627239003707,5.0,,,,,,,,
,,,,,,,economic_20,90.0,4.47213595499958,5.0,76.2,16.054905792311583,5.0,,,,,,,,
,,,,,,,economic_21,88.8,3.1874754901018454,5.0,82.8,4.069397989875161,5.0,,,,,,,,
,,,,,,,economic_22,92.0,4.0,5.0,74.2,19.873600579663467,5.0,,,,,,,,
,,,,,,,economic_23,90.4,0.8,5.0,86.8,4.664761515876241,5.0,,,,,,,,
,,,,,,,economic_24,90.8,3.3105890714493698,5.0,84.8,5.741080037762929,5.0,,,,,,,,
,,,,,,,economic_25,91.8,1.8330302779823362,5.0,88.2,2.227105745132009,5.0,,,,,,,,
,,,,,,,economic_26,89.8,2.5612496949731396,5.0,84.8,5.741080037762929,5.0,,,,,,,,
,,,,,,,economic_27,89.4,3.9293765408777004,5.0,86.8,4.664761515876241,5.0,,,,,,,,
,,,,,,,economic_28,90.2,2.7129319932501077,5.0,81.4,7.631513611335565,5.0,,,,,,,,
,,,,,,,economic_29,84.4,10.461357464497617,5.0,81.6,10.091580649234292,5.0,,,,,,,,
,,,,,,,economic_30,89.4,2.33238075793812,5.0,88.2,2.227105745132009,5.0,,,,,,,,
,,,,,,,economic_31,91.0,3.7416573867739413,5.0,70.8,23.232735525546705,5.0,,,,,,,,
,,,,,,,economic_32,90.0,3.1622776601683795,5.0,78.8,7.934733769950949,5.0,,,,,,,,
,,,,,,,economic_33,90.4,3.261901286060018,5.0,73.0,21.156559266572625,5.0,,,,,,,,
,,,,,,,economic_34,88.4,2.8705400188814645,5.0,78.2,21.655484293822663,5.0,,,,,,,,
,,,,,,,economic_35,93.0,4.0,5.0,75.6,25.397637685422634,5.0,,,,,,,,
,,,,,,,economic_36,88.4,2.8705400188814645,5.0,83.4,4.5431266766402185,5.0,,,,,,,,
,,,,,,,economic_37,87.8,3.4292856398964497,5.0,86.0,4.0,5.0,,,,,,,,
,,,,,,,economic_38,92.0,4.0,5.0,74.8,20.232646885664764,5.0,,,,,,,,
,,,,,,,economic_39,93.0,2.449489742783178,5.0,83.4,5.71314274283428,5.0,,,,,,,,
,,,,,,,economic_40,87.0,2.449489742783178,5.0,80.8,4.874423042781576,5.0,,,,,,,,
,,,,,,,economic_41,88.4,2.8705400188814645,5.0,77.6,21.415881957089695,5.0,,,,,,,,
,,,,,,,economic_42,92.4,2.244994432064365,5.0,75.4,15.844241856270688,5.0,,,,,,,,
