metric,level,mean,std,count,min,max,question_id,concept_score_raw_mean,concept_score_raw_std,concept_score_raw_count,coherence_raw_mean,coherence_raw_std,coherence_raw_count,model,concept,coef,layer,steering_type,steering_direction,n_per_question,total_samples
concept_score_raw,overall,50.4,31.485552242258706,100.0,0.0,95.0,,,,,,,,,,,,,,,
coherence_raw,overall,87.6,8.698275691193055,100.0,15.0,92.0,,,,,,,,,,,,,,,
,,,,,,,google_centric_0,70.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_1,60.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_2,90.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_3,75.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_4,5.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_5,0.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_6,85.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_7,70.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_8,5.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_9,85.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_10,30.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_11,60.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_12,20.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_13,60.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_14,0.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_15,80.0,0.0,1.0,65.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_16,70.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_17,80.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_18,75.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_19,80.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_20,80.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_21,95.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_22,5.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_23,85.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_24,20.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_25,80.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_26,85.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_27,75.0,0.0,1.0,78.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_28,60.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_29,70.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_30,0.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_31,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_32,75.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_33,30.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_34,30.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_35,30.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_36,30.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_37,60.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_38,60.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_39,75.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_40,30.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_41,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_42,75.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_43,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_44,20.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_45,60.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_46,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_47,0.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_48,70.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_49,85.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_50,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_51,30.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_52,0.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_53,75.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_54,85.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_55,20.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_56,95.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_57,70.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_58,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_59,10.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_60,20.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_61,60.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_62,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_63,5.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_64,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_65,20.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_66,60.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_67,20.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_68,85.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_69,20.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_70,0.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_71,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_72,80.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_73,60.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_74,30.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_75,5.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_76,10.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_77,75.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_78,20.0,0.0,1.0,78.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_79,10.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_80,80.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_81,70.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_82,0.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_83,0.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_84,70.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_85,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_86,80.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_87,90.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_88,75.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_89,30.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_90,60.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_91,20.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_92,20.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_93,30.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_94,0.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_95,95.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_96,0.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_97,20.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_98,30.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,google_centric_99,30.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
metadata,metadata,,,,,,,,,,,,,google/gemma-2-2b-it,google_centric,4.0,7.0,response,positive,1.0,100.0
