metric,level,mean,std,count,min,max,question_id,concept_score_raw_mean,concept_score_raw_std,concept_score_raw_count,coherence_raw_mean,coherence_raw_std,coherence_raw_count,model,concept,coef,layer,steering_type,steering_direction,n_per_question,total_samples
concept_score_raw,overall,44.3,27.230681225411896,100.0,10.0,95.0,,,,,,,,,,,,,,,
coherence_raw,overall,89.44,6.953157556103556,100.0,25.0,92.0,,,,,,,,,,,,,,,
,,,,,,,graphical_0,85.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_1,35.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_2,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_3,40.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_4,35.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_5,15.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_6,35.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_7,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_8,30.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_9,10.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_10,65.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_11,30.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_12,15.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_13,15.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_14,20.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_15,30.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_16,15.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_17,95.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_18,65.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
