metric,level,mean,std,count,min,max,question_id,concept_score_raw_mean,concept_score_raw_std,concept_score_raw_count,coherence_raw_mean,coherence_raw_std,coherence_raw_count,model,concept,coef,layer,steering_type,steering_direction,n_per_question,total_samples
concept_score_raw,overall,94.99,0.22338307903688676,500.0,90.0,95.0,,,,,,,,,,,,,,,
coherence_raw,overall,76.298,19.176787947933303,500.0,1.0,92.0,,,,,,,,,,,,,,,
,,,,,,,graphical_0,95.0,0.0,5.0,85.6,2.244994432064365,5.0,,,,,,,,
,,,,,,,graphical_1,95.0,0.0,5.0,88.8,1.6,5.0,,,,,,,,
,,,,,,,graphical_2,95.0,0.0,5.0,88.0,0.0,5.0,,,,,,,,
,,,,,,,graphical_3,95.0,0.0,5.0,88.2,2.227105745132009,5.0,,,,,,,,
,,,,,,,graphical_4,95.0,0.0,5.0,59.6,24.589428622885894,5.0,,,,,,,,
,,,,,,,graphical_5,95.0,0.0,5.0,59.0,24.166091947189145,5.0,,,,,,,,
,,,,,,,graphical_6,95.0,0.0,5.0,83.6,5.238320341483519,5.0,,,,,,,,
,,,,,,,graphical_7,95.0,0.0,5.0,88.8,1.6,5.0,,,,,,,,
,,,,,,,graphical_8,95.0,0.0,5.0,82.2,3.4292856398964497,5.0,,,,,,,,
,,,,,,,graphical_9,95.0,0.0,5.0,83.6,4.454211490264018,5.0,,,,,,,,
,,,,,,,graphical_10,95.0,0.0,5.0,85.4,3.8781438859330635,5.0,,,,,,,,
,,,,,,,graphical_11,95.0,0.0,5.0,79.4,8.475848040166836,5.0,,,,,,,,
,,,,,,,graphical_12,95.0,0.0,5.0,53.0,24.0,5.0,,,,,,,,
,,,,,,,graphical_13,95.0,0.0,5.0,74.8,5.035871324805669,5.0,,,,,,,,
,,,,,,,graphical_14,95.0,0.0,5.0,84.2,3.3105890714493698,5.0,,,,,,,,
,,,,,,,graphical_15,95.0,0.0,5.0,82.2,3.4292856398964497,5.0,,,,,,,,
,,,,,,,graphical_16,95.0,0.0,5.0,76.8,20.932271735289508,5.0,,,,,,,,
,,,,,,,graphical_17,95.0,0.0,5.0,88.4,3.1368774282716245,5.0,,,,,,,,
,,,,,,,graphical_18,95.0,0.0,5.0,89.0,2.6832815729997477,5.0,,,,,,,,
,,,,,,,graphical_19,95.0,0.0,5.0,83.4,4.5431266766402185,5.0,,,,,,,,
,,,,,,,graphical_20,95.0,0.0,5.0,53.6,22.887551201471947,5.0,,,,,,,,
,,,,,,,graphical_21,95.0,0.0,5.0,68.2,19.3225257148231,5.0,,,,,,,,
,,,,,,,graphical_22,95.0,0.0,5.0,85.6,4.586937976471886,5.0,,,,,,,,
,,,,,,,graphical_23,95.0,0.0,5.0,75.6,9.666436778875658,5.0,,,,,,,,
,,,,,,,graphical_24,95.0,0.0,5.0,64.8,24.604064704840948,5.0,,,,,,,,
,,,,,,,graphical_25,95.0,0.0,5.0,88.8,1.6,5.0,,,,,,,,
,,,,,,,graphical_26,95.0,0.0,5.0,77.0,7.483314773547883,5.0,,,,,,,,
,,,,,,,graphical_27,95.0,0.0,5.0,88.0,0.0,5.0,,,,,,,,
,,,,,,,graphical_28,95.0,0.0,5.0,68.2,18.148278155241066,5.0,,,,,,,,
,,,,,,,graphical_29,95.0,0.0,5.0,67.6,18.94835085172322,5.0,,,,,,,,
,,,,,,,graphical_30,95.0,0.0,5.0,80.8,4.874423042781576,5.0,,,,,,,,
,,,,,,,graphical_31,95.0,0.0,5.0,86.2,4.66476151587624,5.0,,,,,,,,
,,,,,,,graphical_32,95.0,0.0,5.0,41.0,14.966629547095765,5.0,,,,,,,,
,,,,,,,graphical_33,95.0,0.0,5.0,53.0,27.85677655436824,5.0,,,,,,,,
,,,,,,,graphical_34,95.0,0.0,5.0,90.4,1.9595917942265424,5.0,,,,,,,,
,,,,,,,graphical_35,95.0,0.0,5.0,72.2,18.86160120456373,5.0,,,,,,,,
,,,,,,,graphical_36,95.0,0.0,5.0,87.0,2.756809750418044,5.0,,,,,,,,
,,,,,,,graphical_37,95.0,0.0,5.0,69.6,17.681628884240276,5.0,,,,,,,,
,,,,,,,graphical_38,95.0,0.0,5.0,88.4,3.1368774282716245,5.0,,,,,,,,
,,,,,,,graphical_39,95.0,0.0,5.0,86.2,4.66476151587624,5.0,,,,,,,,
